,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Belgium,:,:,:,:,:,:,:,:,:,:,17.47,17.48,17.15,17.76,19.51,18.18,18.24,18.35,18.12,18.24,18.33,18.13,18.3,18.01,:
Bulgaria,:,:,:,:,:,:,:,:,:,:,88.2,84.6,92.09,83.29,58.56,74.37,73.74,71,73.95,72.94,70.13,73.61,73.99,69.22,:
Czechia,50.5,46.1,29.03,30.21,32.4,33.42,34.35,35.14,34.25,33.97,33.77,34.11,34.01,33.17,33.04,31.84,30.71,30.26,30.42,30.75,30.61,30.64,30.41,29.69,:
Denmark,:,:,:,:,:,:,:,:,:,:,6.21,6.04,5.79,5.63,4.95,4.39,3.39,3.15,3.16,3.06,3.49,3.29,3.57,3.23,:
Germany,154.73,154.73,148.42,147.82,147.92,154.27,154.44,153.38,153.41,153.61,152.81,152.44,152.69,152.91,153.94,154.14,154.52,159.45,159.49,160.23,160.45,160.76,159.86,160.19,:
Estonia,:,:,:,:,1.6,1.8,1.8,2,1.7,2,2.2,2.2,1.8,1.9,2.2,1.8,1.62,1.86,1.91,2.35,2.25,2.43,2.75,2.59,:
Ireland,:,0.82,0.84,0.84,0.77,0.77,0.78,0.76,0.75,0.75,0.75,0.75,0.76,0.75,0.7,0.7,0.76,0.76,0.78,0.77,0.76,0.76,0.76,0.76,:
Greece,1096.36,1098.41,1093.87,1101.48,1095.62,1090.6,1091.1,1100.43,1082.78,1073.68,1123.01,1201.87,1217.15,1237.67,1243.11,1276.17,1251.22,1225.38,1258,1196.96,1241.91,1110.88,1131.65,1208.02,:
Spain,:,:,:,:,:,:,:,:,:,:,4589.63,4598.32,4555.21,4582.49,4622.13,4700.74,4724.12,4830,4881.36,4938.56,5010.23,5052.43,5078.6,5094.32,:
France,1049.73,1047.7,1045.88,1036.61,1033.45,1033.51,1021.54,1020.28,1001.42,979.19,966.37,948.21,942.5,940.91,936.22,930.11,932.95,931.77,932.53,940.29,978.35,977.55,976.49,971.1,:
Croatia,60.87,60.66,61.45,61.86,62.41,64.9,68.51,72.12,77.31,79.26,79.3,78.78,74.86,68.49,72.37,72.5,69.95,68.7,68.77,70.09,74.42,74.69,75.17,74.63,:
Italy,:,:,:,:,:,:,:,:,:,:,2717.41,2442.06,2380.04,3144.15,2282.62,2450.91,2384.38,2369.76,2371,2386.57,2418.81,2399.32,2355.65,2371.67,:
Cyprus,:,:,39.2,40.49,41.79,41.83,40.95,35.41,31.71,35.3,29.88,29.8,28.43,26.14,26.93,26.3,26.39,25.42,26.26,27.34,25.92,25.86,25.9,25.95,:
Latvia,11.5,12.2,12.2,12,13.2,12.8,13.2,10.3,7,5.9,:,4.4,4.2,4.7,4,4.2,4.4,5.5,5.9,6.51,7.2,7.4,8.04,7.8,:
Lithuania,37.9,38.4,35.9,23.73,23.55,25.75,22.87,20.54,18.52,17.9,19.08,19.55,21.59,22.25,22.01,20.93,20.07,21.57,22.08,21.91,22.84,21.95,21.48,22.44,:
Luxembourg,:,:,:,:,:,:,:,:,:,:,1.53,1.53,1.54,1.55,1.56,1.58,1.59,1.61,1.6,1.59,1.39,1.4,1.39,1.41,:
Hungary,:,:,:,:,:,:,:,:,:,:,150.79,151.34,146.88,146.01,152.32,153.18,150.18,149.22,148.76,147.96,138.34,137.32,134.97,131.38,:
Malta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.26,1.26,1.26,1.26,1.01,0.94,0.95,0.95,0.95,:
Netherlands,:,:,:,:,:,:,:,:,:,:,17.93,17.69,16.86,17.17,19.18,19.8,19.5,19.4,19.6,19.64,19.1,18.86,18.8,18.25,:
Austria,:,:,:,:,:,:,:,:,:,:,53.25,53.57,53.35,54.94,55.38,54.14,57.37,57.46,57.91,57.5,57.06,53.55,53.48,53.21,:
Poland,:,:,:,:,:,:,:,:,:,:,398,390.4,398,412.2,376,338.1,325.21,324.12,329.27,319.37,315.8,325.5,321.3,318.6,:
Portugal,787.75,780.78,770.97,762.68,753.63,747.81,739.62,729.92,721.69,708.53,712.83,721.38,731.59,747.1,748.7,751.88,764,770.33,783.48,861.26,867.33,866.08,866.32,868.64,:
Romania,437.24,434.21,421.11,413.84,397.48,371.03,344.55,328.74,330.76,327.64,319.64,315.11,318.91,324.65,315.92,315.08,312.27,314.87,310.66,312.03,302.33,302.76,299.48,308.33,:
Slovenia,29.92,29.92,29.87,28.61,28.61,27.54,27.54,26.15,26.15,26,26.8,26.85,26.83,27.24,27.24,20.64,21.03,21.1,21.03,21.08,20.91,20.61,20.24,20.35,:
Slovakia,:,:,:,:,:,:,:,:,:,:,:,14.89,15.43,19.6,13.35,13.39,12.99,12.59,12.41,12.52,12.56,12.13,12.08,13.46,:
Finland,:,:,:,:,:,:,:,:,:,:,0.71,2.72,2.24,2.22,2.15,2.67,3.13,3.23,3.23,2.69,3.36,2.71,2.71,5.65,:
Sweden,2.64,2.59,2.53,2.56,2.42,2.54,2.54,2.28,2.4,2.26,2.27,2.04,2.18,1.99,2,2.02,2.22,2.05,2.05,2.15,2.24,2.27,2.27,2.22,:
Iceland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,:,0,0
Norway,:,:,:,:,:,:,:,:,:,:,2.8,2.7,2.7,2.8,2.74,2.81,3.01,2.98,3.04,3.06,:,3.08,:,:,:
Switzerland,:,:,:,:,:,:,:,:,:,:,:,:,:,:,25.35,21.23,21.41,21.16,21.15,21.07,20.85,20.84,21.22,21.15,:
United Kingdom,:,:,:,:,:,:,:,:,:,:,:,23,23,23,24,24,25.7,26.73,26.57,27.45,:,:,:,:,:
Bosnia and Herzegovina,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,74.14,75.42,:
Montenegro,:,:,:,:,:,:,:,2.77,2.78,2.8,2.84,3.11,3.24,3.28,3.19,3.6,3.89,4.02,4.05,4.1,4.14,4.12,4.09,:,:
North Macedonia,:,:,:,:,:,39.39,35.7,33.27,34.36,32.48,33.64,34.63,34.1,35.51,36.85,39.61,37.87,40.25,40.96,41.25,41.12,40.78,40.28,38.78,:
Albania,:,:,:,:,:,:,:,:,54.22,69.98,52.63,54.5,71.74,:,:,:,71.4,:,:,:,77.3,:,79.3,79.9,:
Serbia,:,:,:,:,:,:,:,184.67,185.26,183.92,184.98,184.02,185.2,185.16,184.36,185.28,185.11,196.25,198.63,200.19,203.6,202.19,204.23,211.35,:
Türkiye,:,:,:,:,:,:,:,:,:,:,:,3091,3213,3232,3238,3270,3314,3177.31,3447,3503,3546,3576,3653,:,:
Kosovo*,:,:,:,:,:,:,:,6.7,6.9,6,6.5,6.7,7,8.2,7.4,7.9,8.6,9.4,11,12.6,13.47,13.62,13.85,:,:
