,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015.0,2016,2017,2018.0,2019,2020,2021,2022,2023,2024
Belgium,0,0,0,0,0,0,0.02,0.02,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,:
Bulgaria,0,0,0,0,0,0,0.04,0.03,0.01,0.01,0,0,0,0,0.01,0.01,0.01,0.08,0.02,0.01,0,0,0.01,0,0
Czechia,0,0,0,0,0,0,0,0,0,0,0,0.24,0.22,0.16,0.25,0.2,0.29,0.29,0.34,0.22,0.33,0.28,0.65,0.88,:
Denmark,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0
Germany,2.5,2.4,2.9,2.7,2.9,3.1,3.57,3.36,3.34,3.46,3.43,4.2,4.45,4.14,4.27,4.16,3.99,4.37,4.14,4.18,3.89,3.71,3.43,3.47,:
Estonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,:,0.0,0,0,0.0,0,0,0,0,0,0
Ireland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0
Greece,0.31,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.17,0.2,0.11,0.14,0.17,0.14,0.15,0.1,0.14,0.12,0.12,0.11,0.09,0.12,:
Spain,0.6,0.5,0.5,0.5,0.5,0.5,0.45,0.46,:,:,0.01,0.3,0,0,0.3,0.27,0.29,0.28,0.24,0.21,0.26,0.3,0.27,0.41,:
France,3,3,3,2.8,2.8,2.9,2.9,2.7,2.7,:,2.73,3.19,2.96,2.87,3.21,3.17,3.27,3.24,3.11,3.03,4.2,3.8,4.02,3.51,:
Croatia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0
Italy,1.2,0.8,1,1,1.1,1.1,1.2,0.9,1.3,:,1.37,:,0.42,0.57,1.21,1.04,1.04,1.06,1.12,1.09,1.09,1.05,1.04,1.01,:
Cyprus,0,0,0,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0,0,0.0,0,0,0,0,0,:
Latvia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0
Lithuania,:,:,:,0.09,0.04,0.09,0.05,0.08,0.07,0.07,0.07,0.08,0.06,0.07,0.06,0.12,0.07,0.07,0.17,0.19,0.24,0.27,0.35,0.61,:
Luxembourg,:,:,:,:,:,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,:
Hungary,0.1,0.2,0.1,0.2,0.2,0.3,0.1,0.12,0.08,0.1,1.16,1.57,1.6,1.39,0.19,0.16,0.22,0.19,0.15,0.16,0.2,0.31,0.53,0.43,:
Malta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0
Netherlands,0.2,0.2,0.1,0.1,0.1,0.1,0.12,0.12,0.11,0.11,0.11,0.11,0.1,0.11,0.11,0.1,0.1,0.09,0.09,0.1,0.11,0.11,0.11,0.1,:
Austria,0.4,0.4,0.5,0.5,0.4,0.3,0.4,0.35,0.35,0.34,0.33,0.32,0.3,0.3,0.29,0.3,0.29,0.29,0.31,0.32,0.32,0.35,0.34,0.32,:
Poland,:,:,:,:,:,0,0,0,0,0,0,0,0,0,0.7,0.7,1.11,1.06,1.16,1.2,1.1,2.2,0.8,1.2,:
Portugal,:,:,:,:,:,:,:,:,:,:,:,0.09,0.13,0.05,0.11,0.1,0.1,0.41,0.12,0.15,0.11,0.13,0.09,0.11,:
Romania,0,0,0,0,0.21,0.06,0.12,0.15,0.13,0.08,0.1,0.13,0.07,0.06,0.11,0.15,0.16,0.11,0.18,0.19,0.17,0.03,0.03,0.03,0
Slovenia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.06,0.05,0.05,0.1,0.11,0.1,0.42,0.06,:
Slovakia,0,0,0,0,0,0,0.07,0.02,0.01,0.02,0,0,0,0.01,0.01,0.02,0.03,0.06,0.03,0.29,0.08,0.07,0.09,0.07,:
Finland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0
Sweden,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0
