,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Belgium,0,0,0,0,0,0,0.08,0.08,0.08,0.07,0,0,0,0,0,0.09,0.07,0.07,0.07,0.07,0.08,0.08,0.08,0.08,:
Bulgaria,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Czechia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.26,:
Denmark,0,0,0,0.4,0.5,0.3,0.3,:,:,:,0.32,0.31,:,:,:,0.12,0.2,0.23,0.25,0.22,0.19,0.15,0.13,0.1,:
Germany,:,:,:,:,:,:,:,:,:,:,:,:,0.7,0.68,0.69,0.77,0.79,0.86,0.86,0.98,0.95,0.99,1.01,0.96,:
Estonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0.02,0.03,0.03,0.03,0.01,0.02,:
Ireland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Greece,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spain,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,:
France,0.45,0.46,0.43,0.43,0.34,0.35,0.34,0.32,0.28,0.28,0.34,0.33,0.34,0.34,0.29,0.29,0.28,0.28,0.29,0.29,0.29,0.29,0.31,0.31,:
Croatia,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,0,0,0,0,0,0,0
Italy,0.1,0.1,0,0,:,:,:,:,:,:,:,:,:,:,:,0.02,0.11,0,0,0.15,0.16,0.15,0.15,:,:
Cyprus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Latvia,0.2,0.2,0.3,0.3,0.2,0.3,0.2,0.1,0.1,0.1,:,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.1,0.1,0.06,0,:
Lithuania,:,:,:,0.37,0.34,0.39,0.43,0.45,0.32,0.28,0.33,0.36,0.35,0.36,0.36,0.37,0.39,0.4,0.47,0.46,0.46,0.44,0.45,0.51,:
Luxembourg,:,:,:,:,:,:,0,0,0,0,0,:,:,:,:,0,0,0,0,0,0,0,0,0,0
Hungary,:,:,1.2,1.7,2.2,2.2,1.3,1.49,1.46,1.42,1.35,1.35,1.2,1,0.75,0.68,0.68,0.68,0.7,0.72,0.63,0.59,0.49,0.45,:
Malta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Netherlands,0,0,0,0,0,0,0.28,0.29,0.31,0.33,0,0,0,0.38,0.42,0.26,0.26,0.16,0.32,0.32,0.34,0.34,0.36,0.34,:
Austria,0,0,0,0,0,0,0,0.07,0.07,0.07,0.07,0.08,0.08,0.08,0.09,0.08,0.08,0.1,0.1,0.11,0.11,0.12,0.12,0.13,:
Poland,10.1,10,10.3,9.1,8.9,10.6,9.4,9.7,9.24,9.48,9.94,10.4,10.4,10.2,8.7,8.3,7.73,7.92,7.82,7.75,8.3,8.4,9.1,9.2,:
Portugal,:,:,:,:,:,:,:,:,:,0.01,0.01,0.01,0.03,0.05,0.07,0.11,0.11,0.12,0.12,0.12,0.12,0.12,0.11,0.11,:
Romania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Slovenia,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,0,0,0,0,0,0,0,0,0
Slovakia,0,0,0,0,0,0,0.24,0.18,0.19,0.18,0,0,0,0,0,0.05,0.04,0.04,0.04,0.04,0.04,0.02,0.01,0.01,:
Finland,0.2,0.2,0.2,0.2,0.2,0.2,0.21,0.2,0.3,0.29,0.28,0.29,0.27,0.26,0.24,0.22,0.22,0.21,0.21,0.14,0.2,0.16,0.16,0.18,:
Sweden,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iceland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Norway,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,:,:,0,0
Switzerland,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,0,0,0,0,0,:,0,0,:,:
United Kingdom,0.1,0.1,0.1,0.1,0,0,0,0,:,:,:,:,:,:,0,0,0,0,0,0,0,:,:,:,:
Bosnia and Herzegovina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,:,:,:,:,:,:,0,0.03,:
Montenegro,:,:,:,:,:,:,:,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
North Macedonia,:,:,:,:,:,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,:
Albania,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,0,:,0,0,0,0,0,0,0
Serbia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Türkiye,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,0,:,:,:
Kosovo*,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,0,0,0,0,:,:
