,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011.0,2012.0,2013,2014.0,2015,2016.0,2017.0,2018,2019,2020,2021,2022,2023,2024
Belgium,165.1,165,163.8,155.6,159.3,154.9,154.1,154.6,132.6,141.1,145.8,162.31,136.6,145.1,142.59,135.29,149.43,160.15,160.81,160.62,159.09,151.31,151.53,155.73,:
Bulgaria,55.7,50.1,54.6,32.1,32.2,26.5,25.9,23.9,21.7,14.1,13.87,16.3,14.9,12.91,10.34,11.14,9.13,12.82,14.7,9.31,10.01,11.02,9.18,7.06,:
Czechia,138.5,137.8,117.5,114.7,108.4,102.93,92,87.4,81.2,82.2,84.49,85.36,85.75,86.15,87.32,80.86,84.65,90.02,88.29,82.53,84.03,84.44,80.42,80.03,88.98
Denmark,115.4,107.8,108.1,93.7,96,91.9,84.3,84.4,81.8,82.2,81.7,85.6,85.0,83.6,83.8,83,83.6,88.5,90.7,90.2,100,93.1,95.1,96.1,:
Germany,770.4,742.8,755.2,743.9,746,705.4,640.5,686.3,636.4,653.9,624.32,662.3,645.5,605.3,621.1,554.1,582.6,662.5,671,684.1,663.1,652.4,666,663.7,:
Estonia,33.4,23.5,16.4,17.3,10.9,9.9,7.9,7.8,5.3,5.7,6.2,6.0,5.5,4.6,4.4,3.8,3.97,3.52,3.48,3.85,3.65,3.4,3.91,3.29,:
Ireland,53.9,52.4,53.3,51.3,50.86,49.52,24.45,22.73,22.26,25.58,24.73,20.9,19.57,23.17,21.87,20.99,21.23,21.61,21.96,20.55,19.94,20.11,19.63,19.18,:
Greece,70.39,66.79,67.26,60.74,53.8,63.57,63.07,37.33,36.5,35.81,38.07,33.96,32.21,30.53,32.26,25.93,24.59,25.32,18.25,17.57,17.47,12.84,13.3,12.17,12.82
Spain,301.7,206.8,272.9,263.5,249.6,247,201.9,193,169.3,183.6,131.71,137.12,123.81,114.22,124.57,119.04,115.1,117.78,110.62,104.35,100.27,99.69,92.5,104.91,108.11
France,617.2,636.1,646.5,601.1,587.3,574.8,578.2,552.3,527,544.2,565.92,572.09,159.08,576.52,596.51,573.82,606.28,705.03,710.55,680.64,668.51,648.15,640.26,608.97,:
Croatia,40.14,43.29,44.27,46.05,44.32,49.84,49.98,53.19,38.3,38.11,36.08,33.0,34.56,31.13,32.87,24.91,26.11,29.95,23.81,21.69,20.79,19.48,16.65,15.23,:
Italy,332.3,302.2,322.6,288.1,258.2,323,163.7,155.2,132.4,131.2,124.67,123.83,104.2,91.1,104.65,87.4,80.06,86.93,80.84,77.16,74.98,75.05,73.33,67.16,72.58
Cyprus,6.5,5.7,5.8,5.62,5.38,6.19,4.29,6.29,5.11,4.97,4.26,5.07,4.55,4.64,4.91,4.74,5.04,4.22,4.54,3.88,3.8,3.99,3.6,3.8,3.7
Latvia,73.1,78.8,77,76.2,68.3,62.4,60.7,42.9,38.7,30.8,19.2,15.2,12.8,12.7,11.3,10.4,11.1,21.7,10.1,10.2,8.6,7.4,7.8,8.1,:
Lithuania,176.1,166.3,164.4,143.3,114.6,105.8,83.5,74.8,61.5,64.8,53.3,56.8,52.5,47.7,45.4,36.73,37.79,37.0,35.24,33.19,33.09,30.48,27.17,30.2,:
Luxembourg,0.9,0.8,0.7,0.7,0.7,0.7,0.6,0.7,0.6,0.6,0.64,0.87,0.7,0.67,0.71,0.71,0.77,0.73,0.7,0.68,0.7,0.72,0.73,0.65,:
Hungary,104.2,102,89.4,84,93.9,88,70.3,66.6,35.7,36.4,35.5,36.79,44.26,40.33,36.96,34.78,33.28,33.95,29.71,27.77,23.59,21.01,18.04,22.02,:
Malta,1.8,1.5,1.5,1.2,1.1,1,0.8,0.7,0.7,0.7,0.71,0.7,0.7,0.69,0.69,0.69,0.77,0.69,:,0.69,0.57,0.57,0.57,:,:
Netherlands,292.1,273.9,274.8,262.1,262.3,247.6,238.2,239.3,224.5,228.3,227.53,232.85,222.0,229,231.0,214.09,227.02,247.68,251.63,247.02,248.36,242.41,247,238.15,:
