,2000,2001,2002,2003,2004,2005,2006,2007.0,2008.0,2009,2010,2011.0,2012.0,2013,2014,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021,2022,2023,2024
Belgium,1.2,0.8,0.7,0.6,0.7,0.5,0.6,0.7,0.5,0.5,1.3,0.46,0.5,0.53,0.39,0.56,0.59,0.52,0.62,0.77,0.7,0.82,0.77,1.07,:
Bulgaria,18.6,19.5,13.1,9.8,8.5,8.8,7.4,5.1,7.4,10,10.79,10.3,12.6,15.46,14.44,6.3,7.47,8.3,8.32,6.1,5.35,7.63,8.33,8,6
Czechia,43.9,40.1,35.3,41.92,59.21,46.9,22.5,37.5,43.4,38.5,30.25,25.08,31.01,38.12,26.08,22.29,21.45,22.85,25.88,31.42,31.95,25.53,24.45,24.65,24.3
Denmark,50.5,65.3,46.3,32.9,31.6,27.3,27.5,30.3,28.9,44.3,52.1,57.6,64.6,87.2,106.5,122.0,99.6,111.4,92.7,146.6,115.3,108.3,109,108.6,106
Germany,852.7,846.2,737.9,543.3,634.5,558.5,548.1,680.7,746.7,759.4,627.11,613.7,708.5,784.6,629.9,616.0,570.9,537.3,523.0,636.3,636.0,631,588.5,625.4,585
Estonia,28.9,20.9,17.9,15.2,8.1,7.4,7.3,16.8,21.4,15.3,12.6,13.3,16.9,11.5,15.4,14.3,12.4,13.31,10.85,28.9,20.69,11.9,13.32,16.9,:
Ireland,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
Greece,18.96,20.15,15.16,15.26,9.54,12.48,17.34,18.19,20.37,20.31,16.77,17.58,15.44,17.19,15.36,15.72,14.76,12.04,10.19,8.53,8.3,9.38,9.22,7.74,7.34
Spain,132.8,114.3,126,137.2,102.4,102.2,138,143.0,141.6,162.6,168.14,149.32,198.92,192.16,170.19,179.05,191.38,144.91,174.64,173.76,174.27,161.27,141.4,126.96,130.57
France,31.6,28.4,28.6,27.9,33.8,31,26.6,27.5,25.8,25.1,29.64,27.67,31.55,29.1,26.17,26.23,24.38,24.19,24.45,28.73,31.96,43.22,41.54,37.7,36.41
Croatia,2.74,2.98,3.24,2.96,2.87,1.85,2.01,1.73,1.37,1,1.04,0.87,0.85,1.02,1.37,1.09,1.29,0.77,1.29,1.58,1.06,0.51,0.82,1.8,1.7
Italy,3.5,3,3.4,2.7,2.9,2.7,2.8,3.0,4.7,4.6,4.51,4.85,4.99,4.83,3.84,4.11,4.17,3.59,3.54,3.91,3.58,3.49,3.66,3.72,3.96
Cyprus,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
Latvia,54.8,55.8,42.3,44.2,45.1,39.3,42.8,57.5,59.0,59,:,27.2,36.3,28.3,32,37.3,35.8,31.8,21.7,43.2,41.3,36,35.2,32.6,33.6
Lithuania,133.1,111.3,74.6,59.8,55.5,50.9,51.1,69.8,74.3,82.2,49.5,42.0,55.9,49.4,37.9,38.76,32.56,25.84,21.28,41.12,36.96,26.11,29.47,28.09,23.3
Luxembourg,0.7,0.7,1.1,0.7,1.1,0.9,1.2,1.3,1.4,1.2,0.98,0.94,1.12,0.94,0.97,0.96,0.96,1.02,1.15,1.23,1.11,1.54,1.27,1.58,:
Hungary,43.5,50.9,49.1,46.5,45.4,41.8,39.1,39.8,43.9,40.1,37.03,32.84,35.15,35.36,33.62,37.75,27.23,26.59,26.23,25.94,26.38,25.7,20.09,28.89,37.83
