,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Belgium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bulgaria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Czechia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Denmark,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Germany,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Estonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ireland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Greece,3.34,3.35,3.3,3.6,3.7,3.8,3.8,4,4,5.4,6.51,7.04,6.82,7.37,8.14,8.73,9.17,8.7,9.11,8.98,9.92,8.42,9.55,10.05,:
Spain,:,:,:,:,:,:,:,:,:,:,120.26,120.21,115.76,114.08,113.21,111.47,109.13,107.52,108.61,105.58,104.5,102.38,97.53,97.05,:
France,1.87,1.86,1.86,1.86,0,1.54,1.56,2.11,2.13,2.06,1.92,1.92,1.89,2.27,2.1,2.11,1.9,1.95,1.99,2.1,2.16,2.27,2.33,2.36,:
Croatia,0.9,1.09,1.1,1.1,1.09,1.13,1.19,1.2,1.21,1.22,1.79,1.76,1.72,2.1,2.15,2.15,2.1,2.02,1.91,2.11,2.01,2.04,2.04,1.9,:
Italy,:,:,:,:,:,:,:,:,:,:,37.46,37.58,36.18,34.92,34.77,34.37,34.63,26.25,25.84,33.92,34.24,34.23,34.72,35.63,:
Cyprus,:,:,1.66,0.69,0.84,0.79,0.78,0.74,0.68,0.79,0.6,0.66,0.69,0.54,0.56,0.6,1.17,1.05,1.07,1.09,0.96,0.93,0.93,0.93,:
Latvia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lithuania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luxembourg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hungary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Malta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Netherlands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Austria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Poland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Portugal,5.04,5.05,5.05,5.06,4.89,4.46,3.88,3.39,2.91,2.35,2.34,2.34,2.41,2.35,2.41,2.5,2.51,2.51,2.51,2.6,2.6,2.74,2.86,2.86,:
Romania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Slovenia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Slovakia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Finland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sweden,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iceland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Norway,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,0,0,0,0,0,:,0,0,0
Switzerland,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,0,0,0,0,0,:,0,0,:,:
United Kingdom,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,:,:,:,:
Bosnia and Herzegovina,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.03,0.03,0
Montenegro,:,:,:,:,:,:,:,0,0,0,0,0,0,0,0,0.14,0.15,0.16,0.17,0.17,0.17,0.17,0.17,:,:
North Macedonia,:,:,:,:,:,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,:
Albania,:,:,:,:,:,:,:,:,0.11,0.14,0.21,0.27,:,:,0.5,0.6,0.7,0.8,:,0.99,1,1,1.1,1.1,:
Serbia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Türkiye,:,:,:,:,:,:,:,:,:,:,:,35,36,39,42,44,47,51,52,54,60,61,68,:,:
Kosovo*,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,0,0,0,0,:,:
