,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018.0,2019.0,2020.0,2021,2022,2023,2024
Belgium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0
Bulgaria,0,0,0,0,0,0,0,0,0.1,0,0.72,0.59,0.2,0.34,0.31,34.47,14.16,11.53,2.32,3.86,4.51,1.99,9.5,3.6,5
Czechia,1.9,2.7,3,7.7,9,9.3,9.6,7.5,4.3,6,9.47,7.58,5.74,6.51,7.24,12.31,10.61,15.34,15.23,12.24,14.15,19.68,28.54,26.51,28.33
Denmark,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0
Germany,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,15.8,19.1,24.1,28.9,33.8,34.2,51.5,44.8,41.7
Estonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0
Ireland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0
Greece,0.1,0.15,0.12,0.34,0.15,0.12,0.16,0.18,0.12,1.84,1.92,0.13,0.1,1.21,1.18,1.95,1.55,1.46,0.61,1.03,0.99,0.82,1.28,1.33,1.21
Spain,3.1,2.5,0.6,0.3,0.1,1,0.6,0.3,0.3,1.2,0.77,0.7,0.48,0.5,0.81,1.32,1,1.69,1.48,1.57,1.45,1.57,1.33,2.4,2.4
France,77.7,120.9,74.8,80.7,58.6,57.4,45.3,32.4,21.8,43.7,49.74,41.57,37.37,43,75.79,122.53,136.52,141.83,153.85,163.8,187.07,154.38,183.91,158.08,149.5
Croatia,47.48,41.62,47.9,49.86,36.98,48.21,62.81,46.51,35.79,44.29,56.46,58.9,54.11,47.16,47.1,88.87,78.61,85.13,77.09,78.33,86.19,86.26,90.67,71.35,85
Italy,252.6,233.5,152,152.1,150.4,152.3,177.9,130.3,107.8,134.7,159.51,165.96,152.99,184.15,232.87,308.98,288.06,322.42,326.59,273.33,256.13,285.46,342.53,310.72,310.72
Cyprus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0
Latvia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0
Lithuania,:,:,:,:,:,:,:,0,0,0,0,0.8,2.6,1.4,2.1,2.63,1.85,2.47,1.92,1.82,2.07,1.54,2.04,1.23,1.5
Luxembourg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.01,0.01,0.01,0.03,:
Hungary,22.2,20.6,25,30.3,27.3,33.6,35.9,32.9,29,31.5,37.69,41.01,40.91,42.35,42.97,72.02,61.03,75.67,62.12,58.23,58.67,62.12,66.28,58.39,111.85
Malta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0
Netherlands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.54,0.48,0.0,:,0.2,0,0
Austria,15.5,16.3,14,15.5,17.9,21.4,25,20.2,18.4,25.3,34.38,38.12,37.13,42.03,43.83,56.9,49.79,64.47,67.62,69.21,68.5,76.74,93.73,88.45,87.71
Poland,0,0,0,0.4,0.3,0.3,0.3,0.3,0.1,0.1,0.2,0.2,0.9,0,1.11,6.2,7.6,9.33,5.45,7.92,7.71,9.21,18.34,18.02,16.26
Portugal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0
Romania,116.98,44.79,71.78,128.78,121.27,143.09,190.83,133.23,49.86,48.83,63.95,72.06,79.79,67.67,79.91,128.16,127.27,165.14,169.42,158.15,168.9,139.61,135.85,140.52,150.21
Slovenia,0.03,0.04,0.07,0.04,0.08,0.17,0.23,0.13,0.05,0.07,0.11,0.11,0.14,0,0.4,1.71,2.47,2.91,1.76,1.43,1.64,1.89,2.33,3,:
Slovakia,6.1,6.4,9.7,11.1,8.6,10.7,12.3,7.9,5.4,9.7,13.98,19.7,21.89,29.22,33.23,43.37,34.87,43.9,45.3,47.6,51.07,64.14,66.65,50.15,66.6
Finland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0
Sweden,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0
Iceland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,:,0,0,0,0.0,0.0,0.0,0,0,0,0
Norway,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,0,0,0,0.0,0.0,0.0,:,0,0,:
Switzerland,:,:,:,:,:,:,1.2,1,1,:,1.09,1.12,1.09,1.36,1.5,1.72,1.77,1.7,1.8,1.72,2.03,2.24,2.9,3.09,2.9
United Kingdom,0,2.2,1,1.1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,:,:,:,:
