,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Belgium,7.7,15.4,7.4,11.3,7.2,7.4,7.1,5.9,6.2,5.7,4.3,4.5,2.5,3.84,3.85,4.17,3.16,2.71,3.17,2.95,4.12,3.21,5.74,3.6,:
Bulgaria,9.6,22.6,22.2,60.6,28.5,16,8.2,6.8,12.9,17.1,3.87,5.47,4.2,4.84,4.65,7.41,2.25,1.35,1.67,1.75,3.27,2.57,1.1,2,1
Czechia,352.9,338.8,345.2,451.1,353.4,396.7,425.6,369.2,341.2,320.2,278.72,271.97,284.33,242.72,247.59,261.41,221.72,230.53,222.12,211.88,217.28,215.74,211.89,192.39,189.99
Denmark,586.6,596.8,707.1,579.7,574.7,565.7,520.5,461.9,588.3,449.2,430.9,473.2,621.6,580.3,485.3,512,596.9,540.6,711.8,483.5,565.4,545.4,550.8,503.6,545.4
Germany,621.2,638.8,609.4,751.3,614.2,602.3,542,492.8,543.5,426.2,346.55,420.3,587.7,359.4,345.9,368.9,337.8,339.5,445.9,356.9,363.3,298.4,371.1,321.6,363.2
Estonia,165.1,134.3,129.9,131.3,126.9,143.5,141.3,135,135.5,139.2,103.8,118,108.7,133,125.6,130.3,133.6,98.29,130.75,106.22,108.29,96.99,80.96,74.69,:
Ireland,158.2,162.4,152.8,163.27,163.16,147.4,151.88,148.81,166.03,174.28,145.96,144.77,151.76,183.46,155.59,133.04,114.6,115.18,127.36,96.52,141.72,116.41,116.49,132.92,138.5
Greece,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spain,2453.8,2253.1,2385.6,2300.1,2349.7,2389.8,2491.7,2416.5,2878.4,2537.6,2436.44,2290.26,2276.26,2360.13,2407.55,2230.46,2241.39,2192.94,2232.78,2426.41,2440.62,2262.89,2155.64,2142.39,2167.25
France,468.2,617.1,474,697.5,588.5,545.3,491.8,515.6,530.2,563.8,419.09,480.48,:,495.61,526.29,463.27,409.82,506.98,484.38,638.97,794.11,530.94,572.1,449.71,515.01
Croatia,:,:,:,:,:,:,:,:,9.19,7.84,5.75,7.81,8.46,5.04,2.74,5.08,4.83,6.76,3.93,5.19,6.83,6.61,7.66,9,7
Italy,:,:,:,:,:,:,0,0,0,0,0,0,0,0,0,:,0,0,0,0,0,9.17,9.68,10.15,9.34
Cyprus,:,:,:,:,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Latvia,130.6,124,132.1,129.2,123.5,145.9,149.8,139.7,123.9,94.6,:,92.3,83.6,81.5,115.1,96.1,92.4,67.1,114.6,79.8,75,61.6,56.2,57.5,53.9
