,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Belgium,1.2,1.2,1.3,1.3,1.3,1.3,1.33,1.34,1.33,1.27,:,:,:,:,1.31,1.35,1.35,1.43,1.17,1.18,1.16,1.18,1.18,1.19,:
Bulgaria,:,49.9,44.5,46,47.7,41.9,42.75,45.37,45.3,46.51,:,:,:,:,:,22.28,22.68,23.67,24.66,26.3,24.92,26.94,26.89,23.54,:
Czechia,13.5,12.4,6.88,6.87,7.54,7.23,7.14,6.82,6.69,6.65,6.57,6.59,6.64,6.29,6.16,5.79,5.61,5.34,5.42,5.53,5.55,5.5,5.38,5.12,:
Denmark,2.5,2.7,2.6,2.6,2.6,2,2,:,:,:,1.6,1.59,:,:,:,1.21,0.85,0.72,0.62,0.61,0.7,0.66,0.78,0.72,:
Germany,16.76,16.76,14.93,14.93,14.93,14.95,14.83,13.96,13.95,13.79,13.4,13.28,11.82,11.77,11.71,11.55,11.49,13.13,13.1,13.11,13.07,13,12.5,12.39,:
Estonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,:,0,0,0,0
Ireland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Greece,63.03,63.36,63.14,56.27,54.07,53.46,53.46,57.13,57.15,58.56,62.74,59.96,62.9,66.69,70.35,69.58,67.54,67.45,69.92,68.9,81.67,67.41,67.52,77.33,:
Spain,152.4,145.4,117.3,164.5,143.7,143.4,143.52,143.17,75.53,75.53,:,:,:,:,:,148.11,148.12,148.32,143.52,140.84,134.61,135.05,131.12,128.17,:
France,67.54,65.9,64.53,64.05,62.58,61.14,59.69,59.89,58.87,57.85,55.98,53.7,51.6,47.87,46.88,45.01,46.69,46.74,46.66,44.18,53.86,52.39,51.85,51.41,:
Croatia,8.5,8.5,8.63,8.53,7.28,6.98,7.72,8.07,9.56,10.01,11.88,11.32,10.93,9.11,9.93,10.07,9.54,9.13,8.36,8.46,7.58,7.8,7.44,7.7,:
Italy,162.4,161.7,162.3,159.6,159.3,158.5,157.2,155.2,156.5,154.9,:,:,:,:,:,125.74,129.9,125.34,122.99,119.5,117.84,114.78,114.96,112.6,:
Cyprus,:,1.2,1.35,1.6,1.38,1.55,1.78,1.79,1.35,1.86,1.54,1.53,1.51,1.36,1.38,1.52,1.29,1.13,1.09,1.13,1.24,1.27,1.2,1.2,:
Latvia,1.5,2,1.9,1.8,1.6,1.9,1.5,1.1,0.4,0.3,0.2,0.2,0.2,0.3,0.2,0.2,0.2,0.6,0.8,0.18,0.2,0.2,0.17,0.2,:
Lithuania,2.2,2.3,2.2,1.35,1.33,1.51,2.82,2.22,1.54,1.56,1.49,1.53,1.61,1.63,1.64,1.57,1.47,1.47,1.49,1.52,1.54,1.51,1.48,1.65,:
Luxembourg,0.9,0.9,0.9,0.9,0.9,0.9,0.04,0.04,0.04,0.04,0,:,:,:,:,0.03,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,:
Hungary,:,:,36.5,41,40.7,41.9,38.3,38.28,39.18,38.01,37.89,37.89,:,:,33.7,33.28,34.09,34.38,34.24,34.13,34.39,34.62,33.13,31.86,:
Malta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Netherlands,0.9,0.9,1,1,0.9,0.9,0.9,0.97,0.99,1.02,1.09,1,0.99,0.99,1.04,1.11,1.1,1.1,1.1,1.06,1.1,1.03,1,1.01,:
Austria,1.3,1.3,1.1,1.1,1.2,1.2,1.2,1.22,1.11,1.16,1.24,1.28,1.28,1.44,1.38,1.31,1.38,1.38,1.51,1.5,1.52,1.54,1.53,1.54,:
Poland,:,91.3,83.8,79.2,80.8,69.6,72.1,75.06,72.05,72.31,74.26,76,69.6,70,68.9,56.5,53.42,52.84,53.48,54.13,55.6,53.4,54.4,53.8,:
Portugal,15.56,15.24,14.72,14.08,13.6,13.15,12.66,12.21,11.81,11.48,11.55,11.55,11.83,12.04,12.07,12.54,12.75,12.76,12.46,12.81,12.79,12.61,12.61,12.61,:
Romania,114.09,113.73,106.63,111.05,113.2,109.41,91.05,89.01,87.46,85.82,80.8,79.67,79.84,79.96,77.78,76.35,75.24,76.58,76.64,75.49,76.66,76.15,75.83,77.92,:
Slovenia,1,1,0.9,0.9,0.9,0.9,0.88,0.7,0.7,0.7,:,:,:,:,:,0.59,0.59,0.59,0.59,0.6,0.61,0.61,0.61,0.62,:
Slovakia,1.9,2.3,2.1,1.9,1.7,1.7,1.87,1.79,1.76,1.84,1.84,0.76,:,:,:,:,:,1.26,1.4,1.43,1.26,1.17,1.2,1.19,:
Finland,0,0,0,0,0,0,0.04,0.03,0.03,0.04,0,0,0,0.04,0.04,0,0,0,0,0,0,0,0,0.03,0
Sweden,0.34,0.32,0.31,0.28,0.27,0.23,0.23,0.21,0.19,0.18,0.16,0.16,0.12,0.1,0.08,0.07,0.07,0.07,0.06,0.06,0.09,0.09,0.09,0.07,:
Iceland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Norway,:,:,:,:,0.7,0.6,0.6,0.7,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Switzerland,:,:,:,:,:,:,:,:,:,:,:,:,:,:,1.62,1.62,1.64,1.66,1.65,1.65,1.56,:,:,:,:
United Kingdom,1.7,1.5,1.4,1.4,1.4,1.4,1.4,1.3,:,:,:,:,:,:,1,0,1.4,1.3,1.38,1.4,:,:,:,:,:
Bosnia and Herzegovina,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,44.7,44.67,:
Montenegro,:,:,:,:,:,:,:,0.27,0.27,0.27,0.28,0.32,0.32,0.35,0.34,0.36,0.35,0.39,0.4,0.41,0.44,0.44,0.44,:,:
North Macedonia,3,3.1,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Albania,:,:,:,:,:,:,:,:,:,:,:,:,6.5,:,:,:,:,:,:,:,:,:,6.7,6.9,:
Serbia,:,:,:,:,:,:,:,111.37,112.51,111.16,111.53,109.82,108.95,108.95,108.95,109.7,109.7,107.04,108.1,108.7,111,110.56,110.62,112.53,:
Türkiye,:,190.7,195.1,201.7,205.9,216.8,224.8,236,244,:,:,:,:,:,:,291,298,300.3,301,305,307,310,318,:,:
Kosovo*,:,:,:,:,:,:,:,2.1,1.6,1.2,1.2,1.2,1.6,2.2,1.6,1.7,1.8,:,:,2.5,2.61,2.63,2.65,:,:
