,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Belgium,:,:,:,:,:,:,:,:,:,:,0.48,0.47,0.48,0.52,0.51,0.51,0.51,0.52,0.55,0.57,0.62,0.63,0.64,0.63,:
Bulgaria,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0.56,0.59,0.58,0.64,0.61,0.5,0.51,0.64,0.59,0.64,:
Czechia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,:
Denmark,:,:,:,:,:,:,:,:,:,:,0.04,0.03,0.04,0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,:
Germany,:,:,:,:,:,:,:,:,:,:,0.32,0.32,0.32,0.33,0.33,0.33,0.34,0.37,0.4,0.39,0.38,0.4,0.38,0.37,:
Estonia,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0.01,0.01,0.01,0,:
Ireland,0.03,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,:
Greece,3.74,4.37,3.55,3.52,3.57,3,2.9,2.69,2.52,2.72,2.57,2.78,2.8,2.98,3.06,2.82,2.59,2.67,2.7,2.61,2.67,3.11,2.71,2.61,:
Spain,:,:,:,:,:,:,:,:,:,:,18.22,16.97,18.48,19.72,21.13,19.41,19.98,18.95,18.97,17.8,16.79,16.27,16.04,16.8,:
France,:,:,:,:,:,:,:,:,:,:,1.9,1.98,1.98,2.11,2.07,2.03,2.21,2.09,2.14,2.15,2.17,2.17,2.15,2.12,:
Croatia,0,0,0,0,0,0,0,0,0.05,0.06,0.11,0.1,0.1,0.14,0.05,0.13,0.1,0.09,0.08,0.05,0.11,0.09,0.09,0.08,:
Italy,:,:,:,:,:,:,:,:,:,:,4.63,7.61,6.36,6.91,7.15,7.44,7.16,7.08,7.23,7.61,7.61,7.35,6.82,7.12,:
Cyprus,:,:,:,:,0.06,0.06,0.06,0.05,0.05,0.04,0.03,0.03,0.03,0.03,0.04,0.13,0.12,0.12,0.12,0.15,0.11,0.11,0.15,0.15,:
Latvia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,:,0,0,0,0
Lithuania,:,:,:,:,:,:,:,:,:,:,0.3,0.31,0.29,0.29,0.28,0.27,0.28,0.29,0.29,0.28,0.41,0.47,0.47,0.47,:
Luxembourg,:,:,:,:,:,:,:,:,:,:,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hungary,:,:,:,:,:,:,:,:,:,:,0.46,0.45,0.4,0.4,0.42,0.2,:,:,:,:,:,:,:,:,:
Malta,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,0,0,0,0,0,0,0,0,0
Netherlands,:,:,:,:,:,:,:,:,:,:,1.68,1.7,1.69,1.77,1.78,1.76,1.78,1.79,1.79,0.91,0.91,0.88,1.82,1.77,:
Austria,:,:,:,:,:,:,:,:,:,:,0.17,0.18,0.17,0.18,0.18,0.18,0.17,0.17,0.19,0.19,0.19,0.19,0.18,0.19,:
Poland,:,:,:,:,:,:,:,:,:,:,2.4,2.4,2.2,2.2,3.1,3.1,3.25,3.23,3.25,3.2,1.5,1.8,1.2,1.3,:
Portugal,:,:,:,:,:,:,:,:,:,:,:,0.89,1,1.17,0.93,0.98,0.96,1,1.01,0.93,1.4,1.4,1.24,1.08,:
Romania,0.29,0.19,0.17,0.2,0.26,0.16,1.07,1.19,1.35,1.37,1.18,1.57,1.4,1.47,1.62,1.65,1.73,1.66,1.84,1.83,1.79,1.78,1.9,2.05,:
