,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021,2022,2023,2024
Belgium,0.7,0.7,0.6,0.6,0.6,0.6,0.56,0.54,0.51,0.52,0.48,0.47,0.48,0.52,0.51,0.51,0.51,0.52,0.55,0.57,0.62,0.63,0.64,0.63,:
Bulgaria,29,15.5,14.6,15.6,12.3,5.4,7.02,4.83,3.47,3.01,3.49,4.3,3.4,3.8,3.59,3.28,4.2,5.01,4.52,5.15,3.09,3.07,3.08,3.18,3
Czechia,1.98,1.55,0.43,0.46,0.47,0.48,0.41,0.43,0.3,0.44,0.39,0.41,0.38,0.31,0.28,0.2,0.34,0.24,0.3,0.16,0.26,0.26,0.13,0.12,0.14
Denmark,0.1,0.1,0.1,0,0,0,0,:,:,:,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03
Germany,0.3,0.3,0.3,0.3,0.3,0.3,0.28,0.29,0.31,0.32,0.32,0.32,0.32,0.33,0.33,0.33,0.34,0.37,0.4,0.39,0.38,0.4,0.38,0.37,:
Estonia,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,0.01,0.01,0,:
Ireland,0.03,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
Greece,37.41,36.4,35.51,35.2,35.7,30,29,26.83,25.05,27.2,24.2,19.73,15.98,16.66,17.26,15.25,14.01,13.32,16.02,15.01,15.82,13.14,9.43,15.93,16.02
Spain,62.3,63,59.5,63,69.9,72.3,56.69,53.3,55.3,62.1,59.27,51.19,48.61,46.62,54.75,58.13,62.72,60.85,56.13,56.94,55.47,56.11,45.15,50.09,50.8
France,7.3,7.2,6.4,6.2,5.9,5,4.4,3.9,4.1,:,5.93,6.02,5.23,5.92,5.83,5.69,5.65,5.75,5.74,5.66,6.26,6.19,5.89,5.92,5086
Croatia,0.48,0.5,0.47,0.48,0.46,0.66,0.46,0.92,0.69,0.69,0.5,0.6,0.45,0.58,0.32,0.42,0.37,0.45,0.49,0.32,0.4,0.29,0.35,0.43,0.4
Italy,136.3,123.5,122,130.5,145,138.8,122.4,125.3,115.5,117.1,118.82,103.78,91.85,95.19,103.11,107.18,103.94,99.75,97.09,99.02,99.78,102.06,97.61,99,100.09
Cyprus,0,0,0,0,0.38,0.36,0.36,0.33,0.33,0.23,0.21,0.2,0.2,0.21,0.21,0.27,0.22,0.26,0.29,0.28,0.24,0.25,0.27,0.28,0.28
Latvia,0,0.1,0.2,0.3,0,0.1,0.1,0.1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
Lithuania,0.89,0.81,0.64,0.44,0.23,0.32,0.21,0.27,0.24,0.45,0.71,0.63,0.58,0.59,0.54,0.49,0.57,0.55,0.57,0.56,0.68,0.72,0.72,0.71,0.7
Luxembourg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
Hungary,6,6.3,7.2,6.6,5.9,3.6,2.9,2.62,2.28,2.34,1.87,1.98,1.28,1.74,1.88,2.26,2.08,2.19,2.5,2.41,1.82,1.94,1.68,1.75,1.8
Malta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
Netherlands,1.1,1.2,1.2,1.3,1.4,1.4,1.48,1.55,1.6,1.63,1.68,1.7,1.69,1.77,1.78,1.76,1.78,1.79,1.79,1.8,1.87,1.85,1.82,1.77,:
Austria,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.17,0.18,0.19,0.18,0.18,0.19,0.19,0.18,0.18,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Poland,21,19.5,8.7,11.4,12.1,13.2,13.4,11.47,10.46,11.15,12.08,13.5,13.1,11.8,13.5,13.8,12.42,12.64,13.11,13.5,7.8,7.7,6.7,8.5,7.1
Portugal,:,:,:,:,:,:,:,:,:,:,:,16.75,15.41,15.63,18.46,18.66,20.85,20.87,15.83,15.89,15.04,17.7,16.58,18.44,19.95
Romania,25.8,24.7,26.56,28.03,28.86,21.95,31.44,26.01,30.28,27.6,28.48,31.64,29.75,28.07,24.43,24.84,22.71,22.21,22.97,23.78,17.47,18.13,17.17,17.45,17.51
Slovenia,0.16,0.19,0.19,0.22,0.17,0.16,0.18,0.14,0.19,0.19,0.12,0.2,0.22,0,0.23,0.19,0.21,0.2,0.19,0.22,0.26,0.21,0.22,0.18,:
Slovakia,3.6,1.6,1.5,1.4,1.3,1.1,1.12,1.02,0.78,0.76,0.54,0.77,0.51,0.44,0.51,0.57,0.68,0.6,0.59,0.48,0.22,0.24,0.23,0.22,:
Finland,0.1,0.1,0.1,0.1,0.1,0.1,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.12,0.11,0.11,0.11,0.11,0.1,0.09,0.1,0.09,0.09,0.08,0.09
Sweden,0.05,0.05,0.07,0.06,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.05,0.04,0.04,0.04,0.04
