,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016.0,2017,2018.0,2019.0,2020.0,2021,2022,2023,2024
Belgium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0
Bulgaria,:,8.7,7.9,10.8,6.1,4.8,6.41,3.38,3.51,3.86,3.3,3.8,3.1,3.1,2.86,3.21,4.74,4.82,4.32,4.78,4.42,4.75,3.34,3.71,:
Czechia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0.06,:
Denmark,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0
Germany,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0
Estonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0
Ireland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0
Greece,18.61,15.44,15.7,16.1,16.2,16,13.9,13.3,13.1,12.2,12.3,14.07,13.14,13.52,12.54,11.41,10.76,11.13,9.62,8.82,8.77,10.3,7.13,8.52,:
Spain,18.3,17.7,15.6,16.3,17.2,16.2,16.17,16.86,15.4,17.6,18.65,17.78,18.95,17.94,17.95,19.15,19.16,20.03,20.4,21.46,21.62,23.99,21.7,21.46,:
France,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,:,0.59,0.85,0.17,0.82,0.8,0.89,0.91,0.93,0.94,0.64,0.9,0.88,0.92,0.93,:
Croatia,0.93,0.97,1.04,0.93,0.87,0.92,0.97,1.17,1.19,1.35,0.71,0.61,0.54,0.63,0.69,0.61,0.68,0.68,0.97,0.67,0.53,0.72,1,0.9,:
Italy,15.6,15,15.5,14.8,14.5,14.2,12.8,11.1,11.1,:,12.62,10.72,8.71,9.48,11.42,11.58,12.21,12.84,13.14,13.73,13.45,13.25,12.39,15.17,:
