,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016.0,2017,2018,2019,2020,2021,2022,2023,2024
Belgium,213,181,203,199,212,214,210,210,224,211.5,213,200.71,217.1,201.86,210.76,221.78,215.72,197.59,195.69,203.76,194.66,209.18,204.46,210.13,:
Bulgaria,1121.8,1355.5,1368.6,841,1039.6,1101.8,970.4,1088,1111.5,1247.7,1131.56,1137.46,1185,1314.29,1267.91,1105.92,1192.59,1144.52,1212.01,1198.68,1200.18,1206.19,1206.58,1221,:
Czechia,970.4,923.2,848.8,648.4,863.2,820.4,781.5,811,802.3,831.3,833.58,863.13,815.38,829.39,835.94,829.82,839.71,832.06,819.69,839.45,798.58,784.78,854.43,817.76,776.5
Denmark,619.2,634,576.6,664.3,666.4,675.6,686.3,688.8,638.2,739,763.6,747,614.1,567.9,662.1,632.4,583.0,586.6,425.8,573.4,502.6,537.7,497.3,489,522.8
Germany,2968.9,2897.2,3014.6,2963.7,3111.6,3173.7,3114.6,2992.1,3213.5,3226,3297.7,3248.2,3056.7,3128.2,3219.7,3282.7,3201.7,3202.6,3036.3,3118.1,2835.5,2939,2980.9,2897.8,:
Estonia,68.9,59.6,64.5,67.2,78.4,85.4,90.9,99.5,107.6,113.6,119.4,128.4,124.3,124.2,154.4,169.7,164.5,169.75,154.58,166.98,168.04,180,180.97,173.57,:
Ireland,78,84.9,102.7,95.72,102.72,95.23,87.51,84.25,110.67,84.47,77.82,94.16,98.03,60.6,71.61,65.33,67.92,67.05,57.98,63.48,46.99,62.33,67.23,55.7,47.85
Greece,829.29,931.08,890.31,851.09,838.86,868.74,685.17,678.05,657.37,781.99,661.05,543.7,563.2,579.27,545.38,488.2,537.59,415.95,404.49,350.49,355.88,411.01,412.49,247.53,261.62
Spain,2353,2177,2406.7,2220.6,2175,2274.2,1920.2,1803.3,2057.9,1772.5,1948.07,2372.71,2188.17,2124.97,2171.2,2176.35,2256.85,2062.71,2063.68,1920.09,1914.66,2128.47,2172.7,1950.4,1947.25
France,5248.4,4766.6,5230.3,4877.1,5237.4,5277.9,5245.8,5238.8,5492.5,5146.6,5405.36,5407.33,5303.33,5319.15,5297.28,5480.21,5542.25,5332.08,5234.09,5244.25,4519.78,5276.73,4949.84,4982.5,4626.62
Croatia,182.33,184.27,179.15,157.18,162.63,146.25,175.55,175.05,156.54,180.38,168.51,149.8,186.95,204.51,156.99,142.68,171.4,118.38,138.46,143.15,147.84,147.39,161.83,170,141
Italy,2321.9,2289.4,2415.4,2266.1,2353.9,2122.9,1925.7,2100.4,2289,1795.5,1829.52,1726.03,1853.64,1902.16,1874.18,:,1912.42,1806.57,1821.73,1754.64,1711.22,1726.61,1776.73,1867.56,1741.39
Cyprus,6.2,5.4,5.9,7.23,7.45,5.26,5.39,5.29,4.99,5.76,7.83,10.59,8.55,6.92,6.14,11.97,8.39,8.68,10.2,10.59,12.97,12.32,12.1,11,12.25
Latvia,158.1,166.8,153.5,167.8,169.9,187.4,215.1,224.6,256.6,285.7,:,306.9,352.4,369.3,391.6,447.3,479.1,446.8,417.2,492.7,498.2,537.3,537.5,525,:
Lithuania,370.4,352.2,335.1,336.5,355.1,369.5,343.8,354.6,403.5,500,517.6,551.1,627,667.4,708,836.22,880.53,811.95,772.89,895.76,893.51,944.17,946.72,940.29,945.2
Luxembourg,11,9.8,12,11.2,11.7,11.9,12.7,12.6,14.6,13.8,14.01,13.88,13.52,14.25,12.67,14.49,13.81,14.11,12.87,13.36,11.93,12.87,13.57,12.47,:
Hungary,1024.4,1205.6,1110.5,1113.8,1173.8,1130.7,1074.7,1111.3,1130.3,1146.5,1010.73,977.84,1070.02,1090.48,1112.73,1029.32,1044.31,966.4,1026.15,1015.64,936.62,892.79,979.01,1053.58,928.45
Malta,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,0.0,0,0,0,0,0,0,0,0
