,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Belgium,545.5,336.6,348.6,318.9,355.8,317.2,357.52,358.01,335.9,310.56,343.98,228.41,220.38,228.92,318.44,284.94,233.72,87.8,231.3,241.86,168.03,249.74,238.6,203.01,:
Bulgaria,:,:,:,:,:,:,26.33,26.17,23.5,35.46,0,40.4,30.94,55.01,53.81,57.39,43.66,44.84,47.87,42.16,34.49,41.69,43.38,33.73,:
Czechia,339.43,221.16,165.97,140.65,146.89,134.09,136.39,115.81,154.06,142,99.8,84.59,118.71,121.8,128.29,155.36,125,105.28,151.53,99.5,115.59,114.96,131.35,101.02,:
Denmark,20.3,21.5,18.9,32.1,35.3,35.3,31.8,:,:,:,21.77,23.86,14.98,24.95,28.3,28.52,22.96,18.45,26.12,20.17,32.02,24.45,32.83,19.56,:
Germany,:,:,:,:,:,:,:,673.44,758.86,739.78,632.17,655.09,662.22,610.62,773.02,686.37,708.27,446.37,819.29,708.2,720.65,764.45,765.75,699.56,:
Estonia,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,1.2,0,0,0,0,0,0,0,0,0,0
Ireland,0,:,:,:,:,:,:,10.09,10.37,8.8,13.02,12.57,5.81,8.54,12.4,12.1,14.77,14.47,14.26,12.78,12.57,8.75,15.89,10.9,:
Greece,330.22,225.44,229.3,202.5,275,247,262.9,262.3,255.64,271.5,239.1,255.8,251.03,282.61,282.45,293.57,293.29,282.29,285.81,277.11,303.58,286.86,289.28,215.13,:
Spain,778.4,849.5,664.5,821.4,610.3,686.4,576.22,598.05,615.8,460.5,546.83,559.99,380.61,462.48,543.84,513.72,541.73,477.38,463.77,526.13,435.04,499.46,415.13,404.45,:
France,1869.08,1655,1777.79,1547.5,1633.29,1662.46,1512.83,1641.12,:,:,:,:,:,1534.17,1380.5,1436.12,1347.68,1315.2,1294.69,1363.83,1275.52,1173.93,1301.78,1439.84,:
Croatia,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,:,:,:,:,:,:
Italy,2232,2299.1,2199.2,1953.8,2136.2,2192,2131,2224.1,2209.2,2176.2,:,2411.2,:,:,:,2487.95,2455.62,1912.27,2466.99,2303.69,2439.51,2099.34,2124.57,2137.62,:
Cyprus,11.3,:,:,:,10.55,10.78,10.74,8.59,6.54,7.27,6.95,7.12,6.84,5.31,4.85,4.88,4.2,3.79,1.91,1.84,2.67,3.01,2.9,2.84,:
Latvia,35.4,36.1,50.4,36.1,6.9,37.5,33.9,30.5,28.9,12.8,:,7.5,9.4,14.8,9.6,7.8,9.8,7.5,13.9,10.39,13.9,8.2,10.04,7.7,:
Lithuania,:,:,:,:,:,:,:,:,29.37,27.41,11.57,8.13,20,9.06,15.49,20.15,8.92,37.25,30.87,10.6,19.07,26.63,34.78,24.34,:
Luxembourg,4.4,2.1,3.8,1.5,3.2,1.4,1.28,1.28,1.26,1.56,1.34,1.31,1.03,1.1,1.48,1.31,0.57,0.29,1.09,1.24,1.17,0.94,0.98,0.78,:
Hungary,:,:,:,:,305.9,308.4,262.5,130.73,317.35,325.41,312.81,:,:,:,453.45,344.33,284.2,269.5,385.65,285.09,219.29,277.25,179.96,271.3,:
Malta,0.1,0.1,0,0,0.1,0.07,0.1,0.06,0.06,0,0.05,0.04,0.03,0.04,0.04,0.03,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0
Netherlands,333,318,262,286,358,273,300,299,314,322,340,418,281,314,353,335.9,317.4,227,269.1,273,220,245,236,198,:
Austria,195.9,186.9,204.2,175.2,197.7,219.6,184.7,221.46,197.96,223.95,199.69,226.59,173.98,162.37,214.47,201.63,58.81,109.07,211.38,162.12,145.86,134.76,169,136.42,:
Poland,:,:,:,:,:,:,:,644.78,1755.14,1628.29,1359.2,1800.4,1907.1,2153.7,1923.1,2172.6,2021.21,1643.04,2484.6,2281.41,2310.9,2440.4,2649.1,2312.1,:
Portugal,213.71,240.28,279.21,265.02,255.86,233.01,238.66,228.29,220.42,244.73,198,229.92,205.31,267.2,254.56,302.24,236.52,306.32,245.48,344.76,266.05,342.45,270.81,284.25,:
Romania,481.18,498.36,482.41,802.02,1097.84,611.2,579.45,472,455.85,513.63,543.78,611.25,453.78,502.95,502.44,465.47,456.9,339.57,634.77,492.7,537.47,593.7,543.38,531.07,:
Slovenia,84.1,50.8,93.9,70.2,92.9,84.5,79.88,86.98,71.61,72.59,:,81.32,55.34,69.57,71.03,83.86,42.74,13.61,86.59,54.27,66.12,23.01,48.84,30.6,:
Slovakia,30,26.6,27.4,34.1,31.1,36.3,30.78,17.72,41.8,37.69,34.17,31.36,44.67,45.95,48.49,46.25,20.72,32.48,43.93,35.19,28.43,29.59,31.07,26.4,:
Finland,2.7,2.7,3.2,2.8,2.7,3.6,3.26,3.48,4.28,4.28,4.26,5.25,4.81,4.81,5.34,6.03,6.4,6.76,7.2,8.09,7.17,7.89,7.01,7.8,:
