,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021,2022,2023,2024
Belgium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
Bulgaria,:,8.4,4.2,18.5,18.5,10.6,13.29,8.31,13,7.57,11.6,12,10.2,18.02,11.37,14.18,15.5,22.54,13.59,20.24,9.52,20.7,19.04,10.84,:
Czechia,7.45,3.74,1.46,4.29,5.48,2.37,3.02,5.44,2.86,4.95,1.33,2.42,1.03,3.99,2.32,2.24,0.78,1.02,2.26,2.87,0.59,1.86,1.53,0.71,:
Denmark,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
Germany,0.31,0.14,0.24,0.19,0.49,0.22,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
Estonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
Ireland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
Greece,75.17,65.34,54.2,41.5,78.5,59.5,59.7,87.2,79.7,56.8,76.78,82.77,90.21,110.08,86.81,89.36,92.39,106.63,108.6,118.34,125.64,76.54,112.24,97.9,:
Spain,128.3,134.8,44.6,143.8,121.5,137.2,156.87,89.02,103.4,97.1,79.1,28.76,117.91,131.78,136.45,153.67,139.61,162.87,176.29,145.83,128.7,114.72,80.87,108.45,:
France,130.52,96.09,166.08,116.59,165.43,177.7,181.03,127.09,96.12,194.62,143.21,148.65,175.23,127.16,175.76,159.38,113.26,159.35,112.89,134.8,85.26,54.59,128.08,127.78,:
Croatia,0.47,0.23,0.34,0.37,0.38,0.26,0.72,0.68,0.87,0.46,0.41,0.68,0.24,0.63,0.36,0.34,0.51,0.69,0.11,0.71,0.8,0.12,0.67,0.29,:
Italy,201.4,187.7,200.1,108.3,213.4,232.9,222,214.6,205.5,233.6,252.89,263.13,254.57,198.29,222.69,216.77,237.02,266.37,229.02,272.99,173.38,189.57,230.08,207.19,:
Cyprus,2.2,1.9,2,0.8,1.16,1.73,1.8,1.89,1.02,1.06,0.99,0.92,0.93,0.82,0.76,1.09,0.82,1.06,0.92,0.96,0.99,1.04,1,1.01,:
Latvia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
Lithuania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
Luxembourg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
Hungary,21.4,15.5,7,30.8,35.2,25.7,40.3,21.73,26.76,33.46,27.06,24.77,10.78,21.49,23.09,19.86,23.53,24.1,14.33,25.49,10.62,11.77,24.11,14.03,:
Malta,0,0,0,0,0,0.04,0.05,0.02,0.05,0.04,0.05,0.09,0.03,0.05,0.03,0.04,0.02,0.04,0.04,0.02,0.02,0.01,0.03,0.01,0
Netherlands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
Austria,13.9,11.2,6.1,17.4,15.7,13.1,25.2,14.55,15.33,24.41,4.39,8.03,2.91,12.2,8.59,8.67,5.26,6.48,9.31,11.51,1.58,5.69,6.28,4.67,:
Poland,:,:,4.2,4.8,4.9,3.2,2.4,1.08,4.1,5.24,3.4,4,3.4,4.1,3.7,3.7,3.07,1.34,3.6,3.14,3.1,3.1,4.6,4.4,:
Portugal,5.4,2.8,4.38,4.17,4.01,3.6,3.45,3.27,3.12,3.89,3.23,3.23,3.25,2.16,2.23,2.89,2.33,4.58,3.51,3.61,3.24,3.45,4.01,4.01,:
Romania,26.89,26.81,16.75,41.09,20.65,43.15,36.82,26.85,31.04,31.32,22.3,32.32,27.82,27.01,42.29,29.71,29.47,32.64,34.43,29.42,26.77,26.84,23.5,24.55,:
Slovenia,0.36,0.15,0.23,0.04,0.34,0.18,0.3,0.22,0.04,0.28,0.24,0.37,0.39,0.15,0.29,0.79,0.54,0.76,0.13,0.92,0.48,0.06,0.91,0.36,:
Slovakia,0,0,0,0,0,0,0.42,0.15,0.41,0.63,0,0.28,0.27,0.37,0.4,0.25,0.23,0.33,0.34,0.45,0.14,0.31,0.46,0.27,:
Finland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
Sweden,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
Iceland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
Norway,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.0,0.0,0.0,0.0,0.0,0.0,:,0,0,0
Switzerland,:,:,:,:,:,:,:,:,:,:,:,:,:,:,7.87,7.87,8.79,3.13,7.73,6.77,6.05,2.32,6.43,3.79,:
United Kingdom,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,:,:,:,:
Bosnia and Herzegovina,0.71,0.63,0.74,0.5,0.72,0.52,0.84,0.9,0.61,1.08,1.24,1.4,1.03,1.05,0.81,0.93,1.0,1.2,0.84,1.03,0.75,0.66,4.12,5.36,:
Montenegro,:,:,:,:,:,:,:,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
North Macedonia,4.2,2.8,:,:,:,2.96,3.56,3.53,3.71,2.95,3,3.75,4.5,3.97,4.62,3.26,3.47,3.99,3.9,6.07,3.43,2.58,5.31,3.42,:
Albania,:,:,:,:,:,:,:,:,2.4,2.9,3.5,3.9,4.3,:,4.14,5.0,5.2,5.0,5.1,4.9,5.1,5.1,5.5,5.6,:
Serbia,:,:,:,:,:,:,:,30.78,30.74,42.55,31.65,44.08,22.63,29.66,29.66,26.7,23.9,41.32,25.4,40.9,30.5,31.36,44.39,29.09,:
Türkiye,:,470,315,460,320,860,460.2,558,716,651,:,650,760,812,278,696.0,749.0,1007.0,770.0,864.0,850.0,818,824,:,:
Kosovo*,0,0,0,0,0,0,0,0.2,0.2,0.05,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.04,0.1,0.09,0.09,0.11,:,:
