,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Belgium,:,:,:,:,:,:,:,:,:,:,0,:,:,:,:,0,0,0,0,0,0,0,0,0,0
Bulgaria,15.3,44,57.5,52.8,97.6,41.9,32.9,37.4,57,48.3,65.14,49.4,40.4,39.71,56.07,72.53,74.48,81.13,71.08,98.43,107.58,132.16,98.6,80,:
Czechia,4.6,4.3,5.8,7.3,7.7,7.7,4.7,3.9,3.8,3.9,5.61,7.02,6.1,3.78,5.06,4.35,4.05,6.73,6.77,4.26,3.73,6.4,5.62,4.44,:
Denmark,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Germany,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Estonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,:,:,:,0,0,:,:,:,:,:,:
Ireland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Greece,0.72,0.6,1.43,2.93,3.63,4.17,3.03,3.49,2.98,3.27,3.66,5.59,6.72,4.94,7.78,12.25,24.49,29.55,32.01,31.37,30.96,24.69,23.65,27.86,:
Spain,19.1,15.7,14,6.1,16.9,16.9,14,17.7,18.4,18.2,18.81,22.24,:,:,:,18.34,23.44,32.41,43.28,62.27,74.05,91.09,80.42,80.42,:
France,:,:,:,:,:,:,:,:,0,0,0,:,0,:,:,:,19.64,:,:,:,:,:,20.88,20.08,:
Croatia,1.1,1.4,2.15,1.55,1.51,2.97,2.26,2.21,1.46,1.61,1.34,2.62,1.92,1.58,1.98,2.8,5.18,7.45,6.32,4.22,6.82,6.29,6.93,5.4,:
Italy,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,0,0,0,55.85,39.53,111.15,116.09,:
Cyprus,:,:,:,:,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Latvia,0,0.1,0.2,0.1,0.1,0.3,0.1,0.1,0.1,0.1,0.2,0.3,0.3,0.3,0.3,0.6,0.8,0.6,1.2,0,0.4,0.4,0.1,:,:
Lithuania,:,:,:,3.8,1.9,1.9,0.4,0.5,1.1,0.7,:,:,2.9,2.8,2.5,2.74,7.25,:,:,:,:,:,:,:,:
Luxembourg,:,:,:,:,:,:,:,0,0,0,0.01,0,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,:
Hungary,:,:,4.7,5.9,5.5,3.2,3.2,16.9,16.4,25,15.11,26.97,:,:,30.59,30.26,30.47,25.87,23.53,26.3,20.78,20.57,16.04,16.8,:
