,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Belgium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.45,1.65,1.44,1.5,1.71,1.32,1.52,:
Bulgaria,0,0,0,0,0,0,0.39,1.02,0.93,0.55,0,0,0,0,0,2.78,0.76,1.13,0.76,0.6,0.53,0.62,0.52,1.2,:
Czechia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.43,3.81,4.66,5.83,4.6,5.34,:
Denmark,6.3,6.3,6.3,6.4,6.4,6.4,6.4,:,:,11.8,11.7,17.2,:,:,:,12.4,12.52,10.88,9.01,9.76,10.28,11.25,9.31,9.06,:
Germany,52.1,44.1,56.5,52.1,55.3,54.1,52.47,45.76,62.06,72.94,62.89,67.68,60.54,49.55,73.35,65.48,76.12,90.91,81.04,95.67,99.44,110.39,94.08,103.65,:
Estonia,8.5,2.4,1.3,5.6,2.9,4.3,3.9,4.9,3.9,5,4.4,7.4,5.1,5.1,5,5.6,4.88,3.36,4.13,6.94,3.37,3.59,3.21,3.27,:
Ireland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Greece,26.51,19.24,26.51,23,23.1,23.2,18.5,19.7,19.3,18.4,19.26,17.41,17.68,15.15,12.93,19.87,19.83,19.64,21.29,9.02,9.54,10.71,13.75,9.6,:
Spain,19.1,15,18.1,24.8,21.8,22.7,23.75,23.14,:,:,:,27.8,:,:,:,44.12,67.62,50.15,58.35,60.52,50.67,55.46,48.84,50.16,:
France,88.5,91.2,86.4,95.3,104.3,114.1,145,101,98.5,:,:,:,:,:,132.66,131.93,128.83,152.78,128.81,152.74,174.82,177.25,149.79,179.91,:
Croatia,3.14,4.14,4.99,5.16,5.39,6.54,3.97,3.61,1.56,3.54,2.86,2.48,1.83,2.19,2.45,3.2,2.96,1.87,2.02,3.29,4.01,3.17,2.53,3.44,:
Italy,10.3,11.7,13.1,9.6,9.9,9.2,9.7,9.3,10,:,:,:,:,:,:,20.74,19.47,19,18.83,17.43,15.34,14.23,12.6,11.49,:
Cyprus,2.9,2.5,2.5,2.3,2.17,2.12,2,1.93,1.71,1.79,1.63,1.64,1.55,1.55,1.27,1.42,1.52,1.28,1.21,1.01,0.69,0.63,0.8,0.75,:
Latvia,11.7,21.9,16.4,27.8,0,23.6,25.2,22.6,15.6,26.2,8.2,9,11.1,7.5,11.9,14.6,10.3,6.2,6.9,11.57,11,9,10.4,8.18,:
Lithuania,64.85,64.23,63.17,106.77,69.89,57.41,36.04,48.05,50.24,58.91,25,50.1,48.2,40.7,50,38.85,41.75,30.57,40.19,50.63,54.15,57.71,63.84,62.45,:
Luxembourg,:,:,:,:,:,0.1,0,0,0,0,0,:,:,:,:,:,0.04,0.02,0.05,0.05,0.21,0.22,0.2,0.21,:
Hungary,:,:,6.4,5.8,7.4,4.4,5.5,8.53,8.08,8.12,5.38,:,:,:,6.52,8.32,8.16,7.07,6.89,6.82,5.41,6.03,4.96,4.86,:
Malta,0,0,0,0,0,0.25,0.21,0.2,0,0.18,0.18,0.19,0.13,0.17,0.21,0.22,0.26,0.23,0.22,0.21,0.24,0.23,0.18,0.2,0
Netherlands,21,22,23,24,24,22,23,25,26,26,25,29,29,34,38,33.51,40.3,55.63,40.41,37.61,38.08,44.72,36.28,52.92,:
Austria,9.6,9.3,9.5,7.4,8.4,8.7,10.1,10.36,10.86,11.44,11.16,12.62,7.98,5.91,8.08,4.81,8.53,7.3,5.88,7.69,7.93,8.61,9.6,8.91,:
Poland,504,466.4,311.2,333.5,356.9,356,340.6,374.7,322.38,350.73,324.38,330,330.6,330,357.8,297,341.07,336.35,298.21,280.9,271.1,240.7,242.4,252.8,:
Portugal,:,:,:,:,:,:,:,:,:,:,:,5.59,5.59,9.86,4.05,4.58,4.24,2.63,4.33,7.7,2.68,6.47,2.35,2.36,:
Romania,0,0,0,0,5.42,2.38,4.85,5.65,6.06,2.48,3.16,4.79,2.84,4.21,4.25,3.21,3.38,3.39,3.12,3.31,6.78,3.69,1.1,3.54,:
Slovenia,3.14,2.49,2.62,2.5,2.82,3.01,3.11,2.81,3.17,3.86,2.01,2.57,2.32,:,:,2.79,3.96,3.65,3.87,4.87,5.61,4.68,5.96,3,:
