,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Belgium,185,193.3,207.5,213.2,202.6,206.2,216.14,225.45,219.74,199.55,:,:,:,:,:,238.13,221.6,274.28,244.6,263.35,277.1,296.75,237.72,245.99,:
Bulgaria,:,143.8,122.7,148.5,135.9,72.1,83.42,53.88,70.31,41.97,:,:,:,:,:,45.12,77.78,43.97,49.83,50.4,34.25,32.71,41.36,47.09,:
Czechia,193,150.31,89.94,93.46,87.95,62.09,64.03,63.56,62.17,55.55,45.24,69.76,57.54,51.52,63.66,50.49,57.61,59.4,44.77,46.02,53.33,54.95,49.67,52.13,:
Denmark,33.2,33.2,33.2,35.5,35.2,34.6,32.2,:,:,33.87,30.44,31.95,:,:,:,44.74,42.53,53.73,44.61,44.53,50.6,39.72,35.1,36.24,:
Germany,933.6,:,851.2,952.7,977.6,898.1,896.65,928.46,962.18,1009.27,939.04,972.66,979.61,857.6,952.05,823.76,838.04,922.75,730.43,850.42,848,859.84,781.7,786.63,:
Estonia,21.5,11.9,7,14.7,10.3,12.3,13.2,13.3,13.3,12.8,12.1,14.4,10.9,19.7,12,14.5,11.79,10.13,11.48,21.05,16.1,12.07,11.9,11.95,:
Ireland,47.76,46.79,38.88,39.6,39.6,46.94,43.58,41.8,37.6,42.72,37.4,44.52,32.09,36.04,36.42,35.02,34.67,33.84,35.57,34.48,35.72,37.33,33.36,35.47,:
Greece,287.76,257.14,264.5,265.4,275.5,264.79,245.14,276.97,251.09,230.6,260.91,265.86,275.35,275.52,199.16,190.45,149.39,131.17,145.38,119.09,120.46,113.74,97.48,125.98,:
Spain,827.3,794.2,748,787.7,710.7,723.8,687.25,680.23,439.6,429.4,:,:,:,:,:,813.91,891.75,922.04,938.58,991.6,1033.11,1029.49,982.14,901.83,:
France,630.5,665.2,652.3,641.9,660.6,576.7,551.3,1916.8,629.2,:,:,:,:,:,521.89,523.58,499.34,517.11,442.5,421.08,459.41,456.38,374.57,384.32,:
Croatia,28.3,26.96,31.12,30.29,27.82,41.69,44.68,34.48,47.24,62.64,35.82,36.88,23.01,36.77,26.74,40.17,39.7,36.37,40.77,35.96,41.45,34.53,29.73,32.32,:
Italy,1000.2,902.6,874.3,913.4,878.1,909.6,870.7,876.3,900.6,932.8,:,:,:,:,:,837.2,804.79,807.75,811.8,825.97,785.99,773.23,755.96,751.9,:
Cyprus,:,6.9,7.1,6.35,6.86,6.76,6.93,6.57,5.97,6.28,6.04,6.06,5.74,5.47,6.27,5.48,4.96,5.02,5.14,5.45,5.02,5.47,4.97,5.15,:
