,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018.0,2019.0,2020.0,2021,2022,2023,2024
Belgium,1.2,1.6,1.4,1.9,1.9,2.2,1.8,1.9,1.5,2.4,0,2.42,2.5,2.4,0,2.56,3.34,3.32,4.45,5.63,5.03,4.94,5.63,3.8,:
Bulgaria,:,:,:,0.4,0.3,0.1,0,0.2,0.1,1.7,2.08,1.48,1.6,1.18,0.95,3.6,2.84,2.62,2.48,1.86,0.0,0,0,0,0
Czechia,0,0,0,0,0,0,3.24,1.7,1.3,0,0,0,0,0,0,0,0,0,1.49,0.81,2.21,2.35,3.12,2.86,:
Denmark,0,0,0,0,0,0,0,0,0,0,5.73,6.82,8.8,9.88,16.01,29.65,37.46,64.24,69.68,63.55,78.38,80.95,102.99,74.23,:
Germany,61.7,80.8,64.7,60.8,64.1,59.6,49.1,43.1,38.4,47.5,49.92,61.4,61.3,59.7,87.6,133.2,153.7,188.8,160.8,159.5,235.8,235.9,249.5,175.3,:
Estonia,1.3,1.5,0.2,0.2,0.1,0,0,0.1,0.1,0.1,0.4,0.1,0,0.6,5.3,27.7,37.11,25.47,17.25,29.18,39.17,19.97,28.23,24.46,:
Ireland,:,:,:,:,:,:,:,:,8.65,18.34,17.71,11.64,15.26,19.73,16.39,60.64,61.44,79.94,19.84,37.76,57.13,48.58,58.95,72.19,:
Greece,1.78,1.77,1.26,1.75,1.85,2.3,1.85,1.94,1.45,2.55,2.73,2.05,1.93,5.47,11.55,10.12,11.74,16.24,14.41,11.78,4.36,14.09,12.72,12.37,:
Spain,13.3,17.7,45.7,57,80.2,25.2,47.9,38.2,27.5,27.9,37.57,43.88,23.27,28.4,39.84,67.06,54.87,49.6,35.56,24.04,29.74,24.44,20.65,25.18,:
France,100.6,156.4,309.2,275.2,364.5,372.2,290.5,246.4,314.7,437.3,483.3,344.84,273.54,245,278.54,253.02,197.82,199.05,142.53,177.38,147.61,184.2,157.85,213.71,:
Croatia,2.66,4.42,5.16,4.97,4.46,6.04,4.06,2.5,3.26,2.46,1.64,1.06,0.47,1.48,1.33,1.16,1.46,1.34,1.74,1.38,1.33,1.06,3.25,5.17,:
Italy,71.8,69.1,63.8,59.6,82,86.9,:,:,106.5,97.8,117.42,103.02,107.81,91.27,87,93.24,113.33,105.44,115.24,132.31,134.93,118.56,98.34,99.81,:
Cyprus,1.5,1.4,1.3,0.58,0.58,0.58,0.57,0.51,0.51,0.54,0.59,0.62,0.62,0.61,0.54,0.55,0.48,0.35,0.23,0.21,0.19,0.23,0.24,0.22,:
Latvia,0.2,0.2,0.4,0.5,1.1,0.6,0.5,0.9,1.7,0.4,2.5,4.7,7.5,10.8,23.6,86.8,100.3,140.7,81.2,73.5,106.5,60.6,93.4,73.9,:
Lithuania,2.7,4.1,4,4.5,5.3,5.8,3,2.7,4.3,5.1,5,7.4,10.3,16.8,62.5,192.49,209.27,229.77,149.68,127.43,218.85,136.43,210.71,190.61,:
Luxembourg,0,0.3,0.5,0.3,0.3,0.4,0.28,0.09,0.09,0.28,0.12,0.05,0.08,0.15,0.25,0.16,0.15,0.09,0.2,0.15,0.17,0.09,0.19,0.08,:
Hungary,:,:,0.1,0.2,0.3,0.8,0.8,0.7,0.5,0.1,0.2,0.21,1.06,0.91,1.79,1.63,1.94,1.82,1.81,1.54,1.27,0.88,0.28,0.86,:
Malta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0
Netherlands,4.1,4.4,2.9,2.8,3.4,2.8,2.5,1.5,1.8,6.3,:,0,5,3,0,0,0,0,0.0,0.0,0.0,0,15.36,5.96,:
Austria,7.27,7.57,9.11,9.52,7.98,10.44,12.59,10.74,8.29,6.86,10.78,18,16.36,13.97,21.96,25.21,27.7,22.96,15.99,13.03,14.04,15.55,14.14,14.52,:
Poland,42.7,48.4,21.5,26.7,28,28.2,19.8,18.6,13.3,15.5,25.1,24.1,31.34,22.98,36.79,83.22,86.85,82.19,81.81,62.97,78.34,97.37,102.37,94.53,:
Portugal,6.14,5.78,5.48,4.67,4.21,2.76,3.99,3.7,2.82,2.01,2.04,2.06,1.93,1.93,1.8,1.81,1.94,2.4,3.06,2.09,2.53,3.27,3.59,3.59,:
Romania,21.8,36.49,33.59,36.68,53.52,41.73,34.94,18.01,25.16,22.35,21.06,21.35,16.6,18.86,19.75,19.97,19.09,16.13,17.3,14.1,9.59,12.03,7.45,7.46,:
Slovenia,0.58,0.55,0.58,0.22,0.78,0.96,0.42,0.57,0.41,0.63,0.52,0.56,0.38,0.35,0.76,0,0,0,0.0,0.0,0.0,0,0,0,0
Slovakia,0,0,1.5,1.3,1.4,0.6,0.5,0.5,0,0.2,0.16,0.1,0.1,0.06,0.11,0.08,0.11,0.07,0.12,0.07,0.03,0.05,0.15,0,:
Finland,0,0,0,0,0,0,0,0,0,0,16.3,20.02,22.24,16.46,21.2,26.49,39.9,33.58,24.16,30.17,23.35,12.04,19.17,11.16,:
Sweden,4.15,5.04,8.8,8.3,12.26,14.73,12.85,11.17,13.54,25.8,30.74,52.38,57.52,60.59,60.39,97.95,102.69,108.13,34.4,59.5,57.72,48.23,77.69,48.23,:
Iceland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,:,0,0,0,0.0,0.0,0.0,0,0,0,0
Norway,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,:,0,0,0.0,0.0,8.5,0,:,:,:
Switzerland,:,:,:,:,:,:,0.8,0.7,0.7,:,0.85,1.12,0.95,1.21,1.44,1.48,1.7,3.04,2.63,3.18,1.94,1.55,1.98,1.36,:
United Kingdom,484.7,605.5,632,622.1,661.4,716.2,613,:,:,688.2,580,419,336,411.62,474.05,735.7,688.85,815.83,425.37,579.65,598.06,:,:,:,:
Bosnia and Herzegovina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0
Montenegro,:,:,:,:,:,:,:,0.08,0.12,0.14,0.12,0.13,0.13,0.21,0.84,0,0,0,0.0,0.0,0.0,0,0,0,0
North Macedonia,13.5,11.7,13.8,14.2,14.2,14.22,14.86,10.95,12.8,12.75,12.07,12.99,10.98,11.37,13.42,13.36,12.96,9.96,12.25,10.82,11.11,9.71,10.84,10.44,:
Albania,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,:,:,0.0,0.0,0.0,0,0,:,0
Serbia,:,:,:,:,:,:,:,14.39,15.41,17.29,16.22,15.49,10.43,13.24,11.39,12.59,13.25,13,11.14,9.03,9.25,8.99,8,7.9,:
Türkiye,:,:,:,:,:,:,:,175,176,165,23,220,218,213,230,249,256.53,261.68,239.77,241.83,297.4,320.04,281.97,:,:
Kosovo*,:,:,:,:,:,:,:,3,6.8,7.1,5.6,5,3.7,5.9,6.1,9,10.3,8.7,5.7,6.7,5.71,5.35,5.6,:,:
