,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Belgium,85.1,81.1,85.8,95,85.7,86.2,91.98,91.96,92.81,87.98,82.34,99.66,98.12,95.98,99.22,110.06,112.71,129.04,122.34,127.57,131.9,139.44,127.26,135.06,:
Bulgaria,0,0,0,0,0,0,4.04,2.54,4.09,1.93,0,0,4.8,3.3,3.21,2.59,2.13,1.98,2.59,3.79,2.09,0.82,1.77,2.13,:
Czechia,28.56,22.96,11.77,12.71,11.52,7.78,7.81,6.33,6.43,4.95,4.52,5.25,3.94,3.75,3.9,3.7,2.63,3.86,6.93,4.69,4.61,5.91,4.32,4.41,:
Denmark,6.9,6.9,6.9,6.7,6.4,6.1,5.6,:,:,6.23,7.73,5.84,5.49,4.91,4.42,5.97,5.08,7.07,5.85,6.61,6.84,8.65,7.6,7.34,:
Germany,138.4,:,159.9,168.1,182.3,176.5,159.19,150.74,156.1,168.09,151.98,144.14,176.69,154.08,149.16,134.85,122.43,132.56,126.1,128.14,122.68,126.57,131.34,126.02,:
Estonia,0,0,0,0,0.3,0.6,0.4,0.3,0.2,0.1,0.3,0.3,0.1,0.2,0.2,0.2,0.17,0.16,:,:,:,:,:,:,:
Ireland,12.2,12.22,9.62,10.04,10.04,16.43,14.97,13.97,12.73,12.76,11.76,13.9,10.76,12.09,12.1,11.11,10.8,9.28,9.6,9.3,10.53,10.48,9.39,10.13,:
Greece,83.22,69.81,79,80.5,81,75.9,68.57,70.18,62.43,68.1,73.31,85.76,88.94,87.9,69.06,66.85,60.93,51.27,59.34,49.54,50.99,48.04,47.75,52.64,:
Spain,482.9,505.5,494.7,500.9,468.3,441.8,428.09,440.25,439.6,429.4,507.96,513.78,505.62,540.89,596.97,607.19,640.08,689.12,725.26,707.51,746.51,737.34,677.29,637.08,:
France,414.6,454.4,434.3,458.7,447.3,375.5,362.1,425.5,416.9,:,355.55,388.63,375.81,345.21,326.36,341.47,319.08,333.02,287.33,257.77,253.77,266.41,211.39,208.66,:
Croatia,0.95,1.19,1.35,2.92,1.51,1.17,2.49,2,3.75,3.43,1.98,1.91,1.91,1.74,2.04,1.76,2.39,1.49,2,1.68,2.92,3.15,1.26,2.14,:
Italy,698,625.5,606.8,631.9,557.3,569.2,540.7,545.7,556,600,410.73,407.16,414.14,381.63,405.05,399.78,388.28,371.57,368.12,368.15,365.36,359.73,352.07,355.2,:
Cyprus,2.5,2.3,2.4,2.1,2.36,2.37,2.43,2.22,1.57,1.67,1.69,1.67,1.56,1.36,1.62,1.13,1.12,0.94,0.91,0.95,1.67,1.42,1.33,1.47,:
Latvia,1.8,2.2,1.8,2.9,0,1.5,1.1,1.4,1.4,1.1,0.7,0.5,1.5,0.6,0.5,0.5,0.3,0.5,0.2,0.3,0.7,0.2,0.19,0.34,:
Lithuania,:,:,:,5.83,1.81,2.77,2.41,2.12,2.04,2.07,1.6,2.1,1.9,2,1.8,1.74,1.53,1.45,1.23,1.18,0.93,0.76,0.72,1.32,:
Luxembourg,:,:,:,:,:,0,0.02,0.03,0.02,0.02,0.03,0.04,0.03,0.03,0.02,0.02,0.03,0.05,0.25,0.09,0.09,0.02,0.06,0.07,:
Hungary,13.7,19.6,24.4,21.7,32.5,24.5,28.7,17.62,25.14,27.15,17.39,17.16,15.85,23.47,19.9,18.96,18.38,24.47,20.1,18.88,7.24,7.61,7.61,6.47,:
Malta,4.6,4.6,5.1,3,5.5,6.53,6.48,7.03,6.71,5.94,6.93,6.85,5.64,6.56,6.66,5.8,6.78,6.06,5.42,5.24,4.76,5.44,4.64,4.67,0
Netherlands,52.5,49.5,53,53,55,56,52.5,62,66,59,65,57,53,51,52,65.46,62.3,70.38,70.03,65.71,69.8,76,78.8,75.88,:
Austria,9.1,10,10.1,8.1,9.9,7.7,8,7.58,7.03,7.18,7.06,7.02,5.96,5.32,5.79,4.9,5.89,5.88,4.75,5.76,7.22,7.31,7.52,7.28,:
Poland,248.2,250.4,176.4,188.8,239.5,238.8,250.4,282.43,274.9,291.13,252.33,297.6,306.8,271.3,320.6,252.9,314.74,317.02,292.75,282.5,244.1,225.9,208,205.9,:
Portugal,:,:,:,:,:,:,:,:,:,:,:,48.39,48.53,40.85,38.97,47.68,46.52,51.49,55.42,53.87,73.58,64.45,52.66,56.27,:
Romania,11.42,15.73,14.24,15.18,11.47,24.12,23.81,26.01,24.2,30.7,31.63,39.16,38.2,50.23,45.13,43.94,39.94,53.56,55.82,43.52,64.78,50,23.99,21.38,:
Slovenia,1.47,1.55,1.16,1.25,1.75,1.76,1.48,1.41,1.52,1.89,1,1.25,1.3,0,1.63,1.7,1.39,1.3,1.41,1.85,2.05,1.71,1.39,1.1,:
Slovakia,0,0,0,0,0,0,3.07,2.11,1.49,1.29,0,0,0,2.26,0.95,2.89,1.16,0.52,0.34,0.36,0.49,0.76,0.52,0.35,:
Finland,4.9,4.5,4.2,5.1,4.3,4.9,4.64,3.86,3.58,4.8,3.15,3.95,4.07,3.42,3.96,4.59,3.4,4.29,3.29,4.05,4.63,3.33,2.82,3.58,:
