,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Belgium,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Bulgaria,0.5,0,0.5,0,0,4.4,6.1,10.6,4.2,0,0,0,0,0,0,:,:,:,:,:,:,:,:,:,:
Czechia,1694.41,1624.96,1224.97,910.96,1180.16,1114.23,1054,1049.87,938.4,915.28,819.71,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Denmark,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Germany,1689.8,1615.8,1580,1075.4,1572.6,1737.8,1753.9,1846.8,1704,1807.7,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Estonia,:,:,:,363.4,482,633.5,381.4,638.8,697.8,583,607.1,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Ireland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,:,:,:,:,:,:,:,:,:,:
Greece,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Spain,34,35.5,17.2,8.1,15.3,15.3,7.9,2.1,10.7,7.85,:,4.74,:,:,:,:,:,:,:,:,:,:,:,:,:
France,324.7,289.8,299,212.2,312.2,255.2,277.7,:,0,0,0,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Croatia,100.2,115.7,131.1,51.89,124.81,125.46,121.41,111.68,176.1,147.8,120,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Italy,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Cyprus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,:,:,:,:,:,:,:,:,:,:
Latvia,:,:,:,:,:,:,:,:,1898.2,1412.6,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Lithuania,:,1151.1,799.4,1584.5,1808.3,2375.6,2199.8,94.9,1949,1799.5,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Luxembourg,1,1.9,2.4,1.8,3.1,0,0,0,0,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Hungary,:,:,49.4,30.2,54,41.8,42.5,22.8,34.2,30.9,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Malta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,:,:,:,:,:,:,:,:,:,:
Netherlands,0,0,0,0,0,0,0,0,0,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Austria,449.7,458.5,494.1,369.5,486.4,608.7,631.4,71.9,560.1,555.9,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Poland,0,0,235.8,597.7,280.2,225.4,916.3,1267.1,1106.7,962.1,1485.8,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Portugal,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Romania,504.6,623.6,633.7,605.3,216.6,400.3,444.9,366,437.9,446.6,450.2,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Slovenia,18.36,11.77,15.22,9.81,16.7,23,15.76,21.08,29.46,34.54,38.69,35.46,30.16,:,:,:,:,:,:,:,:,:,:,:,:
Slovakia,97.1,120,106.9,77.1,167.6,139.3,149.1,30.7,32.8,31.9,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Finland,0,0,0,155.2,163.2,172.6,0,0,87.8,0,0,0,0,0,0,:,:,:,:,:,:,:,:,:,:
Sweden,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,:,:,:,:,:,:,:,:,:,:
Iceland,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Norway,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Switzerland,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
United Kingdom,:,:,:,:,:,:,:,:,:,:,0,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Bosnia and Herzegovina,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Montenegro,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
North Macedonia,9.5,9.9,16.3,15.6,16.2,15.9,17,11.9,12.4,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Albania,:,:,780,815.3,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Serbia,:,:,:,:,:,:,:,285.92,331.37,344.5,352.6,314.78,245.85,282.23,:,:,:,:,:,:,:,:,:,:,:
Türkiye,2007,2033,:,:,:,:,:,1814,15,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Kosovo*,:,:,:,:,:,:,:,2.8,6.8,9.4,8,8,:,:,:,:,:,:,:,:,:,:,:,:,:
