,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Belgium,13.7,15.7,16.5,24.4,25.6,29.8,28.36,28.9,29.45,31.43,37.63,39.75,36.9,36.14,34.23,37.44,42.49,42.02,44.91,43.05,39.9,36.78,38.05,40.36,:
Bulgaria,0,0,0,0,0,0,4.03,3.14,4.43,3.94,0,0,3.5,4,3.53,4.42,4.98,1.93,2.92,2.45,4.32,2.12,3.66,3.05,:
Czechia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Denmark,0.4,0.4,0.4,0.3,0.3,0.3,0.3,:,:,0.6,0.83,0.71,0.58,0.36,0.38,0.43,0.46,0.53,1.05,1.07,1.64,0.89,1.08,0.78,:
Germany,:,:,:,:,:,:,36.98,33.64,36.42,34.01,34.03,32.91,41.1,37.39,37.11,40.88,43.39,41.34,44.1,49.53,46.53,42.52,41.53,47.95,:
Estonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ireland,0.38,0.38,0.05,0.05,0.05,0.1,0.1,0.1,0.1,0.08,0.1,0.1,0.14,0.14,0.1,0.19,0.19,0.26,0.41,0.93,1.01,1.04,0.83,0.96,:
Greece,77.91,83.24,80.9,80.1,80.6,80.5,91.9,82.8,75.9,71.6,72.47,77.35,82.39,89.88,72.25,74.58,76.29,77.27,75.7,66.44,64.35,60.81,53.95,71.2,:
Spain,297,263,301.7,303.5,303.5,299,334.04,316.73,:,:,366.5,403.38,465.04,489.3,462.27,543.2,581.5,587.27,596.32,605.53,631.24,638.16,617.72,566.47,:
France,152.3,152.9,157.9,133.4,128.6,125.8,126.7,140.5,143.5,:,139.42,122.53,123.85,118.68,132.44,123.04,130.49,115.85,110.81,118.74,196.65,190.93,158.46,143.87,:
Croatia,0,0,0,0,0,0,0,0,0,0,0,0,0,4.65,2.57,1.64,3.05,2.34,3.41,2.16,4.66,4.3,2.85,5.43,:
Italy,412.8,429.8,418.4,469.5,490.5,488.1,516.6,532,519,315.7,508.08,357.37,317.2,319.98,539.97,494.07,554.05,536.21,560.17,569.12,600.43,601.66,558.94,560.63,:
Cyprus,0,0,0,0,3.92,3.94,3.84,3.93,3.79,3.6,3.68,3.91,4.02,3.23,3.16,3.82,2.58,2.54,2.31,2.38,2.57,2.7,2.55,2.61,:
Latvia,0,2.2,2.4,4.3,0,2.6,2.6,2.1,1.1,1.4,0.6,0.7,0.5,0.8,0.7,0.7,0.8,0.6,0.6,0.71,0.9,0.5,0.84,0.85,:
Lithuania,:,:,:,1.86,0.43,1.06,0.79,1.09,1.03,1.3,1.4,1.1,1.3,1.2,1.3,1.08,1.25,1.11,0.96,0.61,0.85,1.1,0.97,1.33,:
Luxembourg,:,:,:,0,0,0,0.01,0.06,0.04,0.04,0.04,0.06,0.04,0.04,0.03,0.03,0.02,0.02,0.05,0.05,0.06,0.07,0.1,0.19,:
Hungary,:,:,:,:,:,:,:,:,0,13.92,4.22,4.53,4.9,5.58,7.54,15.72,11.58,13.16,12.85,12.47,15.2,14.54,13.66,15.86,:
Malta,0,0,0,0,0,3.16,3.78,3.6,3.61,3.79,3.66,3.66,3.3,3.39,3.67,3.2,3.08,2.75,2.84,2.78,3.06,2.64,2.75,2.62,0
Netherlands,:,11,11,12,11.5,12,11.5,14,16.5,18.5,19,18,17,16,18,18.4,16.9,26.23,19.83,16.67,16.23,17.1,15.01,13.98,:
Austria,4.8,5.5,5.8,5.6,5,3.9,4.3,4.73,4.98,5.15,4.64,5.57,4.88,4.87,4.95,4.95,6.17,6.58,7.1,7.14,7.16,7.14,8.06,7.12,:
Poland,:,:,:,:,:,:,0,0,0,0,0,0,0,0,17.7,15.9,20.72,20.76,21.9,20.4,17.2,26.7,36.3,45.4,:
Portugal,:,:,:,:,:,:,:,:,:,:,:,17.06,17.06,20.3,18.34,17.88,26.31,24.14,20.33,17.7,33.96,36.23,28.44,38.76,:
Romania,0,0,0,0,4.96,2.8,2.85,2.22,2.31,2.1,3.22,2.47,1.96,2.01,2.27,1.95,1.83,1.59,1.76,2.05,2.29,1.44,1.25,1.63,:
Slovenia,0,0,0,0,0,0,0,0,0,0,0,2.97,2.51,0,2.24,2.13,3.55,3.75,3.46,6.72,7.21,5.01,5.78,5.14,:
Slovakia,0,0,0,0,0,0,1.53,0,0.71,0.56,0,0,0,0.08,0.5,0.6,0.25,0.36,0.05,0.42,0.14,0.29,0.56,0.16,:
Finland,0,0,0,0,0,0,1.13,0.86,0.82,0.87,1.12,0,0,1.66,1.64,1.76,1.65,1.46,1.41,1.49,1.32,1.68,1.15,1.31,:
Sweden,0.54,0.51,0.43,0.51,0.48,0.48,0.47,0.44,0.43,0.49,0.55,0.55,0.68,0.78,0.9,0.92,0.99,1.23,0.93,1.07,1.72,1.49,1.55,1.47,:
Iceland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,:,0,0,0,0,0,0,0,:,0,0
Norway,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,0,0,0,0,:,0,0,0
Switzerland,:,:,:,:,:,:,:,:,:,:,:,:,:,:,8.93,8.93,8.55,9.02,8.93,7.46,8.29,6.39,:,:,:
United Kingdom,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.6,24.6,22.8,0,:,:,:,:
Bosnia and Herzegovina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.08,1.05,1.67,1.31,1.64,1.51,1.97,2.04,0.36,0.11,:
Montenegro,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,0,0,0,0,0,0,0,0,0
North Macedonia,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Albania,:,:,:,:,:,:,:,:,5.5,6.5,9.7,9.4,8.9,:,:,:,16.3,13.9,18.5,18.9,0,30.91,30,27.5,:
Serbia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Türkiye,:,305,280,295,292,294,288.3,267.1,279.7,296,:,443,428,424,430,313,352,450,475,448,547,610,590,:,:
Kosovo*,:,:,:,:,:,:,:,1.3,2.7,1.1,1.7,1.7,1.9,1.8,4.6,4.6,13.1,15.6,18.2,21.2,21.4,20.59,21.65,:,:
