,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Belgium,2,1.5,1.5,1.6,1.6,2.1,1.98,1.6,1.74,1.9,:,:,:,:,0.77,0.77,0.57,0.38,0.5,0.4,0.5,0.8,0.79,0.72,:
Bulgaria,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0.15,0.09,0.06,0.09,0
Czechia,18.09,16.6,3.04,3.92,3.73,3.46,2.85,3.23,3.71,2.51,2.02,1.67,2.47,2.2,1.85,2.91,1.8,1.61,1.89,0.98,1.56,1.27,1.1,0.88,:
Denmark,5.2,6.5,5.2,10.2,7.9,11.3,9.9,:,:,:,13.32,13.39,:,:,:,7.91,3.52,3.31,1.83,1.58,1.46,1.09,1.46,1.3,:
Germany,:,:,:,:,:,:,11.24,8.81,10.59,11.85,11.93,9.59,10.76,12.66,12.89,13.87,13.99,12.47,16.09,10.77,11.97,13.77,14.17,12.6,:
Estonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.19,0.21,0.29,0.09,0.25,0.16,0.3,0.11,:
Ireland,0,1.8,1.72,2,0.9,1,1,1,0.67,0.67,0.67,0.55,0.42,0.61,0.22,0.22,0.22,0.22,0.2,0.15,0.1,0.1,0.1,0.11,:
Greece,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0.1,0.15,0.15,0.2,0.21,0.39,0.38,0.39,0.39,:
Spain,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.01,0.02,0.04,0.03,0.09,0.07,0.06,0.04,0.03,:
France,11.42,11.92,13.25,15.03,13.99,13.77,11.21,10.94,11.22,14.5,13.22,11.57,9.67,10.95,11.96,11.15,8.21,9.75,10.89,10.74,9.99,10,9.96,12.77,:
Croatia,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,0,0,0,0,0,0,0
Italy,0.6,0.6,0.6,0.6,0.7,0.7,0.8,0.7,0.8,:,:,:,:,:,:,:,0.81,0.18,0.24,0.96,0.76,1.1,1.14,:,:
Cyprus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Latvia,2.8,3.3,2.7,2.8,3.9,5.2,4.9,2.1,0.5,0.4,:,0.4,0.6,0.6,0.3,0.6,0.4,0.4,0.5,0.95,0.9,1.1,1.13,0.4,:
Lithuania,:,:,:,8.81,5.25,7.66,5.71,3.81,4.46,5.47,4.03,3.92,3.64,3.85,3,4.36,3.88,3.78,5.86,1.94,3.48,4.58,5.06,3.02,:
Luxembourg,0.1,0.1,:,:,:,:,0,0,0,0,0,:,:,:,:,0,0,0,0,0,0.01,0,0,0,:
Hungary,11.8,12.2,8.1,8.1,14.7,12.1,10.8,5.19,6.44,7.27,3.85,:,:,:,2.63,3.56,4.58,4.32,4.75,4.55,4.07,3.85,2.96,2.81,:
Malta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Netherlands,2.5,:,:,:,:,:,:,:,:,:,:,:,:,:,:,7.46,7,4.7,7.5,7.48,7.6,7.5,8.1,7.76,:
Austria,22.9,19.1,19.6,18.3,19.6,19.4,19.3,19.93,19.77,19.38,2.98,3.07,2.87,2.8,3.34,3.28,1.84,2.96,5.35,4.5,4.73,4.08,4.93,3.43,:
Poland,146.8,175.3,157.4,192.5,194.5,186.8,194.5,138.57,196.59,196.45,190.78,160,195.3,198.4,163,159.9,166.11,128.81,164.64,126.19,145.9,152,145.8,129.7,:
Portugal,:,:,:,:,:,:,:,:,:,0.04,0.04,0.04,0.09,0.09,0.13,0.22,0.29,0.39,0.26,0.23,0.23,0.27,0.23,0.23,:
Romania,0,0,0,0,0.8,0.02,0.02,0.03,0.01,0.01,0.01,0.02,0.02,0.04,0.11,0.1,0.08,0.08,0.08,0.03,0.02,0.04,0.05,0.21,0
Slovenia,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,0.01,0.01,0.02,0.01,0.01,0.02,0.04,0.01,:
Slovakia,0,0,0,0,0,0,0.21,0.18,0.25,0.31,0,0,0,0,0,0.12,0.06,0.04,0.16,0.12,0.06,0.11,0.09,0.06,:
Finland,2.3,1.4,1.8,2.7,2,2.2,2.18,2.24,1.24,2.1,1.44,0,:,:,:,1.11,1.36,1.89,1.42,1.87,1.38,1.64,2.04,1.36,:
Sweden,0.56,0.53,0.4,0.49,0.47,0.5,0.42,0.4,0.31,0.35,0.33,0.28,0.29,0.26,0.33,0.25,0.24,0.36,0.29,0.29,0.19,0.3,0.3,0.12,:
Iceland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Norway,:,:,:,:,0.6,0.8,0.8,0.8,0.7,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Switzerland,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,0,0,0,0,0,:,0,0,:,:
United Kingdom,13.6,16.5,13.4,19.3,18.2,21.9,15.6,11.4,:,:,:,:,:,:,0,15.2,11.4,13.9,15.7,13.4,:,:,:,:,:
Bosnia and Herzegovina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11,0.12,0.18,0.11,0.17,0.18,0.4,0.3,:
Montenegro,:,:,:,:,:,:,:,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
North Macedonia,:,:,:,:,:,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,:
Albania,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,0,0,0,0,0,0
Serbia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Türkiye,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,0,:,:,:
Kosovo*,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,2.4,:,:,0,0,0,0,0,:,:
