,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Belgium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bulgaria,0,0,0,0,0,0,0,0,0,0,0,0,0,2.28,0,0,0,0,0,0,0,0,0,0,0
Czechia,:,:,:,:,:,:,:,:,:,:,:,1.67,22.92,8.68,18.07,16.85,5.17,4.08,0.92,1.1,1.31,0.64,0.6,0.55,:
Denmark,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Germany,0,0,0,0,0,0,0,0,0,0,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Estonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ireland,0,0,0,0,0,0,0,0,0,0,38.61,37.16,34.86,28.62,23.85,17.65,14.93,11.42,6.07,7.51,6.89,6.14,5.55,4.68,:
Greece,0,0,0,0,0,0,0,0,0,0,5.1,12.04,36.26,15.3,22.08,32.58,27.04,28.7,48.33,42.75,29.94,31.05,25.15,14.67,:
Spain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
France,:,:,:,:,:,:,:,:,:,:,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Croatia,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,0,0,0,0,0,0,0,0,0
Italy,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,0,0,0,0,0,0,0,:
Cyprus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Latvia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,:,:,2.3,0,0,0,0,0,0,0
Lithuania,0,0,0,0,0,0,0,0,0,0,0.2,0,1.2,0.3,0.5,0.36,0.22,0.35,0.23,0,0,0,0,0,:
Luxembourg,:,:,:,:,:,:,:,:,:,:,0.63,0.82,1.71,2.12,1.13,0.54,0.56,0.87,1.21,0.54,0.85,1.18,0.6,0.6,:
Hungary,:,:,:,:,:,:,:,:,:,:,7.35,8.94,:,:,4.23,3.93,5.71,60.03,45.59,23.94,52.58,45.64,61.52,58.45,:
Malta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Netherlands,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,0,0,0,0,0,0,0,0,0,0
Austria,:,:,:,:,:,:,:,:,:,:,19.5,15.37,14.77,11.4,12.22,11.11,12.46,10.04,9.74,10.91,13.88,13.55,12.2,11.31,:
Poland,:,:,:,:,:,:,:,:,:,:,13.7,:,30,15.1,9.1,7.6,34.68,75,:,:,:,:,:,15.28,:
Portugal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Romania,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.09,3.35,4.36,4.07,8.99,10.17,6.29,5.38,23.59,2.52,6.99,6.56,:
Slovenia,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,0,0,0,0,0,0,0,0,0,0
Slovakia,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,0,0,0,0,0,0,0,0,0,0
Finland,:,:,:,:,:,:,:,:,:,:,:,45.3,38.8,19.7,19.9,10.6,10.8,13.5,0,0,0,0,0,0,0
Sweden,:,:,:,:,:,:,:,:,:,:,:,3.5,:,:,1.7,0,0,0,0,0,0,0,0,0,0
Iceland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Norway,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,0,0,0,0,0,0,0,0,0,:
Switzerland,:,:,:,:,:,:,:,:,:,:,:,0.02,0.02,:,0.02,0.01,0,0,0,0,0,0,0,0,:
United Kingdom,:,:,:,:,:,:,:,:,:,:,121,105,93.96,88.48,87.5,87.5,56,59,59,69,:,:,:,:,:
Bosnia and Herzegovina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montenegro,:,:,:,:,:,:,:,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
North Macedonia,:,:,:,:,:,0,0,0,0,0,0,0,0,0,0,0,0,0,:,:,:,:,:,:,:
Albania,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,:,0,0,0,0,0,0,:,0
Serbia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Türkiye,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,0,0,0,0,0,0,0,0,0,0
Kosovo*,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,0,0,:,:,:,:
