,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Belgium,5.9,6.1,4.9,8.7,6.2,4.6,3.5,3.1,3.5,5.4,0,3.62,2,1.8,0,3.86,2.54,2.88,2.56,2.5,2.51,2.06,2.23,1.97,:
Bulgaria,5.2,8.7,8.9,3.8,4.8,2.4,1.1,2.72,4.47,5.2,3.74,2.03,2.17,2.09,1.55,21.09,49.66,137.75,55.15,40.05,29.62,28.09,20.11,18.46,:
Czechia,75.3,82.54,56.15,53.74,71.96,78.76,71.5,55,40.9,51.9,48.24,52.34,30.71,30.7,42.75,78.16,68.7,87.32,70.56,67.34,84.86,104.42,115.14,105.68,:
Denmark,138.7,113.2,149.5,125.1,96,53.1,32.2,19.4,14,22.4,27.67,19.97,17.4,14.43,16.8,20.76,17.4,23.82,18.58,21.25,32.02,33.6,63.35,55.25,:
Germany,408.9,559.6,413.2,391.7,464.2,346.3,287.7,177.5,140.6,165.9,171.97,154.6,138.8,129.5,155.3,276.8,290.2,298.1,197.1,228.2,297.5,299.1,322.6,265.9,:
Estonia,5.3,5,4.8,4.8,3.2,5.7,5.5,9.4,3.2,7.5,12.1,15.4,12.9,30.8,34.2,58.5,72.24,49.86,53.65,82,81.24,59.16,94.86,93.99,:
Ireland,:,:,:,:,:,:,:,:,2.45,3.87,5.3,3.53,2.75,2.14,2.9,3.17,3.25,2.38,1.62,2.85,3.27,2.17,2.64,2.57,:
Greece,6.14,6.13,4.35,6.05,6.36,7.93,6.36,6.68,4.98,8.77,9.41,7.07,6.63,7.89,9.55,16.45,17.45,21.48,22.55,17.71,18.71,29,35.19,31.36,:
Spain,54.3,51.6,100.2,148.2,77,124.2,189.8,160.2,137.6,147.9,243.7,259.32,123.83,206.01,145.16,197.89,280.33,190.74,268.67,163.84,227.63,177.79,136.01,132.57,:
France,1936.5,1655.8,1661.6,1613.8,1680.8,1331.3,1013.5,589.7,443.7,539.2,1069.2,663.39,552.65,488.05,528.31,662.2,547.85,768.6,590.22,709.38,558.81,552.16,399.91,486.58,:
Croatia,0.91,1.93,2.08,1.16,1.86,0.89,0.72,0.67,2.02,2.42,1.54,2.64,2.27,1.57,1.99,1.54,4.23,2.35,2.54,3.37,1.8,2.65,1.44,1.58,:
Italy,6.1,11.5,19,23.8,24.8,25.9,:,:,18.5,22.2,30.87,27.15,24.16,21.8,23.36,26.59,40.07,49.22,50.91,70.98,61.88,50.8,45.76,40.52,:
Cyprus,0,0,0,0.07,0.09,0.09,0.09,0.09,0.1,0.09,0.09,0.11,0.1,0.1,0.1,0.1,0.09,0.09,0.08,0.06,0.06,0.05,0.06,0.06,:
Latvia,3,2.6,3.3,3.8,2.7,2.5,0.8,1.4,1.1,2.6,2.6,2.9,2.4,5.2,8.9,11.8,23.1,29.5,22.5,27.7,30,26.5,51.7,65.9,:
Lithuania,49.7,30,37,21.6,22,21.1,15.8,24.2,29.1,50.3,42.5,47.5,48.4,50.6,101.1,228.77,398.12,449.03,213.69,155.84,151.14,121.06,152.27,149.44,:
Luxembourg,1.2,2,1.8,1.8,1.4,1.1,0.85,0.67,0.95,0.86,0.73,0.48,0.37,0.75,0.75,1.14,0.85,1.36,0.93,0.7,0.97,0.68,0.97,0.44,:
Hungary,:,:,:,:,38.6,27.5,27.5,28,24.6,16.1,17.98,22.5,42.51,44.69,46.28,63.64,47.08,47.63,31.78,38.67,24.51,30.23,24.36,27.82,:
Malta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Netherlands,3.6,4.2,5,9.8,11.9,8.1,2.4,2.5,1.9,2.5,:,0,0,3,0,0,0,0,0,0,0,0,0,0,0
Austria,96.5,112.4,96.3,93.1,122.1,90.3,89.9,56.7,45.4,34.7,31.25,36.39,14.58,17.6,17.44,18.73,19.16,15.26,16.5,12.8,13.1,12.99,14.48,14.62,:
Poland,19.6,17.4,6.7,6.3,7,7.9,5.7,9.1,5.6,7.8,13.7,13.7,28.49,9.33,9.5,22.57,30.13,43.07,25.74,30.88,44.44,24.92,63.35,69.01,:
Portugal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,:,:,:,:
Romania,14.16,21.66,20.45,23.5,57.02,38.8,35.68,17.25,36.33,29.93,39.54,54.97,45.72,54.37,50.84,55.18,78.25,280.48,170.75,220.42,111.31,159.59,109.24,151.67,:
Slovenia,0.04,0.11,0.7,0.61,1.21,4.58,9.94,5.39,3.8,1.42,1.17,1.64,0.81,0.42,0.55,1.15,1.63,1.77,1.05,1.01,0.95,0.9,0.73,0.59,:
Slovakia,10.2,22.2,12.2,8.2,18,15.4,12.4,10.9,13.6,11.7,14.81,14.36,6.39,6.56,11.79,22.82,21.88,20.09,16.23,16.4,22.41,25.25,34.55,30.19,:
Finland,11.7,11.5,11.4,10.2,5.6,8.1,8.8,10.7,7.2,11.16,13.45,11.86,9.3,9.66,14.18,24.6,25.07,9.12,20.15,34.2,54.41,42.68,91.44,87.28,:
Sweden,66.62,75.41,83.42,78.18,86.98,64.64,50.21,37.56,28.76,48.33,53.37,42.3,34.69,40.33,45.96,82.13,91.62,81.24,48.33,68.49,71.95,55.25,85,54.46,:
Iceland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,:,0,0,0,0,0,0,0,0,0,0
Norway,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,5.17,3.81,3.01,4.13,3.72,3.06,:,:,:
Switzerland,:,:,:,:,:,:,18.4,18.2,16.2,:,14.54,14.09,13.18,12.2,14.16,15.12,9.07,14.44,12.55,12.91,10.23,6.71,9.26,4.71,:
United Kingdom,246.8,315.3,261.6,252.5,:,:,:,:,:,151.2,147,123,58,113.22,133.33,178.95,196.81,169.3,112.9,169.2,166.72,:,:,:,:
Bosnia and Herzegovina,2.02,2.48,2.55,2.24,2.72,3.04,3.77,3.19,2.66,2.11,1.64,1.54,1.41,2.03,1.56,1.85,2.42,1.73,1.64,1.57,2.21,3.04,1.61,5.09,:
Montenegro,:,:,:,:,:,:,:,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
North Macedonia,2.5,1.8,2,1.6,1.5,0,0,0,0,0,0,0,0,0,0,0,:,:,:,:,:,:,:,:,:
Albania,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,:,:,0,:,:,:,:,:,:
Serbia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Türkiye,:,:,:,:,:,:,:,4,4,4,3,4,3,3,3,3,3,2,3.09,1.03,2.06,1.03,2.07,:,:
Kosovo*,:,:,:,:,:,:,:,0.05,0.1,0.1,0.1,0.1,0.03,0.2,1,0.4,0.2,0.3,0.1,0.2,0.15,0.14,0.15,:,:
