,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Belgium,162.3,156.4,171,185.5,187.1,164.4,168.06,159.23,156.28,189.63,:,:,155.72,179.15,191.7,185,175.93,187.69,160.4,184.27,143.6,181.01,129.44,117.33,:
Bulgaria,:,11,9,16.2,18.1,5.6,6.73,8.01,15.68,16.78,9.95,11.9,3.6,6.5,5.07,5.72,12.07,6.76,3.47,5.78,5.26,5.61,4.6,1.73,:
Czechia,7.11,9.8,6.75,3.65,6.04,5.05,5.26,4.53,4.88,3.54,3.16,3.58,2.67,3.59,5.65,4.17,4.57,4.75,3.08,3.13,4.79,5.46,4.59,2.65,:
Denmark,17.1,14.8,14.7,15.5,14.8,15.8,10.5,:,:,:,13.78,19.84,15.05,17.44,14.23,20.54,13.98,15.41,7.1,7.81,7.36,15.32,12.06,4.11,:
Germany,67.9,74.6,76.7,64.7,79.1,71.9,72.85,77.33,82.71,82.85,69.98,64.92,76.79,80,79.34,77.52,76.96,87.08,65.42,66.49,70.1,84.25,74.09,68.59,:
Estonia,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.5,1.1,0.84,0.65,0.65,0.93,0.66,0.32,0.48,0.2,:
Ireland,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,0,0,0,0,:,0,0,0,0,0
Greece,93.32,94.83,95.69,94.73,94.67,91.72,90.27,87.96,84.85,79.02,72.49,80.32,89.01,102.19,86.08,80.35,86.65,76.81,75.36,58.15,56.23,70.91,50.79,56.6,:
Spain,415.4,383.2,421.6,378.8,362.2,341.9,395.22,362.4,344.4,318.1,307.99,305.78,297.48,308.51,337.82,314.13,356.25,327.35,299.1,327.32,322.56,338.15,287.68,264.3,:
France,628.2,650.6,669.6,631.6,647.1,620.1,605.9,513.1,625.9,:,484.08,572.27,545.42,546.92,613.88,541.71,582.2,687.84,682.95,657,614.95,788.11,712.52,628.08,:
Croatia,1.97,2.6,2.49,1.89,2.55,2.72,2.49,9.96,14.41,6.58,2.88,4.87,3.59,3.82,4.54,4.63,4.87,4.71,4.9,7.48,10.76,7.5,4.33,5.71,:
Italy,315.5,344.8,333.1,306.8,336.2,344,338.9,344.8,335.7,175.2,313.28,312.02,147.91,280.34,301.19,269.94,308.48,286.05,296.62,281.89,289.27,291.98,261.71,263.32,:
Cyprus,:,3.2,5.9,5.45,5.7,5.78,5.71,5.78,5.61,5.52,6.53,6.24,6.41,6.51,6.8,7.62,5.25,5.87,5.04,4.31,5.2,4.87,4.89,4.78,:
Latvia,0,0.2,0.4,0.6,0,0.4,0.3,0,0.4,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lithuania,:,:,:,1.25,0.61,1.01,0.55,1,1.43,1.85,1.5,2,1.7,1.7,1.5,0.98,1.36,0.68,0.62,0.62,0.68,0.89,0.83,0.53,:
Luxembourg,0,:,:,0,0,0.1,0.07,0.04,0.05,0.05,0.04,0.06,0.06,0.07,0.08,0.08,0.02,0.01,0.02,0.03,0.03,0.02,0.02,0.02,:
Hungary,87.7,142.1,126.7,94.2,116.9,106.7,114.1,116,149.42,124.83,78.11,105.39,110.24,54.33,105.15,115.46,130.85,145.56,105.41,105.08,104.11,99.64,92.11,107.99,:
Malta,1.6,1.1,1.5,1.3,2.6,3.66,3.32,2.93,3.75,3.3,2.79,2.85,0.85,2.42,3.2,2.7,1.63,2.85,2.33,2.11,1.17,1.27,1.46,0.92,0
Netherlands,93,95.4,108,109,113.5,108.5,108,112,111.5,85.5,76,50,74,51,75,54.79,52.1,64.03,60.95,79.66,73.72,94.22,86.65,113.43,:
Austria,12.2,10.4,10.9,9.4,9.6,10.6,13.4,15.54,17.8,19,15.73,19.1,11.81,16.83,17.18,13.67,13.54,19.12,16.61,17.46,17.66,18.16,16.53,16.58,:
Poland,:,:,:,:,97.8,114.2,95.5,112.36,105.38,119.15,105.43,102.3,97.8,98.9,116.2,102.2,118.48,128.27,107.65,101.9,226.5,187,164.9,153.3,:
Portugal,:,:,:,:,:,:,:,:,:,:,:,27.66,27.46,19.31,26.32,32.91,23.95,28.9,30.02,26.28,30.51,34.18,25.25,16.37,:
Romania,16.79,29.67,27.4,30.36,30.67,43.28,55.94,33.6,45.64,37.57,35.04,39.09,29.78,33.7,33.01,32.09,29.1,32.09,31.11,30.88,35.84,32.24,13.34,13.55,:
Slovenia,2.43,3.41,3.29,1.31,2.95,3.34,3.07,2.58,3.28,3.65,2.08,3.33,2.43,:,:,3.28,3.42,2.67,3.07,2.61,2.89,2.2,1.64,1.52,:
Slovakia,0,0,0,0,0,0,0.61,0.41,0.38,2.99,0,0,0,2.27,2.27,2.78,3.21,2.87,2.71,2.26,2.19,2.66,3.91,3.89,:
Finland,6.5,6.6,7,5.9,5.9,4.2,5.2,6.39,5.72,6.14,4.65,6.31,5.87,6.31,7.17,5.91,7.25,7.18,6.38,8.92,7.48,6.08,7.65,7.87,:
Sweden,30.13,35.29,35.06,34.84,27.24,30.19,25.66,32.46,36.9,41.57,44.3,40.7,40.13,44.49,43.05,45.77,43.43,12.35,9.81,21.28,16.46,23.18,20.63,17.49,:
Iceland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,:,0,0,0,0,0,0,0,:,0,0
Norway,:,:,:,:,3.4,4,4,2.4,:,:,:,:,:,:,:,:,:,:,:,:,0,:,:,:,:
Switzerland,:,:,:,:,:,:,:,:,:,:,:,:,:,:,15.95,:,13.97,17.13,15.99,13.85,18.03,9.48,:,:,:
United Kingdom,214.7,197.3,206.1,205.8,168.6,162.9,152.2,127.3,:,:,:,:,:,:,195,176.6,173,149.7,138.3,172.4,:,:,:,:,:
Bosnia and Herzegovina,1.5,1.96,2.44,1.98,2.82,2.93,3.45,2.74,2.74,2.61,3.29,3.09,2.67,3.75,:,4.35,5.38,4.69,4.02,4.27,3.36,1.98,7.13,6.33,:
Montenegro,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,0,0,0,0,0,0,0,0,0
North Macedonia,16.3,13.6,:,:,:,1.23,1.72,1.87,2.45,3.02,2.79,2.57,2.18,2.08,2.55,2.39,2.23,1.89,2.07,2.03,1.94,2.32,1.84,1.65,:
Albania,:,:,:,:,:,:,:,:,9.5,9.5,12.3,11.2,11.2,:,15.2,18.8,:,:,:,:,:,20.94,21.99,21.8,:
Serbia,:,:,:,:,:,:,:,35.38,42.06,38.9,36.73,41.2,32.7,31.7,21.16,44,41.15,37.85,29.3,25.6,27.6,23.69,21.14,19.71,:
Türkiye,:,648,686,709,756,793.5,762.2,723.8,769,818,:,860,868,878,880,887,893,885,833,842,814,754,769,:,:
Kosovo*,0,0,0,0,0,0,0,0.2,0.2,0.1,0.2,0.2,0.1,0.5,1.7,0.5,:,:,0,:,:,:,:,:,:
