,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Belgium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bulgaria,0,0,0,0,0,0,0.43,0.28,0.1,0.11,0,0,0,0,0,0,0,0,0,0,0.06,0.29,0.21,0.38,0
Czechia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Denmark,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,0,0,0,0,0,0,0,0,0
Germany,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Estonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ireland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Greece,104.1,83.86,75.7,80.9,97,91.5,110.3,90.1,104.4,132,129.31,154.51,176.84,155.79,189.72,220.23,245.05,299.01,292.27,319.81,341.65,389.28,390.12,363.03,:
Spain,:,726.1,700,677.5,713.2,645.7,124.73,122.06,17.8,18.8,:,:,:,:,:,954.44,1036.51,1142.06,1223.24,1235.23,1184.79,1137.35,945.43,1151.05,:
France,83.69,79.54,77.42,74.45,78.92,78.46,77.59,300.98,346.95,387.82,389.94,373.18,373.38,363.06,394.92,399.32,399.31,280.9,284.75,319.22,315.64,330.39,326.45,314.03,:
Croatia,4.08,3.87,3.7,3.34,3.46,1.11,0.91,1.09,1.39,1.22,0.91,1.29,1.27,0.91,0.73,0.7,0.61,0.69,0.8,0.81,0.79,0.77,0.94,1.12,:
Italy,345.7,399.5,447.4,389.3,508,487.1,511.2,486.8,520.7,436.3,:,:,:,:,:,:,534.89,582.31,572.84,536.32,747.75,648.55,765.56,:,:
Cyprus,0,15.9,16.19,15.5,13.7,13.91,13.62,13.75,11.83,12.99,11.51,11.63,11.42,11.78,11.94,11.36,13.1,10.88,9.58,9.41,10.86,9.96,10.63,10.52,:
Latvia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lithuania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luxembourg,:,:,:,:,:,:,0,0,0,0,0,:,:,:,:,0,0,0,0,0,0,0,0,0,0
Hungary,0,1.3,0.3,0.1,0.1,0,0,0.03,0.04,0.25,0.41,:,:,:,:,0,0,0,0,0,0,0,0,0,0
Malta,0,0,0,0,0,0.39,0.35,0.14,0.16,0.22,0.16,0.14,0.17,0.14,0.08,0.12,0.07,0,0.06,0.03,0.05,0.04,0.09,0.06,0
Netherlands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Austria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Poland,:,:,:,:,:,:,:,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Portugal,43.06,40.05,46.75,46.05,45.45,39.8,41.44,42.58,41.56,49.9,47.8,47.4,45.61,45.39,45.18,56.96,53.07,66.66,60.45,89.19,93.09,105.63,110.31,113.4,:
Romania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Slovenia,:,:,0.4,0.2,1.1,0.9,0.74,1,0.92,0.86,:,:,:,:,:,0,2.62,2.22,3.01,1.78,1.81,0.28,1.73,1.46,:
Slovakia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Finland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sweden,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iceland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Norway,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,:,0,0,0
Switzerland,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,:,1.5,1.5,1.7,1.7,:,:,:,:,:
United Kingdom,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,:,:,:,:
Bosnia and Herzegovina,:,:,:,:,0.37,0.43,0.45,0.67,0.63,0.68,0.73,0.74,0.72,0.96,0.78,1.15,1.36,0.87,1.76,1.85,1.63,1.56,5.8,6.2,:
Montenegro,:,:,:,:,:,:,:,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
North Macedonia,0.7,0.9,:,:,:,0.35,0.42,0.44,0.3,0.39,0.57,0.57,2.21,0.71,2.11,1.07,1.2,0.75,0.66,0.63,0.88,0.89,0.76,0.91,:
Albania,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,43.5,46.9,50.4,50.8,:
Serbia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Türkiye,:,390.7,427.5,495.9,503.6,545.8,594.3,549.9,583,647,:,:,:,:,:,615,657,734,870,926,1128,1299,1488,:,0
Kosovo*,0,0,0,0,0,0,0,0.46,0.5,0,0,0,0,0,0,:,:,:,0,0,0,0,0,:,:
