,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Belgium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bulgaria,:,:,:,:,:,:,:,:,:,:,:,53.4,62.6,3.2,1.64,2.63,1.51,1.17,17.87,1.08,1.04,1.02,0.68,0.2,:
Czechia,50.87,51.94,43.08,51.23,53,47.57,43.8,75.26,74.73,52.24,35.12,69.1,42.55,56.44,53.21,66.98,64.27,58.1,87.06,56.36,75.3,74.3,77.62,64.94,:
Denmark,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,0,0,0,0,0,0,0,0,0
Germany,:,:,:,:,:,:,:,:,:,:,943.19,1205.83,1154.87,1093.19,1198.45,1156.71,1176.61,991.61,1334.67,1080.96,1099.38,1098.32,1176.7,1126.74,:
Estonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ireland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Greece,0,0,0,0,0,0,0,0,0,0,72.84,88.75,92.71,118.26,126.57,126.32,120.68,54.77,59.21,53.68,53.22,95.84,88.79,54.38,:
Spain,:,:,:,:,:,:,:,:,:,:,2311.63,2057.63,2221.37,2446.82,2234.32,2267.8,2317.26,2011.75,2504.83,2159.71,2051.9,2087.02,1970.01,1762.82,:
France,:,:,:,0,0,0,0,3866.39,3652.94,3888.69,3795.16,4094.81,3453.61,3452.84,4006.47,4014.06,3765.63,2800.83,4069.15,3511.81,3693.43,3394.48,3994.67,4282.77,:
Croatia,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,84.59,102.14,79.91,105.79,90.73,87.62,71.52,:
Italy,:,:,:,:,:,:,:,:,:,:,2005.98,:,1829.48,2149.14,:,:,2799.95,2547.25,3167.2,2997.86,3100.31,3223.67,3316.08,2848.43,:
Cyprus,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Latvia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lithuania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luxembourg,:,:,:,:,:,:,:,:,:,:,14.66,17.55,11.31,13.42,16.62,14.72,11.03,10.81,18.08,10.11,12.88,13.26,11.72,10.8,:
Hungary,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Malta,:,:,:,:,:,1.01,1.94,1.2,1.27,1.04,1.16,1.29,1.62,1.21,1.21,1.28,1.15,1.21,1.27,1.23,1.06,0.98,1.24,1.09,:
Netherlands,:,:,:,:,:,:,:,:,:,:,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Austria,:,:,:,:,:,:,:,:,:,:,192.71,300.95,245.61,285.95,232.77,281.96,247.37,310.55,341.36,285.15,295.27,300.87,307.89,288.54,:
Poland,:,:,:,:,:,:,:,:,:,:,0,0,0,0,0,0,0,0,0,:,:,:,:,0,0
Portugal,:,:,:,:,:,:,:,:,:,:,419.79,355.83,354.16,385.19,379.24,464.12,412.41,461.33,408.51,472.27,437.02,518,499.31,527.91,:
Romania,0,0,0,0,0,0,0,0,0,0,100.89,104.76,90.26,119.14,129.93,122.47,116.74,170.34,187,156.18,158.87,190.31,150.51,173.53,:
Slovenia,126.65,106.63,122.99,104.39,134.79,120.87,105.49,122.54,105.72,112.86,108.54,121.4,92.32,100.18,94.21,117.59,94.78,89.42,126.96,105.04,103.64,84.16,81.73,78.57,:
Slovakia,:,:,:,:,:,:,:,:,:,:,19.77,47.66,:,:,0,:,:,:,:,:,:,:,:,:,:
Finland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sweden,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iceland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Norway,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,0,0,0,0,0,:,0,0,0
Switzerland,:,:,:,:,:,:,:,:,:,:,:,:,:,:,40,:,:,:,80,:,:,0,:,:,:
United Kingdom,:,:,:,:,:,:,:,:,:,:,1.8,:,:,:,0.8,1,1.04,2.43,3.99,3.8,:,:,:,:,:
Bosnia and Herzegovina,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Montenegro,:,:,:,:,:,:,:,21.82,27.8,24.35,26.26,20.21,22.91,22.04,14.69,20.06,25.78,19.39,23.42,19.52,19.14,20.22,17.61,:,:
North Macedonia,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Albania,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,0,0,:,0,0,0,0
Serbia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Türkiye,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Kosovo*,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,0,0,0,0,:,:
