,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Belgium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bulgaria,0,0,0,0,0,0,0.41,0.12,0,0.11,0,0,0,0.07,0.21,0,0,0,0,0.03,0.03,0.15,0.08,0.25,0
Czechia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Denmark,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Germany,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Estonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ireland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Greece,73.61,60.53,59.5,58.5,74.7,70.1,87.2,70.1,84.3,113.1,116.31,140.4,161.42,138.15,171.72,199.47,221.58,274.55,265.28,285.86,307.44,319.34,320.27,285.34,:
Spain,:,8.9,14.7,12.7,10.9,11.6,18.46,14.04,17.8,18.8,25.68,23.43,18.76,19.83,20.88,21.14,21.41,21.46,23.83,24.51,27.4,28.36,27.38,28.95,:
France,80.51,76.4,74.36,71.57,75.8,75.61,75.14,62.25,66.2,76.23,72.17,74.84,67.02,62.31,60.38,66.88,65.16,56.97,53.61,55.83,50.83,46.03,47.12,49.77,:
Croatia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Italy,345.7,329.3,379.4,322.8,429.2,415.1,434.7,417.1,452.9,436.3,415.88,440.56,408.75,453.74,506.96,578.87,523.6,571.02,562.19,524.49,521.53,416.06,523.12,391.1,:
Cyprus,0,0,0,0,0.09,0.16,0.15,0.16,0.15,0.15,0.12,0.13,0.14,0.12,0.1,0.1,0.12,0.12,0.11,0.11,0.12,0.11,0.15,0.13,:
Latvia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lithuania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luxembourg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hungary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Malta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Netherlands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Austria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Poland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Portugal,9.05,8.2,13.82,13.72,14.96,17.36,17.34,17.52,15.51,26.93,23.9,23.47,20.55,21.31,18.15,29.66,23.69,35.41,34.06,44.12,45.82,55.46,52.92,55.56,:
Romania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Slovenia,0,0,0,0,0,0,0.14,0.17,0.15,0.25,0,0,0,0.25,0,0,0.44,0.13,0.36,0.38,0.1,0.03,0.07,0.36,:
Slovakia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Finland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sweden,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iceland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Norway,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,0,0,0,0,0,:,0,0,0
Switzerland,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,:,1.5,1.5,1.7,1.7,:,0,:,:,:
United Kingdom,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,:,:,:,:
Bosnia and Herzegovina,0,0,0,0,0,0,0,0,0,:,0,0,0,0,0,0.38,0.5,0.19,0.87,0.87,0.63,0.63,1,0.7,:
Montenegro,:,:,:,:,:,:,:,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
North Macedonia,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Albania,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,:,0,0,0,0,0,0,:,:
Serbia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Türkiye,:,2.4,2.5,5.5,4,8,11,15.2,20,21,:,29,37,42,32,42,44,56,62,64,74,86,101,:,:
Kosovo*,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,0,0,0,0,:,:
