,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Belgium,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Bulgaria,224.6,345,445.6,:,354,309.9,277.1,218,295.3,276.4,1086,734.75,602.16,819.74,965.52,842.11,1033.61,1107.36,1174.22,1126.32,878.53,903.22,782.17,717.6,:
Czechia,5685.29,5464.29,4142.41,3031.83,3714.96,3623.74,3445.41,3244.81,3053.2,3001.93,2825.77,2691.83,2429.03,2482.24,2880.6,2432.75,3064.35,2806.96,2468.56,2871.69,3223.17,3353.31,2995.51,2701.85,:
Denmark,2680.5,2633.8,2290.3,2187.2,2191,2886.4,3041.9,3168.3,3322.9,3868,315.2,348.4,281.2,:,262.2,238.29,187.54,192.34,52.11,88.63,85.37,54.34,54,27.43,:
Germany,0,0,0,0,0,0,0,0,0,0,5102.68,5494,5930,5404.57,6098.29,4937.43,5865.71,6569.14,4762.29,5826.29,6694.29,7507.14,6853.14,7273.43,:
Estonia,:,:,2930,2288.4,698.7,986.5,635.9,920,1167.3,1054.9,908.7,1337.3,:,:,:,:,:,:,:,:,:,:,:,:,:
Ireland,0,0,0,0,0,0,0,0,0,0,0,0,0,:,:,:,:,:,:,:,:,:,:,:,:
Greece,54.02,69.27,73.97,54.19,34.63,61.12,45.74,71.31,58.36,66.1,37.4,73.93,126.21,88.41,61.71,111.74,141.72,168.12,95.7,92.52,223.6,54.6,161.33,16.32,:
Spain,:,:,:,:,:,:,:,:,:,:,4700.4,4804.22,3817.9,:,:,7139.87,8350.15,6366.65,7755.87,6835.46,7580.37,7402.61,6205.44,5261.13,:
France,72412.86,66716.29,66120,45022,68935.71,56130.29,60625.14,:,67904.29,58533.14,6628.47,5678.44,6114.77,6039.83,6532.63,6959.85,7696,8637.49,9500.1,9746.18,10065.39,14472.46,10947.64,13729.88,:
Croatia,445.81,513.63,573.4,297.47,548.08,654.56,681.85,597.52,922,799.43,734.6,639.97,511.92,667.5,751.57,703.67,792.88,694.68,740.06,806.09,796.45,745.03,656.44,786,:
Italy,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,26760,34157.99,38881.94,40284.69,41555.87,36870.51,33151.26,33488.47,:
Cyprus,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,15,:
Latvia,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Lithuania,:,:,:,1669.4,1909,2445,2279.8,2325.7,2064.3,1897.4,746.3,825.7,810.1,781.3,799.6,766.47,749,711.61,797.54,863.6,946,1007,1118,869,:
Luxembourg,322.57,14.33,11.61,7.28,14.18,8.29,9.45,10.05,9.15,7.47,10.39,7.88,13.1,13.83,15.22,20.38,28.1,23.38,20.73,20.4,17.6,28.93,21.37,18.14,:
Hungary,:,:,1374.9,602.8,1060.5,902.1,814.4,642.7,857.6,691.5,:,619.36,:,:,1541.6,1503.86,2427.63,2374.09,2593.32,2612.78,2306.55,1969.64,1485.81,2082.32,:
Malta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Netherlands,:,:,:,:,:,:,:,2415.3,2957.3,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Austria,286.01,314.71,360.75,283.17,380.78,458.71,452.54,188.64,375.39,370.46,1713.84,1586.76,1478.71,1374.82,1584.54,1217.78,1598.46,1291.34,1226.89,1306.03,1527.32,1417.93,1308.69,1215.76,:
Poland,2583.5,2724.4,1057.5,1685.4,2060.7,2295.8,11200.7,10506,10442.3,10594.3,11300.56,:,:,:,2794.35,2603.6,2641.83,2374.9,2574.72,2459.84,4339.13,3846.84,5947.49,6202.65,:
Portugal,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Romania,2302.99,2883.91,3117.35,3153.48,1596.97,2485.13,2634.75,1812.22,2299.22,2341.67,2456.27,2613.48,2071.27,2373.36,2574.08,2396.19,2300.23,2500.77,2852.85,2386.44,2164.46,2320.26,2008.18,1768.86,:
Slovenia,18.36,11.77,15.22,9.81,16.7,23,15.76,21.08,29.46,34.54,38.69,35.46,30.16,:,:,143.84,185.53,145.52,164.1,146.91,131.32,118.5,84.25,110.94,:
Slovakia,614.6,775.7,729.7,530.8,708.2,645.5,629.3,623.5,699,642.9,541.63,1144,1067.63,1147.86,1260.41,926.48,1064.45,834.34,969.48,974.76,922.82,851.28,698.05,936.93,:
Finland,303.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.32,16.99,19.81,12.22,5.91,17.12,19.8,:
Sweden,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.86,21.71,44.57,47.71,44.29,:,:
Iceland,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,0,0,0,0,0,1,0,0,0
Norway,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,0,0,0,0,0,:,0,0,:
Switzerland,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,0,0,0,0,0,0,0,0,0,:
United Kingdom,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Bosnia and Herzegovina,302.74,439.79,581.63,378.56,510.35,534.76,524.39,307.77,421.03,376.62,350.53,318.56,258.84,313.22,324.09,314.35,351.32,274.4,347.67,372.58,369.25,304.8,285.96,292.54,:
Montenegro,:,:,:,:,:,:,:,3.13,4.32,4.28,3.82,5.1,3.86,4.59,5.18,4.41,4.68,4.66,4.85,4.98,5.34,5.22,5.08,:,:
