,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018.0,2019.0,2020,2021,2022,2023,2024
Belgium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
Bulgaria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
Czechia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
Denmark,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
Germany,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
Estonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
Ireland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
Greece,139.47,77.8,108.8,101.6,35.6,42.4,40.5,45,75.5,73.5,78,79.62,84.62,72.3,67.37,70.71,80.11,85.02,88.4,82.26,87.19,86.7,89.85,:,:
Spain,905.4,1024.1,993.7,1129.6,810.3,944.8,877.13,506.7,688.9,620.3,723.88,736.2,685.2,818.49,1090.71,777.12,421.11,925.62,1087.23,884.89,1100.47,1017.36,863.24,:,:
France,0,0,0,0,0,0,0,3.36,3.66,3.72,4.13,3.93,3.72,4.4,3.65,4.15,4.14,16.56,14.84,10.04,22.76,22.81,21.69,:,:
Croatia,0.4,0.5,0.47,0.44,0.4,0.21,0.22,0.46,0.25,0.24,0.14,0.2,0.2,0.24,0.18,0.18,0.33,0.02,0.23,0.21,0.23,0.2,0.39,:,:
Italy,610.2,546.6,486.4,520.1,583.4,603.4,573.2,556.4,518.1,522.7,522.38,509.66,352.28,327.28,370.46,383.28,435.59,370.19,424.63,445.95,473.28,466.99,476.31,:,:
Cyprus,20.9,23,22,18,21.78,20.07,17.69,14.15,15.21,13.42,13.93,14.06,11.31,9.54,11.26,15.24,8.18,6.19,6.22,5.69,5.39,4.88,6.15,:,:
Latvia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,:,:,0,0.0,0.0,0,0,0,0,0
Lithuania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
Luxembourg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
Hungary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
Malta,0.9,1,0.8,0.9,0.9,0.51,0.52,0.6,0.64,0.53,0.59,0.55,0.42,0.51,0.55,0.43,0.47,0.36,0.31,0.35,0.27,0.28,0.31,0,0
Netherlands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
Austria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
Poland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
Portugal,11.99,11.44,11.05,13.09,11.79,11.22,10.78,10.93,11.21,12.99,12.77,13.13,13.19,14.02,14.68,15.45,15.44,15.38,16.45,23.19,25.2,27.19,30.62,:,:
Romania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
Slovenia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
Slovakia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,:,0,0,0.0,0.0,0,0,0,0,0
Finland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
Sweden,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
Iceland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
Norway,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,0,0,0.0,0.0,0,:,0,0,0
Switzerland,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,0,0,0,0.0,0.0,:,0,0,:,:
United Kingdom,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,:,:,:,:
Bosnia and Herzegovina,:,:,:,:,:,:,:,0.01,0.01,0.02,0.02,0.01,0.01,0.01,0.02,0.02,0.02,:,0.01,0.02,0.02,0.02,0.02,0,0
Montenegro,:,:,:,:,:,:,:,:,:,:,:,:,0,:,:,0,0,0,0.0,0.0,0,0,0,0,0
North Macedonia,0,0,:,:,:,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,:
Albania,:,:,:,:,:,:,:,:,1.14,1.3,1.7,1.9,2.4,:,2.73,2.6,3.6,3.2,3.8,4.1,4.6,4.9,5.8,6,:
Serbia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
Türkiye,:,510,525,550,600,600,710,651,672,735,:,790,710,726,725,751,851,1007,1100.0,950.0,1189,1550,1323,:,:
Kosovo*,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.0,0.0,0,0,0,:,:
