,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Belgium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bulgaria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.56,0.96,1.03,1.16,0.92,1.66,0.46,0.76,0.62,0.36,:
Czechia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Denmark,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Germany,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Estonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ireland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Greece,142.33,121.55,105.4,13,111.8,88,82,99.5,109,88,98.95,98.42,104.39,81.32,145.94,155.46,143.05,153.69,153.06,152.04,136.06,80.45,142.78,128.3,:
Spain,:,159.7,224.9,286,244.8,355.9,349.28,374.22,410.88,406.8,429.51,533.97,434.67,509.71,642.57,617.4,518.79,718.53,547.12,605.11,481.17,449.19,312.49,538.66,:
France,216.93,194.7,211.2,165.95,172.76,188.7,192.52,180.42,150.88,174.01,160.46,147.98,129.54,106.73,113.08,102.91,98.88,105.04,86.28,96.77,111.62,85.16,113.94,115.12,:
Croatia,:,:,:,:,:,:,:,:,:,:,0.89,1.13,1.1,1.39,1.22,1.6,1.46,1.01,1.16,1.46,1.2,0.86,1.3,1.19,:
Italy,570,600.3,521.2,422.5,643.5,617.6,610.7,593,577,603.4,573.11,610.85,533.6,483.83,519.48,501.71,485.2,464.32,397.25,415.05,276.18,278.62,379.13,309.57,:
Cyprus,:,:,1.6,1.52,1.61,1.61,1.6,1.64,1.66,1.6,1.41,1.47,1.41,1.35,1.47,1.53,1.06,0.68,0.45,0.58,0.73,0.72,0.62,0.5,:
Latvia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lithuania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luxembourg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hungary,:,:,:,:,:,:,:,:,0,0.78,1.28,1.41,0.64,1.73,1.29,1.54,1.34,1.16,1.12,1.11,0.85,0.81,1.26,0.82,:
Malta,0.2,0.1,0.2,0.2,0.2,0.13,0.24,0.07,0.15,0.2,0.09,0.17,0.07,0.06,0.06,0.07,0.02,0.05,0.03,0.02,0.02,0.01,0.01,0.02,0
Netherlands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,:,0,0,0,0,0,0,0,0
Austria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Poland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,:
Portugal,15.24,5.65,13.81,12.63,11.05,9.99,9.97,10.47,9.25,9.61,7.92,8.29,7.24,5.48,9.85,11.26,7.76,10,10.23,10.74,8.34,10.11,7.88,8.67,:
Romania,0,0,0,0,2.23,0.69,0.23,0.13,0.1,0.66,0.34,1.3,0.54,0.65,0.89,0.44,0.73,0.75,0.39,0.42,0.43,0.56,0.51,1.16,:
Slovenia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,:,:,:,:,:,0,0,0,0
Slovakia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Finland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sweden,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iceland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Norway,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,0,0,0,0,0,:,0,0,0
Switzerland,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,0,0,0,0,0,:,0,0,:,:
United Kingdom,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,:,:,:,:
Bosnia and Herzegovina,:,:,:,:,:,:,:,:,:,:,0,:,0,0,0,:,:,:,:,:,:,:,:,0.62,:
Montenegro,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,0,0,0,0,0,0,0,0,0
North Macedonia,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Albania,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,:,0,:,:,:,:
Serbia,:,:,:,:,:,:,:,0,0,0,0,0,0,0,0,10.69,8.91,25.99,23.4,22,17.3,13.06,13.54,13.93,:
Türkiye,:,:,47,40,37,45,45.6,53,49,45,:,53,67,74,77,82,89,107,121,145,162,179,205,:,:
Kosovo*,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,:,:,:,0,:,:,0,0,:,:
