,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011.0,2012.0,2013,2014,2015.0,2016.0,2017.0,2018.0,2019.0,2020,2021,2022,2023,2024
Belgium,:,:,:,:,:,:,:,:,30.51,34.64,24.68,17.64,17.46,22.94,17.67,22.31,16.46,18.43,18.56,20.17,18.24,16.5,17.92,11.45,:
Bulgaria,48.64,101.1,63.49,54.31,107.05,50.92,31.35,23.15,55.89,31.7,43.36,30.08,31.91,36.82,27.98,22.35,32.32,33.0,25.01,31.51,31.66,24.26,25.8,31.71,:
Czechia,135.9,136.4,167.7,233.6,227,151.1,154.9,159.4,155.87,166,138.24,164.25,171.98,139.12,152.23,154.58,132.22,142.44,152.66,134.41,183.36,194.75,168,118.59,:
Denmark,230.19,288.31,272.4,256.58,306.3,311.34,270.91,307.98,286.73,265.08,202.12,206.37,267.95,275.46,182.75,204.4,274.57,318.42,286.56,247.28,425.66,331.06,352.1,208.1,:
Germany,1087.2,1151,1015.9,1201.6,1185.8,963.6,829.9,727.9,793.2,825.6,598.05,627.4,756.5,627.7,627.1,566.3,535.9,576.5,577.6,519.3,721.9,766.5,754.7,452,:
Estonia,117.1,91.4,61.7,63.4,72.7,84.2,63.6,85.2,77.5,86.5,54.5,62.8,78.4,85.3,65,67.8,64.5,89.39,78.38,97.29,117.95,77.5,100.43,80.69,:
Ireland,119.98,112.63,126.76,149.69,148.7,108.08,140.79,148,161.52,137.09,141.37,159.96,147.82,184.87,144.08,188.85,173.95,193.69,117.86,193.03,180.26,229.46,234.58,194.66,:
Greece,75.66,83.21,65.16,60.54,93.98,80.67,127.87,137.11,114.89,91.29,92,102.84,124.27,119.65,84.99,86.73,123.44,95.08,80.72,79.29,77.55,83.94,61.18,71.49,:
Spain,975.88,680.67,901.18,900.98,1067.26,545.19,970.15,1340.36,1215.93,944.26,1048.49,1164.76,711.3,996.64,675.51,812.83,1155.3,877.58,1547.46,841.2,1377.69,1194.5,867.85,478.82,:
France,454.06,479.16,764.01,549.04,598.95,499.33,458.7,410.27,466.51,566.14,387.44,314.84,396.14,424.4,437.83,395.45,341.86,531.09,423.25,402.42,387.02,479.91,379,326.56,:
Croatia,62.32,72.46,75.05,53.64,74.32,50.05,67.4,56.8,66.09,63.02,48.75,78.12,95.64,60.88,57.21,72.58,80.41,69.13,45.35,58.25,66.1,59.52,48.53,34.4,:
