,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Belgium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bulgaria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Czechia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Denmark,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Germany,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Estonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ireland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Greece,80.02,100.25,95,101,115,125,115,95,120.24,140.1,147.46,173.94,287.25,221.65,245.71,319.57,271,279.95,252.37,275.8,336.01,234.89,262.88,250.41,:
Spain,331.6,486.5,263.8,498.7,455.4,375.4,396,438.57,463.9,503.7,515.59,467.36,400.65,483.71,434.81,540.48,511.12,505.05,555.03,323.02,387.13,573.67,262.28,457.66,:
France,2.57,2.82,2.59,2.94,1.93,2.34,2.15,1.46,:,0.35,0.4,0.29,0.34,0.53,0.27,0.51,0.29,0.19,0.48,0.4,0.71,0.84,0.5,0.88,:
Croatia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Italy,69.6,61.7,57.3,62.1,63.4,61.1,61.8,55.7,:,:,70.41,52.23,82.87,87.85,60.24,:,71.23,72.73,64.49,75.98,81,89.28,86.6,88.04,:
Cyprus,3,2.5,3.5,2.07,4.07,2.63,2.9,5.76,3.37,2.86,3.01,3.01,3.02,2.97,3.5,2.1,1.05,3.03,4.05,3.2,1.4,0.6,2.76,2.07,:
Latvia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lithuania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luxembourg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hungary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Malta,0,0,0,0,0,0.07,0.09,0.1,0.09,0.09,0.13,0.13,0.09,0.06,0.06,0.09,0.03,0.11,0.03,0.03,0.01,0.02,0.02,0.02,0
Netherlands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Austria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Poland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Portugal,7.26,13.73,11.72,10.92,10.63,7.16,9.71,7.26,7.49,8.29,10.29,9.05,11.97,17.53,17.4,20.75,17.32,17.8,24.66,22.34,20.17,25.52,16.91,20.3,:
Romania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Slovenia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,:,:,:,:,0,0,0,0,0
Slovakia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Finland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sweden,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iceland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Norway,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,0,0,0,0,0,:,0,0,0
Switzerland,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,0,0,0,0,0,:,0,0,:,:
United Kingdom,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,:,:,:,:
Bosnia and Herzegovina,:,:,:,:,0.05,0.04,0.04,0.07,0.1,0.1,0.12,0.15,0.15,0.34,0.19,0.3,0.36,0.28,0.61,0.78,0.99,0.84,0.58,0.5,:
Montenegro,:,:,:,:,:,:,:,:,:,:,:,:,:,0,0,0.05,0.09,0.07,0.03,0.03,0.02,0.03,0.03,:,:
North Macedonia,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Albania,:,:,:,:,:,:,:,:,:,:,:,:,:,:,23.1,20.9,20.5,20.1,24.2,10.9,23.5,13.7,28.8,18.1,:
Serbia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Türkiye,:,:,450,350,400,400,555.7,455.4,512,451,:,550,480,390,438,400,430,460,427,415,513,556,938,:,:
Kosovo*,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,0,0,0,0,:,:
