,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016.0,2017.0,2018,2019,2020,2021,2022,2023,2024
Belgium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0
Bulgaria,:,:,:,:,:,:,:,:,:,:,32.62,132.93,59.04,13.01,146.55,49.55,107.27,92.2,77.33,48.23,66.49,72.4,40.69,56.4,:
Czechia,:,:,:,:,:,:,:,:,:,:,:,174.92,192.9,225.87,303.64,234.99,347.64,193.17,154.66,241.49,252.58,178.29,155.34,126.35,:
Denmark,:,:,:,:,:,:,:,:,:,:,1092.7,1140.6,1031.9,:,1124.1,2373.09,2611.89,2126.7,1807.27,2908.79,2214.68,1880.78,2159.19,1250.69,:
Germany,:,:,:,:,:,:,:,:,:,:,1607.23,1367.2,1357.4,1616.5,2606,2810.1,2598.3,2825.0,1987.4,3310.4,3131.1,3276.3,2083.8,2705,:
Estonia,:,:,:,:,17.8,24.1,53.3,42.3,36.4,41,28.4,28.7,46.1,22.7,46.1,33,57.52,88.09,62.93,88.47,51.88,62.84,96.63,196.47,:
Ireland,66.57,74.36,42.98,83.18,146.25,168.51,181.68,159.36,39.27,38.4,52.41,38.53,20.87,38.38,31.19,32.94,30.38,29.59,20.27,37.26,30.21,78.11,140.51,126.69,:
Greece,171.35,143.18,113.55,109.7,116.23,113.85,105.56,113.86,113.38,128.35,129.64,151.68,141.44,192.11,549.87,583.66,668.82,734.83,308.44,171.96,166.48,67.78,72.21,65.9,:
Spain,:,:,:,:,:,:,:,:,:,:,:,:,1868.36,2901.94,2852.92,1013.59,1165.04,1126.3,1313.74,1203.14,1295.7,1383.38,1692.61,1692.61,:
France,:,:,:,:,:,:,:,:,:,:,2805.46,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0
Croatia,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,24.97,53.26,53.78,36.34,64.97,142.22,112.77,119.24,:
Italy,:,:,:,:,:,:,:,:,:,:,:,:,:,:,1112.23,1102.05,0.0,0.0,0,0,66.58,128.24,196.47,221.52,:
Cyprus,:,:,:,:,81.8,81.88,79.39,111.14,6.93,117.29,165.92,116.15,126.84,95.35,25.16,260.11,206.86,522.77,580.66,723.84,670.26,640.5,710.4,566.1,:
Latvia,137.6,98,98.4,140.3,148.5,112.1,110.7,148.6,109.9,90.7,82.6,84,0,98.2,101.6,128.2,106.2,30.8,19.2,29.3,30.7,15.9,30.7,24.6,:
Lithuania,:,:,:,:,:,:,:,:,:,:,71.59,48.14,51.57,48.71,72.71,92.2,58.06,80.38,130.89,157,17,15,16,11,:
Luxembourg,:,:,:,:,:,:,:,:,:,:,8.26,10.16,12.45,8.84,13.94,16.55,39.11,23.79,33.65,31.52,33.57,61.1,30.11,34.26,:
Hungary,:,:,:,:,:,:,:,:,:,:,23.06,19.21,:,:,62.07,44.09,110.08,88.79,95.33,92.09,177.63,264.99,551.4,405.9,:
Malta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0
Netherlands,:,:,:,:,:,:,:,:,:,:,:,0,:,:,:,0,0.0,0.0,0,0,0,0,0,0,0
Austria,:,:,:,:,:,:,:,:,:,:,37.77,40.59,44.09,33.72,38.18,25.22,18.92,9.14,6.74,13.84,15.67,16.36,12.99,19.45,:
Poland,:,:,:,:,:,:,:,:,:,:,315.8,1251.4,172.2,218.1,555.26,213.31,494.17,522.61,531.12,867.63,471.99,288.53,108.17,43.51,:
Portugal,:,:,:,:,:,:,:,:,:,:,:,2187.97,1425.92,2153.6,2164.9,1705.51,1174.15,1237.77,1386.5,1412.36,1239.06,1263.07,950.41,950.41,:
Romania,0,0,0,0,0,0,0,0,0,0,17.08,5.83,7.63,18.62,13.91,16.14,7.63,9.14,11.94,78.67,66.09,3.43,10.25,15.61,:
Slovenia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0
Slovakia,:,:,:,:,:,:,:,:,:,:,209.4,175.2,122.49,132.72,159.91,161.28,65.22,115.48,126.93,151.58,146.22,119.73,146.23,185.74,:
Finland,:,:,:,:,:,:,:,:,:,:,295.2,574.7,579.48,649.06,626.43,842.85,818.24,1034.59,836.47,1112.09,1108.22,703,1020.51,987.39,:
Sweden,:,:,:,:,:,:,:,:,:,:,:,288.29,311.71,374.57,430.57,422,426.57,494.29,541.43,477.43,404.86,366.86,322.86,422.57,:
Iceland,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,0.0,0.0,1,0,1,0,1,1,0
Norway,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,133.8,135.6,105,142,147.43,146.74,:,:,:
Switzerland,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,0,8.57,10.4,12.85,27.75,34.28,35.71,28.85,32.03,:
United Kingdom,:,:,:,:,:,:,:,:,:,:,6599,4941,:,5834,6847,0,0.0,0.0,0,0,0,:,:,:,:
Bosnia and Herzegovina,0,0,0,0,0,0,0,:,:,:,:,:,0,0,0,0,0.0,0.0,0,0,0,0,9.36,15.39,0
Montenegro,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,0.0,0.0,0,0,0,0,0,0,0
North Macedonia,:,:,:,:,:,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,:,:,:,:,:,:,:
Albania,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,616,905.14,750.86,0,:,:,:,:,:,:
Serbia,:,:,:,:,:,:,:,0,0,0,0,0,0,0,34.04,39.21,38.74,55.3,52.45,50.27,46.17,33.2,22.28,33.5,:
Türkiye,:,:,:,:,:,:,:,:,:,:,:,:,1244,1386,1470,1476,2119.0,2652.0,2803.57,3177.86,3916.43,3846.43,4264.86,:,:
Kosovo*,:,:,:,:,:,:,:,24.2,17.6,6.6,11.9,9.7,11.7,11.1,9.4,4.3,6.7,8.4,8.9,9.5,9.55,9.46,9.28,:,:
