,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Belgium,0,0,0,0,:,:,:,:,:,:,:,:,:,:,:,0,0,0,0,0,0,0,0,0,0
Bulgaria,0,0,0,0,0,0,0.54,3.01,1.61,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0.84,1.49,:
Czechia,34.52,35.28,19.85,20.57,25.97,19.34,21.64,25.41,21.69,23.76,19.03,24.65,26.25,32.85,43.87,35.43,36.42,31.68,13.43,18.28,18.05,28.03,19.38,0.23,:
Denmark,0.8,0.8,0.8,1.5,0,0,0,:,:,:,1.65,1.9,:,:,:,2.39,2.09,2,1.91,2.01,1.8,2.71,2.43,2.17,:
Germany,270.6,:,187.9,184.3,191.4,241.9,97.87,107.04,100.69,103.68,45.45,64.05,68.46,54.7,60.26,55.63,72.59,62.32,67.99,83.58,90.37,109.29,76.89,92.65,:
Estonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,:,0,0,5.89,3.42,4.06,5.4,4.18,3.06,4.53,:
Ireland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Greece,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spain,317.8,176.6,259.3,183.6,190.2,272.6,:,:,:,:,:,:,:,:,:,101.92,153.28,71.64,8.03,11.3,14.75,10.05,10.68,6.81,:
France,485.3,523.1,553.7,531.8,549.8,522.4,490.7,537.3,504.1,:,:,:,:,:,403.11,403.45,359.96,415.55,455.6,446.57,:,:,412.8,:,:
Croatia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Italy,28.1,:,:,:,:,:,:,:,:,:,:,:,:,:,:,168.44,166.34,156.65,175.25,178.96,181.06,131.87,78.82,82.14,:
Cyprus,0,0,0,0,0.24,0.25,0.24,0.24,0.23,0.23,0.2,0.16,0.16,0.15,0.14,0.15,0.16,0.15,0.12,0.12,0.14,0.12,0.16,0.14,:
Latvia,0,0,0,0,:,0,0,:,0,0,0,0,0,0,:,0,0,0.6,0,0,0,0,0,0,0
Lithuania,:,:,:,0.6,0.41,0.45,0.33,0.76,0.6,1.63,1,0.7,0.7,0.8,0.6,0.37,0.07,0.01,0,0,:,0,0,0,0
Luxembourg,0.6,0.5,0.6,0.4,0.5,0.2,0,0,0,0,0,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Hungary,291.2,538.6,502,601.7,544.6,382.1,555.1,566.5,574.41,439.39,312.12,:,:,:,517.85,521.49,545.84,558.18,557,530.81,558.61,520.95,452.43,550.61,:
Malta,0.4,0.6,0.6,0.6,0.6,0.58,0.74,0.85,0.93,0.85,1.05,0.98,0.98,0.99,1.08,1.16,1.41,1.32,1.39,1.4,1.47,1.27,1.4,2.08,0
Netherlands,35,33,33,34,36,39,42,46,89.7,89,125,91,34,34,36,68.1,36.6,6.06,6.03,6.05,8.77,8.16,8.16,5.64,0
Austria,6.3,6.5,5.3,4.3,4.3,5.3,8,11.04,14.62,13.95,9.71,7.9,13.06,0,0,0,0,0,0,0,0,0,0,0,0
Poland,534.2,574.3,513.1,623.9,44.1,27,24.7,25.54,22.75,27.11,32.89,32.3,32.4,26.6,66.7,67.5,99.61,80.29,69.07,74.7,104.7,84.4,132.2,153.9,:
Portugal,:,:,:,:,:,:,:,:,:,:,:,0.02,0.02,0.33,0.02,0.13,0.02,0.04,0.15,0.24,0.03,0.35,0.1,0.01,:
Romania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Slovenia,9.3,5.9,4.4,8.8,8,6.5,6.21,5.4,4.76,5.08,:,:,:,:,:,0.71,0.62,0.92,0.94,1.41,1.81,1.39,0.27,0.4,:
Slovakia,5.6,7.7,15.8,14.2,7.3,6.1,5.95,5.22,18.83,7.21,:,:,:,:,:,5.99,10.38,7.57,0.1,0.13,0.22,0.4,2.7,2.43,:
Finland,0,0,0,0,0,0,0.34,0.12,0,0,0,0,0,0,0,0.75,0.34,0.12,0.15,0.85,0.25,0.57,0.56,0.47,:
Sweden,0.03,0.03,0.03,0.03,0.03,0.03,0.02,0.02,0.02,0.06,0.1,0.08,0.22,0.28,0.39,0.35,0.36,0.59,0.38,0.42,7.72,5.96,5.96,7.76,:
Iceland,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,0,0,0,0,0,0,:,0,0
Norway,:,:,:,:,4.5,6,4.2,3.6,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Switzerland,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,0,0,0,0,0,0,0,0,:,:
United Kingdom,131.5,118.6,119,122.1,123.4,132.7,125.7,118.3,:,:,:,:,:,:,131,122.7,150,115.6,204.4,203.8,0,:,:,:,:
Bosnia and Herzegovina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,:,:,:,:,0,2.17,1.34,0
Montenegro,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,0,0,0,0,0,0,0,0,0
North Macedonia,25.3,10.7,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Albania,:,:,:,:,:,:,:,:,:,:,:,:,:,:,20.3,5.8,14.7,13,16.8,24.3,28.7,29.4,38.05,32.3,:
Serbia,:,:,:,:,:,:,:,0,0,0,0,0,0,0,0,0,33.09,36.12,23.6,30.9,30.3,25.59,24.05,19.26,:
