,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Belgium,:,:,:,:,:,:,:,:,:,:,0,:,:,:,:,0,:,:,:,:,:,:,:,:,:
Bulgaria,0,0,0,0,0,0,0,4.5,2.2,0,0,0,0,0,:,:,:,:,:,:,:,0,0,:,:
Czechia,1.2,1.7,1.1,2.5,2.7,2.6,14.8,7.1,2.5,1.5,1.3,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Denmark,2.7,0,0.2,0.2,0.1,0.2,:,0.2,0.5,1.3,:,:,:,:,:,0,:,:,:,:,:,:,:,:,:
Germany,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Estonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,:,0,:,:,:,:,:,:,:,:
Ireland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,:,:,:,:,:,:,:,:
Greece,:,:,:,:,:,:,:,:,0,0,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Spain,124.8,101.9,91.1,96.4,98.9,82.9,28,12.6,14.2,25.7,0,23.65,0,0,:,:,:,:,:,:,:,:,:,:,:
France,:,:,:,:,:,:,:,:,0,0,0,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Croatia,:,:,:,:,:,:,:,8.57,2.5,2.2,0.3,:,:,:,:,:,:,:,:,:,:,0,0,:,:
Italy,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Cyprus,:,0,0,0,0,0,0,0,:,:,:,:,:,:,:,:,0,:,:,:,:,:,:,:,:
Latvia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,:,:,:,:,:,:,:,:,:,:
Lithuania,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,:,:,:,:,:,:,:,:,:
Luxembourg,:,:,1.5,3.8,4.8,8.8,8.3,8.2,7.2,10.1,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Hungary,:,:,:,:,1.5,5,9.7,15.7,13.4,5.4,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Malta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,:,:,:,:,:,:,:,:,:
Netherlands,:,:,:,:,:,0,0,0,0,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Austria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,:,:,:,:,:,:,:,:,:,:
Poland,0,0,0,0,48.9,39.3,7.4,12.7,6.5,11.5,0,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Portugal,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Romania,7.4,8.7,7.3,7.1,11.8,6.7,9.9,5.6,3.4,6,4.9,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Slovenia,0,0,0,0,0,0,0,0,:,:,:,:,:,:,:,:,0,:,:,:,:,0,0,:,:
Slovakia,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,:,:,:,:,:,:,:,:,:,:
Finland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,:,0,:,:,:,:,:,:,:,:
Sweden,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,:,0,:,:,:,:,:,:,:,:
Iceland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,:,:,:,:,:,:,:,:,:,:,:
Norway,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Switzerland,:,:,:,:,:,:,:,0,0,:,0.02,:,:,:,:,:,:,:,:,:,:,:,:,:,:
United Kingdom,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,:,0,:,:,:,:,:,:,:,:
Bosnia and Herzegovina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,:,:,:,:,:,:,:,:,:,:
Montenegro,:,:,:,:,:,:,:,0,0,0,0,0,0,0,0,:,:,:,:,:,:,:,:,:,:
North Macedonia,:,:,0,0,0,0,0,0,0,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Albania,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0
Serbia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,:,:,:,:,:,:,:,:,:,:
Türkiye,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Kosovo*,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
