,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Belgium,10.4,10,10.8,6.5,6,7.1,6.86,7.83,7.05,8.85,:,:,:,:,:,9.48,11.09,9.62,8.92,11.78,11.4,13.15,13.23,11.95,:
Bulgaria,0,0,0,0,0,0,3.06,3.11,6.49,9.08,0,0,0,0,0,2.12,1.57,0,2.48,0.94,1.32,2.54,2.89,5.22,:
Czechia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.75,:
Denmark,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Germany,31.4,:,30.2,31.5,35.5,38.2,117.44,116.8,136.5,153.87,139.17,111.49,131.31,118.66,122.64,122.01,128.31,123.55,127.7,127.25,116.12,121.69,110.12,94.07,:
Estonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,:,:,0,0,0,0
Ireland,1.46,1.46,1.03,1.03,1.03,0.36,0.4,0.4,0.42,0.29,0.33,0.33,0.33,0.33,0.3,0.3,0.33,0.44,0.44,0.55,0.55,0.41,0.41,0.46,:
Greece,12.74,11.65,38.5,12.79,11.65,13.83,11.65,10.6,11.65,9.26,11.04,34.93,13.32,20.02,14.23,17.56,38.67,39.65,17.62,10.8,13.75,12.67,11.94,14.98,:
Spain,132.4,146.4,143.2,139.2,135.6,110.9,:,:,:,:,:,:,:,:,:,177.73,173.02,174.53,157.72,97.6,98.47,102.01,101.01,97.45,:
France,65.2,59.3,64.5,69,71.4,74.9,68.3,62.1,61.4,:,:,:,:,:,136.05,136.03,140.66,140.33,136.64,112.96,124.1,119.16,130.31,136.23,:
Croatia,0,0,0,0,0,0,0,0,3.05,3.41,2.41,2.27,1.46,1.23,1.92,4.16,3.97,4.63,3.56,2.28,9.33,5.94,3.33,1.62,:
Italy,1234.1,550.8,589,637.4,685.3,673.1,636.1,640.1,625.3,538.5,:,:,:,:,:,62.17,50.88,48.72,51.83,51.82,58.03,63,71.04,78.07,:
Cyprus,:,:,:,:,6.6,5.9,7.45,6.06,4.75,4.03,4.31,4.03,3.99,2.6,3.85,3.66,3.55,3.33,3.23,2.98,3.25,3.38,3.12,3.25,:
Latvia,0.1,0.3,0.7,0.6,0,1.6,1.1,1.7,0.9,15.9,1.3,0,0.5,0.9,0.5,0.7,1,0.2,0.2,0.56,0.5,0.1,0.05,0.12,:
Lithuania,:,:,:,0.79,0.29,0.52,0.65,1.21,0.81,0.99,0.8,0.7,0.8,0.4,0.3,1.24,0.7,0.42,0.25,0.12,0.25,0.2,0.24,0.21,:
Luxembourg,:,:,:,:,:,0.1,0,0,0,0,0,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Hungary,2.3,:,1.4,1.4,1.3,0.7,0.4,0.46,0.56,2.54,2.6,:,:,:,6.22,2.12,4.18,5.6,5.49,6.31,4.08,3.62,4.8,4.89,:
Malta,0,0,0,0,0,0.49,0.46,0.37,0.35,0.36,0.38,0.35,0.39,0.35,0.35,0.36,0.36,0.31,0.3,0.29,0.27,0.26,0.33,0.36,0
Netherlands,12.6,10,12,9.5,8.5,8.5,8,8.5,9,13,17,:,:,:,:,3.43,13.1,16.88,11.88,14.03,14.27,16.71,11.05,9.99,0
Austria,5.6,5.3,5.4,9.5,10.2,10.1,10.4,10.77,10.57,9.73,4.99,5.17,5.93,6.06,6.61,4.86,7.67,6,8.43,10.47,10.14,11.5,8.68,10.86,:
Poland,:,:,:,:,19.6,32.4,39.4,38.06,37.58,40.12,36.58,42.5,46.6,42.7,46.3,39.4,55.02,57.22,48.11,41.3,45,44,30.5,27.6,:
Portugal,:,:,:,:,:,:,:,:,:,:,:,32.33,32.33,63.16,47.63,61.64,25.5,44.43,51.39,43.96,31.99,71.65,33.88,27.39,:
Romania,0,0,0,0,7.18,0.34,0.71,0.33,2,0.23,0.22,0.24,0.11,0.19,0.23,0.13,0.15,0.45,0.18,0.18,0.22,0.23,0.14,0.86,0
Slovenia,0.5,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.94,0.85,0.76,0.82,1.01,1.13,0.94,0.79,0.51,:
Slovakia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,:,:,0,0,0,0
Finland,0,0,0,0,0,0,0.63,0.61,0.47,0.49,0,0,0,0,0,0,1.65,2.89,2.34,2.27,2.11,7.4,8.21,:,:
Sweden,0.21,0.21,0.26,0.22,0.23,0.22,0.23,0.27,0.22,0.28,0.31,0.27,0.32,0.33,0.44,0.34,0.34,0.44,0.42,0.48,1.51,0.92,0.96,0.54,:
Iceland,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.1,0,0,0,0.1,0,0,:,0,0
Norway,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Switzerland,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,0,0,0,0,0,0,0,0,:,:
United Kingdom,20.8,20.5,21.4,20.7,20.6,19.1,24.1,17.6,:,:,:,:,:,:,28,26.6,9,39.7,34.8,36.1,:,:,:,:,:
Bosnia and Herzegovina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,:,:,:,:,:,0,4.3,5.59,:
Montenegro,:,:,:,:,:,:,:,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
North Macedonia,:,:,:,:,:,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albania,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,42.8,49.8,0,52.5,55.3,70.14,68.43,70.59,64.8,:
Serbia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Türkiye,:,157.6,63,64.8,67.9,80.4,80,75.3,80,84,:,:,:,:,:,107,107,130,135,151,166,202,213,:,:
Kosovo*,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,:,:,0,0,:,:
