,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Belgium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bulgaria,8,3,3.4,7.2,7.8,9.6,5.1,0.7,0.8,0.9,11.11,6.8,:,:,:,8.72,10.64,4.19,5.09,4.31,4.3,4.03,1.93,3,:
Czechia,31.36,41.81,50.5,82.2,72.88,66.8,49.2,46.7,73.5,72.5,40.3,45.4,29.08,28.11,45.54,44.81,42.52,30.7,25.96,33.2,38.46,45.28,34.8,30.67,:
Denmark,0,0,0,0,0,0,0,0,0,0,0.7,1.3,:,:,:,0,0,0,0,0,0,0,0,0,0
Germany,0,0,0,0,0,0,0,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Estonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,:,0,3.6,2.79,3.02,3.48,1.99,4.15,1.76,:
Ireland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Greece,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.07,3.15,2.11,2.06,2.01,1.57,2.11,1.29,0.93,0.76,:
Spain,:,:,:,:,:,:,:,:,0.2,2.5,3.66,:,:,:,:,8.58,8.99,24.73,34.03,21.51,39.79,40.09,25.76,25.76,:
France,1.2,1.4,2,1.8,2,1.8,2.3,3,3.5,9.5,16.02,:,:,:,:,15.67,12.2,20.18,15.36,13.7,14.53,15.35,18.74,26.32,:
Croatia,0.83,1.03,1.59,0.82,0.81,1.55,2.49,2.44,1.71,3.35,4.42,2.26,1.51,2.09,1.69,2.48,3.83,3.44,4.65,4.26,6.74,3.55,3.36,1.37,:
Italy,:,:,:,:,:,1.3,:,:,:,1.3,0.14,0.2,0.1,:,0.2,:,0,0,0,0,0.04,0.64,1.44,1.73,:
Cyprus,1.1,1.8,1.3,1.2,1.33,1.34,1.02,0.91,0.27,0.24,0.24,0.25,0.24,0.27,0.25,0.22,0.3,0.35,0.33,0,0.28,0.29,0.28,0.28,:
Latvia,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0.2,0.3,0.4,0.4,0.4,0.5,0.7,0,:
Lithuania,:,:,:,0,0,0.1,0.1,0.2,0.8,2.01,1.01,3.72,3.12,3.02,3.72,3.57,2.9,3.3,4.27,5.71,8.31,7.29,5.82,5.56,:
Luxembourg,0.1,0,0,0,0.1,0,0,0.1,0.1,0,0.21,0.13,:,:,:,0.11,0.08,0.1,0.11,0.17,0.08,0.05,0.06,0.05,:
Hungary,:,:,25.4,23.2,32.6,19.1,12,11.4,18,19.6,18.39,:,:,:,26.34,23.87,21.6,17.73,15.77,18.03,17.6,17.04,6.89,11.81,:
Malta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Netherlands,0.8,0.9,0.5,0.7,0.5,0.3,0.5,0,0,0.7,:,:,:,:,:,:,0,0,0,0,0,0,0,0,:
Austria,16.07,8.04,10.08,16.48,7.37,10.81,14.64,14.74,11.01,12.8,19.81,20.36,16.3,13.22,15.26,24.78,35.52,19.74,20.21,22.57,28.97,32.79,35.38,20.72,:
Poland,12.1,17.7,14.1,30.5,27.4,14.4,23.3,24.7,16.2,24.3,20.46,:,:,:,:,42.16,32.38,35.38,38.33,33.03,39.07,37.24,55.85,71.07,:
Portugal,0,0,0,0,0,0,0,0,0,:,0,0,0,0,0,0,0,0,0,:,:,:,:,:,:
Romania,1.07,5.53,8.1,19.55,7.61,1.74,3.58,1.65,8.52,11.02,19.94,13.3,4,4.46,6.67,4.3,5.17,3.27,3.22,2.92,1.85,4.55,1.57,3.59,:
Slovenia,1.45,1.76,3.16,3.03,2.42,2.96,3.55,2.82,1.82,2.53,3.94,4.08,2.59,:,:,3.75,4.43,2.78,3.08,2.33,3.02,2.72,2.1,1.37,:
Slovakia,2.6,2,3.6,6.7,4.1,1.4,1.3,1.4,3.7,4.6,2.19,2.21,:,:,:,4.25,5.94,4.31,7.29,7.56,9.61,8.47,7.16,8.3,:
Finland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.55,0.72,:
Sweden,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iceland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,:,0,0,0,0,0,0,0,0,0,0
Norway,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,0,0,0,:,:,0,:,0,0,:
Switzerland,:,:,:,:,:,:,0.1,0.1,0.1,:,0.09,:,:,:,0.15,0.04,0.07,0.09,0.16,0.16,0.18,0.16,0.21,0.26,:
United Kingdom,0,0,:,:,:,:,:,:,:,:,:,:,:,:,:,0,:,0,0,:,:,:,:,:,:
Bosnia and Herzegovina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montenegro,:,:,:,:,:,:,:,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
North Macedonia,0.1,0,0,0,0,0.09,0.09,0,0,0,0,0,0,0,0,0,0,0,:,:,:,:,:,:,:
Albania,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,:,0,0,0,0,0,0,0,0
Serbia,:,:,:,:,:,:,:,0,0,0,0,0,0,0,0,0.57,0.94,0.76,1.98,1.61,1.59,0.97,0.76,0.82,:
Türkiye,1295,1371,1457.1,1337.1,:,:,:,117,18,:,:,127,:,:,220,267,262.86,251.74,257.17,210.29,279.03,292.18,249.71,:,:
Kosovo*,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.1,0.01,:,:,0,0,0,0,0,:,:
