,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Belgium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bulgaria,0,0,0,0,0,0,0.24,0.26,0.1,0.61,0,0,0,0,0,0.51,0.09,0,0.47,0.21,0.14,0.22,0.42,0.42,0
Czechia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,:
Denmark,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,:,0,0,0,0,0,0,0,0
Germany,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Estonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ireland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,:
Greece,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spain,:,6.3,14.1,14.2,17.3,18.8,13.14,12.1,:,:,:,13.12,8.07,:,:,38.27,37.5,36.93,38.5,35.66,33.07,35,32.69,33.4,:
France,0,0,0,0,0,0,0,0,0,0,0,0,0,0,:,:,:,:,:,:,:,:,:,:,:
Croatia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Italy,0.4,0.4,0.6,0.5,0.6,0.6,0.8,0.6,0.7,:,:,:,:,:,:,:,0,0,0,0,1.59,1.64,1.63,:,:
Cyprus,0,0,0,0,0.08,0.07,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.09,0.06,0.07,0.05,0.05,0.04,0.05,0.05,:
Latvia,0.2,0.3,0.4,0.2,0,0.5,0.1,0.1,0.1,0.2,0,0.1,0.2,0.1,0.1,0.1,0.5,0.4,0.2,0.34,0.7,0.8,1.47,1.4,:
Lithuania,:,:,:,0.46,0.38,0.41,0.34,0.5,0.72,0.76,0.23,0.25,0.26,0.23,0.17,0.54,0.53,0.19,0.23,0.41,0.58,0.29,0.19,0.12,:
Luxembourg,:,:,:,:,:,:,0,0,0,0,0,:,:,:,:,0,0,0,0,0,0,0,0,0,0
Hungary,2.5,1.4,0.8,1.1,0.7,0.6,0.7,0.43,0.83,0.91,1.81,:,:,:,1.05,1.41,1.31,2.17,2.72,2.8,2.56,2.67,3.29,3.39,:
Malta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Netherlands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Austria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,:,:,0,0,0,0,0,0
Poland,:,:,:,:,:,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8,1.8,:
Portugal,2.17,2.04,2.04,2.06,2.26,2.38,3.04,3.36,3.56,5.26,5.15,5.12,4.52,4.63,4.59,6.09,6.09,9.04,9.63,9.34,8.89,9.58,9.52,9.52,:
Romania,25.95,27.06,18.91,38.29,2.04,29.06,12.93,22.82,21.97,27.37,19.52,25.81,22.78,22.86,25.54,21.59,21.19,29.48,32.55,29.07,28.37,29.02,26.81,26.57,:
Slovenia,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,0.01,0.02,0.07,0.06,0.12,0.03,0.13,0.1,:
Slovakia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,:,:,0.01,0,0,0,0,0,0,0
Finland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sweden,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iceland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Norway,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,:,0,:,0
Switzerland,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,0,0,0,0,0,:,0,0,:,:
United Kingdom,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,:,:,:,:
Bosnia and Herzegovina,0.78,0.59,0.65,0.77,0.94,1.07,1.05,1.05,0.91,1.33,1.15,1.16,0.87,1.37,0.79,1.29,1.05,0.74,1.44,1.13,1.42,1.03,6.36,11.34,:
Montenegro,:,:,:,:,:,:,:,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
North Macedonia,1,0.6,:,:,:,0.98,1.06,1.23,1.18,1.24,1.43,1.42,:,:,:,:,:,:,:,1.42,1.62,1.56,:,:,:
Albania,:,:,:,:,:,:,:,:,2.5,2.6,3.2,3.3,3.7,:,24,6.2,4.2,:,4.6,4.8,5.1,5,5.3,5.1,:
Serbia,:,:,:,:,:,:,:,13.5,13.01,15.34,11.39,14.36,10.96,15.31,13.55,14.03,14.03,10.38,12.3,11.1,11.1,10.43,10.87,10.6,:
Türkiye,:,102,110,110,80,100,106.2,95,95,96,:,:,:,:,114,130,145,194,197,202,211,213,218,:,:
Kosovo*,0,0,0,0,0,0,0,0.5,0.5,0.2,0.4,0.4,0.6,1.1,0.4,0.2,:,0.4,1.1,1.5,1.48,1.48,1.57,:,:
