,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Belgium,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Bulgaria,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Czechia,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Denmark,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Germany,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Estonia,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Ireland,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Greece,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Spain,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
France,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Croatia,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Italy,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Cyprus,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Latvia,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Lithuania,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Luxembourg,33.8,24.5,35.5,23.4,35,24.6,22.53,22.53,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Hungary,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Malta,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Netherlands,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Austria,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Poland,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Portugal,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Romania,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Slovenia,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Slovakia,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Finland,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Sweden,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Iceland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,:,:,:,:,:,:,:,:,:,:,:
Norway,:,:,:,:,33.9,28.4,35.7,25.8,32.1,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Switzerland,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
United Kingdom,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Bosnia and Herzegovina,:,:,:,:,:,210.4,247.2,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Montenegro,:,:,:,:,:,:,:,:,:,:,:,:,0,:,:,:,:,:,:,:,:,:,:,:,:
North Macedonia,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Albania,:,:,:,:,85.3,90,110.2,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Serbia,:,:,:,:,:,:,:,1500.8,1467.72,1688.63,1264.14,1510.67,1052.83,1693.4,:,:,:,:,:,:,:,:,:,:,:
Türkiye,:,12253.5,13273.4,13141.4,12965.5,14711,14989,14320,15592,15653,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Kosovo*,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,:,:,:,:,:,:,:,:,:,:
