,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Belgium,14.2,18.4,18.3,16.8,22.9,24,34,40.5,33.3,41.7,45.5,52.21,48.4,55.9,53.27,48.66,39.49,46.39,43.3,33.43,29.91,28.1,36.9,49.77,:
Bulgaria,11.4,18.8,7.93,11.18,21.81,21.54,28.66,93.72,233.49,235.76,546.04,521.05,272.79,335.62,528.49,422.56,510.93,482.15,472.59,432.49,279.28,375.8,299.42,209.17,:
Czechia,844.43,973.3,709.5,387.8,934.7,769.4,880.2,1031.9,1048.9,1128.1,1042.42,1046.07,1109.14,1443.21,1537.32,1256.21,1359.13,1146.22,1410.77,1156.97,1245.33,1024.93,1166.39,1309.5,:
Denmark,291.7,211.6,217.8,354.2,468.1,342.2,434.7,596.3,629.2,637.4,579.8,508.3,484.6,687.7,708.9,826,506.2,742.3,489.1,729,560.2,650.9,889.2,822.69,:
Germany,3585.7,4160.1,3848.7,3633.9,5276.6,5051.7,5336.5,5320.5,5154.7,6306.7,5697.6,3869.5,4821.1,5784.3,6247.4,5016.8,4579.6,4275.6,3677.2,2830.2,3527.3,3504.6,4294.9,4218,:
Estonia,38.6,41.3,63.9,69.2,68.6,83.1,84.6,133.3,111.1,136,131,144.2,157.8,174,166.2,196.3,102.48,165.27,113.59,191.37,202.95,216.07,218.67,137.93,:
Ireland,8.31,7.06,6.48,6.96,6.48,13.72,17.26,30.83,19.64,22.86,27.12,54.02,56.38,47.43,33.4,39.08,32.92,40.65,40.28,37.49,44.13,51.16,76.89,90.53,:
Greece,5.28,4.81,5.57,7.08,15.91,16.01,24.89,25,35.84,37.63,40.16,4.81,1.17,6.4,2.11,6.13,6.6,11.41,8.21,9.68,12.08,12.27,24.82,9.17,:
Spain,44.1,24.5,10.8,5.8,8.8,5.4,7.9,34.7,20.8,34.7,36.02,64.25,53.74,113.55,104.83,150.02,226.4,154.51,179.98,144.77,196.1,238.53,254.59,175.21,:
France,3476.8,2877.7,3317,3369.1,3993.5,4532.9,4144.5,4683.8,4719.1,5584.1,4815.52,5369.01,5463.19,4366.2,5524.09,5334.4,4742.94,5378.51,4980.54,3523.3,3289.96,3306.52,4516.54,4263.79,:
Croatia,29.44,22.46,25.59,28.6,31.39,41.28,20,39.33,62.94,80.42,33.05,49.48,26.41,47.83,71.23,56.78,112.99,135.81,155.84,103.9,119.67,73.42,58.07,42.54,:
Italy,41,28.9,13.4,6.6,5.2,6.1,6,14.6,28.1,50.7,50.27,44.23,25.19,40.76,42.1,28.14,35.32,41.99,39.7,37.99,48.69,55.16,53.97,83.51,:
Cyprus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Latvia,10,13,33.3,37.8,104.6,146.6,121.7,197.3,204.7,208.5,227.4,220.1,303.9,299.1,186.4,293.2,283,327.3,231.1,408.3,455.5,427.9,359.1,349.5,:
Lithuania,81.45,65.16,106.18,120.16,205.82,202.31,170.53,313.61,332.01,418.08,418.99,486.96,636.38,553.63,504.26,515.26,401.63,546.5,435.9,692.48,972.36,909.36,900.95,819.46,:
Luxembourg,8.4,8.8,12.5,12.5,16.5,14.7,16.5,18.36,16.45,18.16,15.95,15.63,15.37,15.33,16.03,14.11,10.93,11.43,11.18,10.06,8.99,4.39,7.48,7.93,:
Hungary,179.3,205.1,207.5,108.1,290.6,282.7,338,495.9,654.7,579.4,530.62,526.71,414.64,532.52,699.75,590.44,924.99,932.14,1002.71,912.12,876.9,734.02,505.05,618.52,:
Malta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Netherlands,2.9,2.4,1.5,3.4,7.5,7.7,11.6,11.8,9.5,12,11.49,6.62,6.91,9.95,10.04,8.97,5.28,7.87,5.82,6.01,5.92,4.39,7.17,7.87,:
Austria,125.4,146.5,128.6,77.7,120.8,104.3,137.3,144.7,174.6,171.1,170.58,179.67,148.87,196.83,198.29,111.75,141.89,116.84,120.69,107.17,100.28,86.87,92.03,86.68,:
Poland,958.1,1063.6,952.7,793,1632.9,1449.8,1651.5,2129.9,2105.8,2496.8,2228.7,1861.8,1783.6,2560,3131.82,2582.08,2121.75,2578.7,2105.61,2268.85,2982.88,3050.91,3487.07,3575.1,:
Portugal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Romania,76.13,101.79,35.91,8.08,98.66,147.57,175.05,361.5,673.03,569.61,943.03,738.97,157.51,666.1,1059.12,919.47,1292.78,1673.33,1610.91,798.22,780.16,1375.07,1229.53,1787.37,:
Slovenia,0.31,1.16,5.18,4.83,5.42,5.35,4.99,14.74,10.95,9.85,15.52,13.95,16.69,15.11,19.88,3.64,8.59,9,7.66,9.45,8.52,6.91,7.55,7.32,:
Slovakia,133.8,240.6,257.3,53,262.7,235.1,259.7,321.1,424.4,386.7,322.45,335.85,214.97,378.07,448.86,324.15,435.28,453.6,485.29,422.23,445.72,424.69,446.6,544.03,:
Finland,70.9,100.8,103,93.7,74.8,105.6,148.3,113.6,88.9,141.49,180.07,115.73,74.21,80.14,62.37,85.77,94.62,91.8,70.9,41.9,31.12,41.21,56.77,40.55,:
Sweden,121.5,106,159.2,129.5,227.5,198.2,220.4,222.4,259.4,298.5,279.6,250.4,321.9,331.5,325.4,359.3,268.5,377.3,217.7,381.5,339.3,343.5,427.5,314.8,:
Iceland,:,:,:,:,:,:,:,:,:,:,:,:,0,0.12,0,0,0,0,1,0,0.1,0,0.47,0.28,:
Norway,9.1,19.3,17.8,11.3,12.3,11.2,9.5,9,9.5,:,:,9.1,11.12,11.12,9.81,10.51,11.58,:,:,:,6.87,:,:,:,:
Switzerland,:,:,:,:,:,:,56.3,61,59.5,:,67.9,70.3,71.25,80.89,97.04,89.87,74.27,80.17,80.03,70.08,90.99,79.57,95.09,85,:
United Kingdom,1129,1157.2,1467.7,1548,1608.8,1897.7,1890.1,2108.1,1973.2,1912,2230,2758,2557,2128,2460,2542,1775,2167,2012,1751.8,1079.06,:,:,:,:
Bosnia and Herzegovina,0.04,0.05,0.05,0.07,0.4,0.98,2.1,3.88,1.97,1.81,1.15,1.51,0.56,1.84,2.02,2.2,4.39,6.3,9.71,8.56,10.03,3.03,5.53,6.05,:
Montenegro,:,:,:,:,:,:,:,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
North Macedonia,2.6,0.1,0.3,0.8,2.3,0.66,0.04,0,0.5,1.5,4.99,3.63,4.69,5.01,7.45,4.13,0.22,6.12,0.21,0.12,0.15,0.5,0.28,0.28,:
Albania,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,:,0,0,0,0,0,0,0,0
Serbia,:,:,:,:,:,:,:,29.17,50.77,43.33,23.86,43.55,19.64,26.4,30.73,32.67,38.53,47.63,132.44,82.46,72.05,71.88,85.89,130.81,:
Türkiye,0.2,0.7,3.1,:,:,:,:,29,84,112,106,91,110,102,110,120,127.47,61.19,126.92,183.56,122.67,141.75,152.97,:,:
