,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Belgium,0,0,0,0,0,0,1.98,1.6,1.74,1.9,0,0,0,0,0,0.77,0.57,0.38,0.5,0.4,0.5,0.8,0.79,0.72,:
Bulgaria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Czechia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,:
Denmark,0.9,:,:,1.5,1.7,1.9,1.9,:,:,:,2.19,3.27,:,:,:,0.84,1.44,1.62,1.16,1.02,0.67,0.5,0.59,0.49,:
Germany,:,:,:,:,:,:,:,:,:,:,:,:,4.46,5.82,6.05,6.69,7.19,6.85,8.22,7.42,7.45,8.77,8.83,8.55,:
Estonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.02,0.01,0.02,0.01,0.01,0.01,:
Ireland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Greece,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spain,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.01,0.01,0.03,0.01,0.06,0.05,0.04,0.03,0.02,:
France,2.12,2.2,2.35,2.56,1.87,2.06,2.15,1.56,1.78,1.96,2.11,2.07,1.41,1.83,1.7,1.75,1.49,1.59,1.74,2.06,2.11,1.99,2.35,2.23,:
Croatia,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,0,0,0,0,0,0,0
Italy,0.5,0.6,0,0,:,:,:,:,:,:,:,:,:,:,:,:,0.63,0,0,0.74,0.5,0.87,0.93,:,:
Cyprus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Latvia,:,1.3,0.7,0.8,1.9,2.4,1.4,1,0.1,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.03,0.1,0,0.04,0,:
Lithuania,:,:,:,0.9,0.79,0.88,0.81,0.79,0.52,0.59,0.43,0.66,0.54,0.57,0.35,1.02,0.96,0.46,1.07,0.5,0.54,0.64,1.08,0.86,:
Luxembourg,:,:,:,:,:,:,0,0,0,0,0,:,:,:,:,0,0,0,0,0,0,0,0,0,0
Hungary,9.1,9.4,5.5,5.5,9.2,8,7.3,3.25,4.03,4.75,2.55,:,:,:,1.84,2.5,3.64,3.39,3.69,3.5,3.1,2.98,2.44,2.32,:
Malta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Netherlands,1.5,:,:,:,:,:,:,:,:,:,:,:,:,:,:,4.64,4.7,2.8,5.7,5.84,6.1,6.02,6.5,6.07,:
Austria,0,0,0,0,0,0,0,12.88,13.04,13.01,1.57,1.77,1.64,1.72,1.9,1.95,1.25,2.16,3.12,2.58,2.83,2.55,2.95,2.66,:
Poland,53.6,56.2,46.9,50.9,51.9,47.9,47.4,37.6,45.42,50.63,44.32,45.4,45.9,47.1,39.6,39.1,35.29,29.14,38.35,33.96,35.4,37.2,43.7,38.2,:
Portugal,:,:,:,:,:,:,:,:,:,0.04,0.04,0.04,0.09,0.09,0.13,0.22,0.29,0.39,0.26,0.23,0.23,0.27,0.23,0.23,:
Romania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Slovenia,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,0,0,0,0,0,0,0,0,0
Slovakia,0,0,0,0,0,0,0.07,0.07,0.05,0.01,0,0,0,0,0,0.02,0.01,0.01,0.04,0.05,0.02,0.04,0.03,0.04,:
Finland,0.6,0.2,0.3,0.5,0.2,0.3,0.41,0.31,0.25,0.38,0.44,0,:,:,:,0.3,0.41,0.49,0.43,0.38,0.3,0.35,0.41,0.28,:
Sweden,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iceland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Norway,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,:,:,0,0
Switzerland,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,0,0,0,0,0,:,0,0,:,:
United Kingdom,1.3,1.1,0.4,0.3,0,0,0,0,:,:,:,:,:,:,0,0,0,0,0,0,0,:,:,:,:
Bosnia and Herzegovina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,:,:,:,:,:,:,:,0.3,:
Montenegro,:,:,:,:,:,:,:,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
North Macedonia,:,:,:,:,:,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,:
Albania,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,:,:,0,0,0,0,0,0,0
Serbia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Türkiye,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,0,:,:,:
Kosovo*,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,0,0,0,0,:,:
