,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Belgium,9767.8,8725.2,9930.7,9415.6,9869.4,9135.7,8589.7,9247.3,7576,8481.5,8294.5,10587.26,8178.9,8879.7,:,8535.23,:,10826.08,8577.84,9518.92,:,:,:,:,:
Bulgaria,425.3,626,690.4,517.3,611.7,437.2,413.8,315.5,353.1,232.6,251.98,233.2,151.3,188.81,135.81,168.02,132.91,228.25,271.15,197.71,193.3,197.54,172.48,119.86,:
Czechia,4569.1,4878.9,4792.26,4220.8,4489,4555.9,3862.2,3742.8,3685.4,3817.3,3758.65,4725.45,4562.11,4298.4,5136.85,3942.09,4835.23,5104.38,4328.5,4298.09,4382.14,4830.65,4729.46,4417.44,:
Denmark,6143.3,5591.4,5771,4816.2,4897.6,4671.6,3945.9,4143.1,4230,3895.8,3989.9,4604.4,4579.1,3975.2,4405.6,4561,4662.4,4920.1,4179.1,5130.7,5596.2,5215.7,5192.4,5424,:
Germany,41063.1,36232.7,37908.2,33631.4,40202.6,36909,30677.2,36782.9,34371.6,37602.1,33950.52,41827.2,38698.8,32824.6,41656.3,33276.7,36692.3,46231.6,35421.8,40609.2,40599.6,43534.4,39123.3,43417.7,:
Estonia,521.2,379.2,218.2,251.6,117.1,151.4,106,139,79.9,90.6,110.5,111.1,102,92.8,82.5,:,64.71,63.85,:,86.18,92.06,67.44,87.68,80.42,:
Ireland,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Greece,3752.34,3522.85,3334.44,2947,2680.51,3372.59,2505.04,1496.02,1774.3,1687.44,1655.4,1082.22,1013.68,1008.11,1149.78,835.75,812.12,920.69,530.03,549.58,539.64,408.58,396.88,337.68,:
Spain,11769.4,10470.9,12038.2,9899.6,10497.8,10429,9061.7,7972,6809.2,7613.2,6073.92,6907.33,5901.01,4921.09,6498.91,6103.26,5487.16,5768.19,5043.14,5166.91,4621.96,4719,4041.75,5018.2,:
France,40167.1,35505.8,43059,37963.5,40428.3,39969.9,38458.4,40418.5,38046.3,42131.6,41344.5,44663.9,40036.13,41164.41,46367.11,41103.16,41920.67,55569.79,48478.39,47328.54,36110.34,44430.77,40494.89,41189.89,:
Croatia,694.76,1225.4,1469.07,853.87,1518.52,1620.54,1841.56,1893.12,1543.97,1501.1,1442.75,1351.33,1077.92,1221.77,1561.41,938.09,1370.3,1455.69,963.88,888.34,954.69,840.18,677.82,624.27,:
Italy,13636.7,11881.1,14581.4,8746.9,10294.5,15909.2,6552.4,6411.5,6119.8,5060.9,5108.1,5084.8,3992.41,3431.59,5217.1,:,3428.67,3809,3249.08,3123.09,3271.92,2880.01,2451.26,:,:
Cyprus,117,123.6,151.1,129.6,131.65,152.5,127.5,155.5,115,112.5,82,126.08,82.2,105.48,117.5,95.92,122.8,109.92,105.33,82.1,91.88,98.98,90,95,:
Latvia,1377.8,1309.7,1545,1431.3,1264.9,1266.5,1087.6,706.2,695.9,543.6,313.9,261.6,256.3,244.8,214.7,209.7,206.6,214.2,200.7,230.6,184,117.7,133.1,149.2,:
Lithuania,4072.6,3317.7,3719.9,3341.9,2333,2067.5,1374.2,1545.2,1189.6,1454.4,1221.2,1511.9,1597.2,1436.6,1524.7,1054.98,1303.72,1202.2,1195.26,1347.09,1249.93,1064.07,959.33,1327.95,:
Luxembourg,33.5,27.2,24.4,18.8,22.8,20,16.9,20.5,22.1,20.4,19.76,23.24,21.26,18.33,20.06,14.12,22.42,22.2,16.88,16.04,17.19,17.43,15.89,14.37,:
Hungary,2839.7,3811.4,3026.1,2412.9,4059.4,4193.9,3043.5,2262.6,1266.3,1303.6,1319.16,1469.3,1429.43,1478.07,1651.36,1372.73,1568.25,1526.51,1293.71,1175.46,1056.07,922.57,671.6,1052.28,:
Malta,29.7,25.3,27.6,23.3,28.6,25,18.5,15,19,10.1,15.54,18.92,12.69,12.64,10.81,8.02,6.83,8.75,:,8.99,7.99,7.12,7.12,:,:
Netherlands,14925,13011.6,13672.7,12727.9,13836.3,12746.2,11679.1,12381.9,12211.2,12916,12123.96,13191,12500,12304,13922,11519.95,:,:,12537.88,:,0,:,14172.4,13433.84,:
Austria,3375.4,3511.4,3767.4,3078.9,3627.8,3913.2,3170.1,3339.9,3862.7,3818.2,3814.64,4283.99,3789.52,4077.62,5005.63,3396.35,4309.47,3654.86,2853.78,2721.86,2983.17,3792.22,3400.87,3273.69,:
Poland,42424,35173.7,31097.4,27633.7,28608.6,23838.4,21793.6,25851.1,20132.2,21461.6,18832.2,21845.5,22194.7,18850.2,21454.2,15853.9,22461.86,25041.83,21818.32,20568.62,22945.31,22604.67,20353.73,21722.08,:
Portugal,1252.01,1019.24,1455.04,1221.72,1368.58,1152.89,915.33,873.06,665.08,474.42,388,397.76,464.54,497.54,553.19,492.55,456.17,521.58,431.69,424.29,409.64,413.32,319.83,356.58,:
Romania,4937.26,5907.75,6074.73,5697.29,5183.28,5180.19,5945.05,5056.21,5111.97,5388.29,4611.5,5292.41,3520.44,4736.11,5335.51,4163.44,4037.73,4583.8,4285.15,3798.02,2541.35,2332.25,1688.05,1548.32,:
Slovenia,625.38,415.47,487.13,372.74,458.85,478.27,404.09,169.89,131.97,139.84,125.06,117.42,99.29,81.48,114.46,107.67,101.32,94.37,95.3,91.87,118.41,84.8,71.04,82.18,:
Slovakia,1516.2,1677.8,1896.2,1632,2037.6,2106.9,1682.2,1167.3,955.4,1148.2,1125.45,1389.1,1075.06,1319.05,1739.57,1356.39,1691.97,1384.64,1488.49,1439.66,1441.4,1516.34,1227.38,1543.52,:
Finland,1831.2,1838,1846,1509.7,1682.9,1924,1527.7,1374.7,1152.4,1314.3,1210.2,1349,888.3,1081.2,1226.6,938.6,1021.2,1042.28,955.7,1120.3,1045.9,961.8,913.49,918.98,:
Sweden,3582.3,3584.4,3577.9,3341.5,3266.2,3328.5,2966.8,789,2828.1,3263.7,2792.5,3375.2,3119.5,3132.3,3339.9,1980.8,2849.3,2816,:,2875.8,2904.3,2872.6,:,:,:
Iceland,:,:,:,:,:,:,:,:,:,:,:,8,10.97,:,:,9.5,11,10,7,9,8,6.9,7.8,8,:
Norway,356.5,389.3,390,366.8,396.4,316.6,378.3,329.8,400.4,:,333,296,305,318,357.7,305.2,350.8,:,:,:,:,:,:,:,:
Switzerland,:,:,:,:,:,:,1756.3,2162.3,2005.5,:,1820.56,2437.08,2218.88,:,2485.73,:,1688.88,2045,1741.08,1904.08,1823.35,1469.73,1770,1765.87,:
United Kingdom,15920,14983.7,16523.3,15213.7,15358.6,14666,13127,12297,13499,14856,12573,14520,11844,14115,:,11806,:,:,:,:,:,:,:,:,:
Bosnia and Herzegovina,312.92,426.82,438.37,323.37,468.36,478.59,432.56,401.71,444.91,428.62,393,426.28,307.37,380.08,314.5,361.52,433.61,345.29,403.54,385.69,451.19,348.77,291.04,369.44,:
Montenegro,:,:,:,:,:,:,:,12.72,15.89,18.54,17.72,21.22,15.66,20.04,24.31,27.19,29.92,27.5,26.1,26.56,29.46,27.55,23.15,:,:
North Macedonia,226.4,222.3,283.3,220.1,250.5,248.27,190.28,188.74,189.43,207.15,202.33,193.86,169.98,190.88,199.65,190.41,198.53,178.95,181.93,190.53,197.18,183.63,200.7,187.54,:
Albania,203,202.2,202.3,158.2,160,169.3,162.6,154.9,190,200,208,230.1,233,:,:,245,:,249.8,282,:,281.83,283.3,283.9,294.6,:
Serbia,:,:,:,:,:,:,:,4155.37,3298.16,3876.06,4438.43,3895.75,3060.93,3946.84,4104.93,2826.33,3406.8,3109.1,2826.6,3035.8,2720.07,2693.47,2217.48,2665.2,:
Türkiye,24331,17782.5,21883.2,18082.9,18477.2,19436.2,19007.7,16813,19713,20773,22490,6996,19823,20439,20749,21226,24217,25951,23451,23121,28310,23419,24257,:,:
Kosovo*,:,:,:,:,:,:,:,95.1,104,58.7,87.4,87,33.4,50.8,77.2,70.7,98.6,118.2,68.8,73.8,74.51,73.98,75.5,:,:
