,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Belgium,:,:,:,:,:,:,:,:,:,:,4.05,3.3,1.46,3,3.76,2.14,1.55,1.5,1.6,2.12,1.23,0.2,1.12,0.55,:
Bulgaria,:,:,:,:,:,:,:,:,:,:,2.8,4.3,3.88,7,3.78,3.43,3.55,4.11,4.79,5.15,4.81,4.41,4.26,3.27,:
Czechia,9.93,9.62,8.09,8.09,9.55,7.87,8.87,8.66,6.74,6.69,4.52,6.7,3.71,5.28,5.02,5.8,6.68,4.2,6.81,5.34,5.86,4.96,4.44,3.29,:
Denmark,:,:,:,:,:,:,:,:,:,:,1.63,10.95,4.87,9.43,3.43,3.09,4.47,3.56,2.84,2.59,1.4,1.25,2.19,1.97,:
Germany,38.91,34.72,23.05,33.79,35.45,24.57,37.14,28.76,14.91,30.24,18.27,22.29,12.94,13.06,17.35,17.12,15.97,8.27,15.9,15.72,13.19,11.03,10.19,7.81,:
Estonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,:,:,0,0,0,:
Ireland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Greece,0.91,0.54,0.89,0.56,0.7,0.66,0.59,0.99,0.99,0.85,0.65,0.69,0.73,0.93,1.91,1.32,0.73,0.7,0.91,0.59,0.63,0.69,1.13,0.64,:
Spain,:,:,:,:,:,:,:,:,:,:,0.29,0.25,0.37,0.44,0.28,0.42,0.43,0.37,0.42,0.38,0.59,0.68,0.54,0.19,:
France,5.52,4.99,6.23,3.34,5.5,5.48,5.82,5.25,2.92,3.98,2.82,2.68,1.29,2.12,3.52,2.88,1.95,2.31,3.28,2.74,2.87,0.69,2.84,2.58,:
Croatia,5.5,5.95,4.61,4.83,2.24,1.59,2.17,3.21,3.79,3.13,3.88,6.96,4.13,8.3,9.89,5.37,7.47,8.72,8.21,5.77,6.22,5.59,6.38,4.71,:
Italy,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,0,0,0,0,0.27,1.13,1.14,:
Cyprus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Latvia,:,:,:,:,0,:,:,0,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Lithuania,:,:,:,:,:,:,:,:,:,:,0.23,0.77,0.88,0.53,0.44,0.32,0.97,0.47,0.49,0.42,0.61,0.37,0.63,0.2,:
Luxembourg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hungary,:,:,:,:,:,:,:,:,:,:,51.87,61.73,53.42,70.41,91.85,76.79,73.59,69.76,83.57,62.7,61.46,60.53,65.86,54.47,:
Malta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Netherlands,:,:,:,:,:,:,:,:,:,:,0,0,0,0,0,5.56,4.9,4.6,4.2,4.27,4.1,3.84,3.6,3.27,:
Austria,0,0,0,0,0,0,0,0,0,0,0.54,0.98,0.52,0.77,0.75,0.72,0.43,0.58,1.05,0.76,0.77,0.63,0.66,0.35,:
Poland,:,:,:,:,:,:,:,:,:,:,147.2,175,175.4,188.2,176.5,179.4,194.82,71.6,200.63,151.93,155.5,166.6,183.8,168.7,:
Portugal,0.11,0.04,0.04,0.05,0.05,0.06,0.06,0.05,0.05,0.09,0.09,0.09,0.09,0.19,0.19,0.19,0.17,0.27,0.15,0.22,0.18,0.23,0.19,0.19,:
Romania,33.5,41.7,30.02,45.14,23.96,49.2,47.85,30.48,31.26,31.22,35.74,37.1,31.82,37.45,36.95,33.87,32,25.76,37.97,34.31,33.46,34.26,28.97,28.97,:
Slovenia,0.53,0.35,0.28,0.47,0.18,0.18,0.22,0.14,0.03,0.13,0.08,0.08,0.07,0.05,0.07,0.04,0.04,0.01,0.07,0.07,0.07,0.01,0.09,0.01,:
Slovakia,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11,0.06,0.05,0.03,0.02,0.02,0.01,0.02,:,0,0,:
Finland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sweden,0.57,0.54,0.62,0.47,0.44,0.14,0.38,0.34,0.25,0.28,0.25,0.17,0.18,0.15,0.2,0.1,0.1,0.1,0.09,0.09,0.21,0.18,0.18,0.11,:
Iceland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Norway,:,:,:,:,:,:,:,:,:,:,0.3,0.07,0.05,0.1,0.1,0.13,0.11,:,0.14,0.15,0.13,0.1,:,:,:
Switzerland,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,0,0,0,0,0,:,0,0,:,:
United Kingdom,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,:,:,:,0,:,:,:,:
Bosnia and Herzegovina,2.64,2.73,2.47,2.47,2.87,2.72,3.07,3.37,3.52,3.98,3.81,4.29,3.3,4.75,4.21,4.74,5.07,4.06,5.99,4.24,5.36,4.83,8.23,9.89,:
Montenegro,:,:,:,:,:,:,:,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
North Macedonia,:,:,:,:,:,5.53,6.04,7.03,8.83,8.68,5.21,6.51,8.13,8.87,8.04,8.48,8.07,4.41,10.54,8.7,9.89,8.37,8.73,6.14,:
Albania,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,:,:,:,:
Serbia,:,:,:,:,:,:,:,139.94,125.28,145.8,92.88,124.35,101.86,140.75,93.91,91.74,80.6,91.66,128,97,165.7,155.14,164.45,144.85,:
Türkiye,:,:,:,:,:,:,:,:,:,:,:,182,186,180,183,184,193,182,184,182,189,184,177,:,:
Kosovo*,:,:,:,:,:,:,:,0.4,0.4,0.3,0.3,0.3,0.7,0.4,0.5,0.8,0.7,0.6,0.4,0.8,0.74,0.71,0.78,:,:
