,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018.0,2019.0,2020.0,2021,2022,2023,2024
Belgium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0
Bulgaria,1.53,0.72,4.2,0.63,0.61,0.61,0.1,0.1,0.21,0.42,1.72,0.7,0.2,0.65,0.76,41.92,19.13,20.91,4.73,7.57,6.2,2.81,10.18,6.22,:
Czechia,2.3,4.3,6.4,11.9,12.9,18.9,17.8,13.2,9.4,13.6,16.14,17.93,13.15,13.47,16.49,20.24,27.97,37.01,25.26,27.84,33.02,51.46,65.54,63.39,:
Denmark,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0
Germany,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,43.2,65.7,58.7,84.1,90.5,106.6,120.5,129,:
Estonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0
Ireland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0
Greece,0.21,0.24,0.3,2.03,0.27,0.22,0.11,0.24,0.19,3.85,4.62,0.47,0.37,2.01,4.76,5,2.43,2.89,2.52,3.72,1.84,1.23,0.68,0.8,:
Spain,6.7,6.6,1.6,0.6,0.4,2.7,1.5,0.9,0.7,2.8,1.92,1.84,1.41,1.47,2.8,4.2,2.94,4.71,4.35,5.17,4.62,4.77,3.79,7.38,:
France,201,309.7,210.3,147.4,147.1,142.5,123,84.3,63.1,109.8,136.74,122.52,103.94,110.07,227.26,336.83,338.95,414.33,398.48,428.53,406.81,439.35,375.82,385.58,:
Croatia,65.3,91.84,129.47,82.59,97.92,119.6,174.21,90.64,107.56,115.16,153.58,147.27,96.72,111.32,131.42,196.43,244.08,207.77,245.19,244.28,266.01,227.87,194.77,204.25,:
Italy,903.5,881.8,566.2,388.5,518.1,553,551.3,408.5,346.2,468.2,552.45,564.64,422.13,651.59,971.77,1162.7,1126.34,1062.23,1186.35,1042.83,1005.63,923.47,943.4,1095.94,:
Cyprus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0
Latvia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0
Lithuania,:,:,:,:,:,:,:,0,0,0,0,0.7,1.8,1.5,1.7,1.78,3.05,3.06,3.45,2.31,2.56,2.23,2.29,1.71,:
Luxembourg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.03,0.02,0.02,0.05,0
Hungary,30.8,41.5,56.2,50.1,64.8,78,85,54,74.1,71.6,85.44,94.96,67.73,78.76,115.59,145.85,184.73,179.28,181.24,169.57,165.76,156.58,134.47,177.24,:
Malta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0
Netherlands,:,:,:,:,:,0,0,0,0,0,0.99,0,:,:,0,0,0,0,0.0,0.0,0.0,0,0,0,0
Austria,33.56,34.69,36.12,40.42,45.84,62.01,66.51,54.13,55.36,72.96,96.74,111.92,106.56,84.71,120.88,137.78,154.37,195.67,186.49,217.78,204.86,237.83,248.42,274.96,:
Poland,0,0,0,0.3,0.4,0.3,0.3,0.5,0.1,0.2,0.2,0.3,1.47,0,2.02,8.9,14.87,20.54,10.39,15.54,15.96,20.97,43.78,47.03,:
Portugal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0
Romania,73.51,76.91,154.42,237.98,315.86,330.97,364.96,144.01,95.85,89.17,158.66,150.93,110.4,158.65,214.69,277.3,278.69,416.37,492.68,440.12,340.82,367.74,258.53,317.67,:
Slovenia,0.07,0.1,0.16,0.07,0.23,0.33,0.53,0,0,0,0,0,0,0,1.05,4.69,7.39,7.71,5.33,4.24,5.01,4.81,5.34,7.88,:
Slovakia,4.8,10.4,15,12.2,13.5,19,20.6,11,11.4,15.4,24.04,37.76,42.8,40.54,83.91,63.53,94.63,104.82,106.96,119.66,132.2,165.16,98.76,132.81,:
Finland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0
Sweden,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0
Iceland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,:,0,0,0,0.0,0.0,0.0,0,0,0,0
Norway,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,0,0,0,0.0,0.0,0.0,0,0,0,:
Switzerland,:,:,:,:,:,:,3,2.6,3,:,3.08,3.3,3.16,3.93,4.02,4.2,4.66,5.84,3.87,5.54,5.43,6.04,6.21,7.19,:
United Kingdom,0,5,3.5,4.1,4.1,4,4,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,:,:,:,:
