,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018.0,2019,2020,2021,2022,2023,2024
Belgium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Bulgaria,0,0,0,0,0,0,0,0,0.4,0,0.52,0.5,1.86,0,0.22,0,0,1.56,0.0,0,0,0,0,0,0
Czechia,0,0,0,0,0,0,0,0,0,0,3.65,6.48,8.52,4.45,5.78,2.27,10.13,1.29,4.21,1.14,1.84,2,0.84,0.09,:
Denmark,0,0,0,0,0,0,0,0,31.9,47,23.82,15.81,31.03,:,31.63,24.31,23.85,27.73,19.01,28.47,35.6,32.97,38.53,26.67,:
Germany,124.7,118.6,106.5,136.6,113.3,109.5,102.3,76.6,71.1,77.7,61.92,67.7,151.5,81.3,67.1,62,45.3,43.3,42.2,31.7,32.2,26,30.5,19.5,:
Estonia,23.9,11.6,10.7,10.5,11.2,9.9,10.1,9.1,7.5,5.8,7.4,8.8,4.7,11.3,7.6,7.3,2.6,1.36,1.21,1.62,0.81,0.95,0.87,0.56,:
Ireland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Greece,0.52,1.95,1.92,1.79,1.99,2.36,3.24,4.01,4.3,4.55,5.12,9.15,3.33,3.06,1.47,2.33,13.89,3.69,1.23,0.05,2.48,2.77,0.61,1.31,:
Spain,29.67,36.63,32.54,34.07,103.25,103.25,50.04,38.07,37.04,22.41,13.19,19.2,0.74,8.93,10.14,9.77,11.46,6.67,26.89,11.12,16.18,5.23,6.84,6.84,:
France,224.06,195.4,254.6,216.35,271.01,238.49,236.72,221.99,208.94,212.7,176.82,210.23,242.55,215.27,219.1,194.69,216.64,313.96,352.54,452.01,357.64,546.44,462.2,425.23,:
Croatia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Italy,:,:,:,:,:,:,:,:,:,:,72.76,76.15,:,:,:,:,0,0,0.0,0,0,0.17,0.01,0,:
Cyprus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Latvia,25.4,16.9,16.2,13.1,22.9,21.1,15.9,17.1,14,19.6,15,19.9,18.1,23.9,36.1,15.3,14.3,6.3,10.6,14.4,17.9,11.6,17.8,2.8,:
Lithuania,20.6,19.8,18.5,28.6,31.6,39,27,52.6,19.2,33.2,34.6,47,50,46,58,42.08,30.91,20.32,20.23,13.82,17.83,14.38,13.37,11.34,:
Luxembourg,3.4,3.1,2.3,2,1.77,1.68,0.7,0.4,0.55,0.6,0.48,0.67,0.68,0.76,1.01,0.52,1.21,0.58,0.31,0.74,0.86,0.51,0.7,0.25,:
Hungary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Malta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Netherlands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Austria,30.02,30.32,26.35,25.95,26.05,25.15,40.17,19.59,18.89,18.6,22.32,20.03,17.48,14.02,15.17,12.95,11.89,10.29,8.41,7.1,6.69,7.77,6.88,5.45,:
Poland,3083.4,3873.3,3629.9,3436.4,4051.93,3673.78,3171.88,3944.99,3425.5,3586.6,2955.53,3058.7,3581.52,2492.26,2441.49,1895.66,2178.36,2548.91,2245.83,2217.13,1618.99,1824.21,937.5,731.43,:
Portugal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Romania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Slovenia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Slovakia,0,0,0,0,0,0,0,0,0,0,0,1.8,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Finland,37.4,32.9,31.7,35.6,44.2,47.8,51.1,43.64,36.98,44.93,46.28,56.07,53.39,63.8,71.31,34.36,37.47,28.59,38.89,46.21,48.96,35.08,51.33,40.17,:
