,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Belgium,10.1,3.3,7.4,7.1,6.7,7.2,7.62,7.68,2.65,5.48,:,:,:,:,10.33,8,5.66,4.32,6.5,12.18,6.74,3.45,9.6,8.42,:
Bulgaria,:,129.1,86.4,101.8,114.8,64.8,80.2,71.25,61.6,63.42,:,:,:,:,:,138.54,136.61,158.81,159,170.42,147.42,164.56,158.06,128.93,:
Czechia,60.46,53.38,21.72,24.81,28.72,19.67,22.91,26.32,21.61,26.13,14.23,20.14,11.9,20.77,16.96,21.2,16.27,11.77,25.67,20.16,16.58,15.6,18.82,11.09,:
Denmark,3,3.3,3,7.4,14.1,9.4,14.5,:,:,:,1.59,11.39,:,:,:,4.36,5.45,4.55,4.24,4.1,2.42,2.27,3.41,3.14,:
Germany,142.05,110.48,97.65,120.54,159.75,98.19,125.75,134.49,75.74,152.21,102.32,123.43,75.78,92.7,119.98,99.99,87.4,51.39,130.25,112.41,101.31,82.84,100.03,89.79,:
Estonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,:,0,0,0,0
Ireland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Greece,1243.99,1005.68,892.09,201.36,1070.6,870.86,798.69,983.1,1055.21,931.65,872.6,837.49,933.85,840.82,1111.66,991.47,994.6,1168.32,1208.44,1157.9,1142.34,782.56,1125.34,1039.74,:
Spain,1531.4,1456.9,1318.5,2038.9,1338.2,1745.6,1672.78,1587.23,1595.19,1578.5,:,:,:,:,:,2048.07,1856.92,2251.29,1889.13,1991.59,1673.24,1618.97,1225.9,1758.38,:
France,856.15,835.65,903.49,733.74,793.34,810.23,834.74,764.13,590.94,814.01,746.21,655.54,658.87,549.93,657.2,581.99,582.96,644.18,517.74,577.58,579.96,349.9,497.93,598.36,:
Croatia,38.09,37.63,27.35,36.31,44.03,23.15,26.05,30.17,29.65,27.1,32.16,43.55,21.27,47.2,21.1,21.44,22.31,25.87,25.4,20.83,23.76,14.32,23.3,15.63,:
Italy,2198.4,2163.5,2104.4,1528.4,2205,2219.8,2185.3,2143.8,2120.3,2191.8,:,:,:,:,:,:,1993.91,1842.32,1632.23,1811.55,1455.46,1423.62,1684.12,1497.01,:
Cyprus,:,7.3,8.45,6.63,6.53,7.18,7.33,7.48,6.48,6.27,5.65,5.72,5.75,5.36,5.7,7.07,5.04,5.54,4.42,4.68,5.62,5.79,5.35,5.12,:
Latvia,3.5,4.1,4.8,1.9,2.1,4.3,3.1,1.2,0.5,0.2,0.1,0.2,0.1,0.3,0.2,0.3,0.2,0.3,0.4,0.16,0.2,0.2,0.21,0.1,:
Lithuania,3.5,5,4.5,2.06,2.29,2.42,7.47,1.41,1.93,2.91,0.99,1.8,1.75,1.42,1.33,0.96,1.58,0.78,0.88,0.9,1.16,0.82,1.48,1.19,:
Luxembourg,1,0.3,1.2,0.7,1.1,0.6,0.19,0.19,0.09,0.19,0.2,:,:,:,:,0.15,0.02,0.02,0.18,0.18,0.21,0.12,0.21,0.36,:
Hungary,244,234.4,123.2,163.9,274.5,164.2,241.1,142.47,206.14,233.22,209.73,:,:,:,209.49,192.9,196.22,186.39,181.16,173.59,121.47,127.09,159.95,134.75,:
Malta,1.1,0.6,1,0.9,1.5,1.23,2.42,0.72,1.63,1.8,1.01,1.81,0.97,0.8,0.85,0.9,0.26,0.73,0.48,0.39,0.24,0.29,0.38,0.4,0
Netherlands,4.8,:,:,:,:,:,:,:,:,:,:,:,:,:,:,19.65,19.2,19.2,18.9,19.08,19.1,18.56,18.2,17.92,:
Austria,115.9,132.4,80.5,128.7,126.1,113.1,146.8,130.62,118.78,140.42,28.69,42.25,25.5,41.51,34,35.78,18.25,24.19,53.53,35.07,28.88,28.09,27.45,17.09,:
Poland,305.1,372.2,363,362.1,402,281.5,334.9,185.99,372.27,378.22,282.72,326.9,332.6,360.6,:,336.1,371.78,155.85,395.85,302.99,331.1,350.7,405.6,375.3,:
Portugal,93.36,50.9,98.11,87.56,81.41,76.72,77.68,73.39,70.99,75.37,62.92,69.53,62.03,52.3,79.19,93.2,69.23,96.79,82.08,91.89,67.11,92.6,79.98,69.73,:
Romania,656.67,679.94,304.78,1055.27,567.03,749.41,731.74,478.84,585.95,644.08,716.74,697.53,525.7,624.04,630.57,609.13,625.54,541.41,973.7,813.15,871.66,923.06,764.88,751.66,:
Slovenia,23.6,14.7,20.2,17.8,29.8,21.6,21.37,19.98,14.22,19.04,:,:,:,:,:,8.15,6.55,4.63,6.44,5.88,5.15,0.73,5.09,2.24,:
Slovakia,4.4,4.5,4,5.6,6.5,4.3,6.63,4.06,6.27,7.34,:,3.31,:,:,:,:,:,3.81,5.06,4.42,3.01,3.37,3.65,2.86,:
Finland,0,0,0,0,0,0,0.02,0.01,0.02,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0
Sweden,1.27,1.21,1.14,1.07,1.01,0.45,0.87,0.81,0.59,0.67,0.61,0.71,0.48,0.41,0.46,0.3,0.3,0.35,0.34,0.34,0.4,0.45,0.47,0.32,:
Iceland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Norway,:,:,:,:,2.8,2.2,2.7,2.2,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Switzerland,:,:,:,:,:,:,:,:,:,:,:,:,:,:,14.67,14.67,15.47,8.15,15.91,15.95,19.38,:,:,:,:
United Kingdom,5.6,16.2,13.9,16.1,14.7,16,15.2,15,:,:,:,:,:,:,16,0,10.9,14.5,12.3,13.1,:,:,:,:,:
Bosnia and Herzegovina,109.74,107.58,70.34,107.3,185.12,113.92,143.23,160.91,155.16,180.39,181.16,183.16,130.95,251.89,96.86,143.19,155.23,93.6,218.48,139.68,183.13,153,377.13,343.43,:
Montenegro,:,:,:,:,:,:,:,2.6,2.48,3.42,2.72,3.76,3.16,4.33,3.55,3,2.76,2.69,3.03,2.05,2.31,2.73,2.82,:,:
North Macedonia,43.7,26.1,:,:,:,49.15,54.52,56.77,62.25,63.1,62.55,60.77,62.6,68.81,63.64,71.47,62.91,41.85,71.11,65.12,67.33,48.91,71.63,40.96,:
Albania,:,:,:,:,:,:,:,:,:,:,:,:,66.5,:,:,:,:,:,:,:,:,:,100.8,91.8,:
Serbia,:,:,:,:,:,:,:,794.02,724.59,805.44,558.76,725.15,504.44,852.89,636.37,590.61,680.13,571.46,676.4,784.1,853.6,660.12,766.64,597.67,:
Türkiye,:,1589,1358,1631.9,1355.2,2080,1720.7,1989,2118,2104,:,:,:,:,1791,2353,2529,2894,2695,2874,3005,2935,3033,:,:
Kosovo*,:,:,:,:,:,:,:,12,12.1,8.7,7.7,7.7,18.6,25.8,24.5,18.6,14.1,:,:,14.5,14.81,12.79,15.06,:,:
