,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Belgium,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Bulgaria,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.04,0.04,0.08,0.04,0.04,0.09,0.1,0.14,0.23,1.15,0
Czechia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.26,0
Denmark,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,0,0,0,0,0,0,0,0,0
Germany,:,:,:,:,:,:,:,:,:,:,6.41,8.74,5.78,6.9,9.66,12.13,13.75,19.6,22.92,30.51,32.14,34.58,34.62,37.96,:
Estonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ireland,:,0.57,2.52,3.67,3.52,4.08,4.02,3.95,4.81,4.81,5.14,5.14,7.35,7.77,6.63,6.79,6.26,6.45,5.57,5.92,6.21,6.45,7.16,6.61,:
Greece,9.4,8.9,8,11,13,13,12,23,22,20,40.42,42.3,42.08,45.9,49.15,58.77,56.81,56.75,56.34,72.83,82.84,84.55,96.05,98.34,:
Spain,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,394.43,373.89,356.94,341.75,349.43,268.13,356.47,320.9,321.83,:
France,:,:,:,:,:,:,:,:,:,:,25.51,30.89,33.72,38.49,40,40.06,41.12,39.26,33.86,39.21,49.53,49.69,52.58,54.38,:
Croatia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19,0.88,1.66,0.69,0.4,0.65,0.79,0.83,0.93,1.63,:
Italy,:,:,:,:,:,:,:,:,:,:,102.4,104.21,91.43,107.07,97.93,105.06,97.01,92.37,85.69,90.17,88.94,89.32,68.95,91.04,:
Cyprus,:,:,:,:,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Latvia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lithuania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.02,0.02,0.02,0.09,0.27,0.14,0.18,0.08,:
Luxembourg,:,:,:,:,:,:,:,:,:,:,:,:,:,0,0,0,0,0,0,0,0,0,0,0.01,:
Hungary,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Malta,:,:,:,:,:,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Netherlands,:,:,:,:,:,:,:,:,:,:,:,24,24,27,29,28.58,28.8,41.5,40.61,51.84,56.84,65.88,67.16,59.65,:
Austria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Poland,:,:,:,:,:,:,:,:,:,:,15.04,:,:,:,11.2,9.8,10.59,11.19,9.62,8.4,11.6,7,14.3,14.8,:
Portugal,:,:,:,:,:,:,:,:,:,:,:,2.32,6.02,2.81,2.07,2.74,2.97,3.86,3.05,2.71,8.08,8.14,9.7,6.67,:
Romania,0,0,0,0,0.01,0,0.03,0.04,0,0,0,0.03,0.02,0.03,0.03,0.02,0.04,0.04,0.06,0.02,0.09,0.08,0.06,0.29,0
Slovenia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Slovakia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,:,:,:,0,0,0,0
Finland,:,:,:,:,:,:,:,:,:,:,:,:,0.06,0.06,0.08,0.07,0.06,0.08,0.18,0.07,0.06,0.22,0.19,0.24,:
Sweden,0.31,0.3,0.25,0.3,0.32,0.43,0.35,0.34,0.36,0.44,0.55,0.62,0.66,0.72,0.78,0.83,0.84,0.99,1.27,1.33,2.79,2.2,2.39,5.07,:
Iceland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,:,0,0,0,0,0,0,0,0.05,0,0
Norway,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Switzerland,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
United Kingdom,0,0,0,0,0,0,0,0,0,0,0,0,0,0,:,115.5,19,18.9,22.8,17.1,:,:,:,:,:
Bosnia and Herzegovina,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,1.35,1.22,:
Montenegro,:,:,:,:,:,:,:,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
North Macedonia,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Albania,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,4,3.5,:,:,:,:,:,:
Serbia,:,:,:,:,:,:,:,0,0,0,0,0,0,0,0,0,3.3,4.3,6.3,6.4,7.3,8.78,10.04,8.99,:
Türkiye,:,:,:,:,:,:,:,:,:,:,:,114,152,120,128,137,138,115,180,114,112,140,145,:,:
Kosovo*,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,:,:,:,0,:,:,:,:,:,:
