,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021,2022,2023,2024
Belgium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
Bulgaria,585.74,394.42,630.51,780.13,1070.5,924.63,1187.4,563.78,1303.56,1320.9,1534.63,1441.28,1401.53,1980.93,2019.51,1710.43,1853.83,2084.11,1943.98,1937.21,1733.53,2002.18,2140.59,1779.16,:
Czechia,65.4,56.7,54.6,114.5,84.9,94.8,101,52,60.9,61,57.36,70.9,56.94,46.8,42.31,31.62,44.63,53.16,47.59,28.81,29.1,52.12,59.69,49.31,:
Denmark,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
Germany,63.9,54.4,51.8,73.4,69.7,67.1,61.9,50.9,48.9,56.9,47.24,53.2,62.8,46.1,46,35.3,35.7,39.6,35.5,46.0,58.0,99.7,161.2,170.1,:
Estonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
Ireland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
Greece,24.11,19.05,23.1,21.69,16.29,14.06,12.6,17.07,15.46,44.6,116.4,210.37,222.59,281.41,251.72,238.56,245.25,220.08,231.02,298.96,244.7,229.76,228.59,162.44,:
Spain,919,871,771.1,762.5,820.9,360.9,662.1,733.2,872.7,869.5,846.65,1090.17,642.02,1038.07,952.99,777.65,780.67,850.99,960.79,782.29,892.8,768.35,829.25,882.12,:
France,1833.1,1584,1496.7,1511.7,1457.2,1510.5,1439.7,1307.9,1608,1703.9,1635.59,1880.7,1572.95,1577.69,1584.19,1186.91,1172.41,1598.94,1239.08,1298.14,1608.19,1912.89,1798.38,2058.54,:
Croatia,53.96,42.99,62.97,69.25,68.97,78.01,81.61,54.3,119.87,82.1,61.79,84.96,90.02,130.58,99.49,94.08,110.57,115.88,110.79,106.56,120.02,124.36,152.87,156.15,:
Italy,460.7,411.4,354.2,237.4,274,289.4,308,277.4,261.3,280.2,212.9,274.42,185.49,287.52,251.98,250.22,270.07,245.25,250.46,294.73,299.88,282.4,266.03,307.32,:
Cyprus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
Latvia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
Lithuania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
Luxembourg,:,:,:,:,:,:,:,:,:,:,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.18,0.3,0.62,0.44,:
Hungary,483.6,632.3,776.9,992,1186.2,1107.9,1180.7,1060.5,1468.1,1256.2,969.72,1374.78,1316.55,1484.37,1597.25,1556.98,1875.41,2022.33,1830.28,1706.85,1697.96,1757.71,1286.2,1955.8,:
Malta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
Netherlands,0,0,0,0,0,0,0,0,0,0,0,:,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
Austria,55.6,51.16,59.14,71.78,78.76,81.69,85.53,60.15,80.58,71.78,67.23,74.52,53.63,51.85,58.38,38.48,60.58,51.95,60.97,64.54,56.8,75.22,57,65.53,:
Poland,1,1.1,0.8,1.3,4.5,7.4,5.4,5.7,4.7,4.1,4.5,5.2,5.29,4.27,2.16,2.1,3.35,5.96,9.24,3.93,15.13,32.66,61.85,57.7,:
Portugal,27,22.33,19.98,17.03,13.15,2.27,3.89,13.33,15.31,10.83,7.19,11.88,9.1,10.93,15.53,23.38,24.8,19.67,16.02,11.31,9.57,9.41,12.02,8.41,:
Romania,720.87,823.55,1002.81,1506.4,1557.81,1340.94,1526.23,546.92,1169.94,1098.05,1262.93,1789.33,1398.2,2142.09,2189.31,1785.77,2032.34,2912.74,3062.69,3569.15,2122.87,2843.53,2106.57,2027.54,:
Slovenia,0.03,0.02,0.04,0.12,0.08,0.09,0.19,0,0,0,0,0,0,0,0.53,0.58,0.6,0.52,0.79,0.8,1.02,1.14,1.2,1.2,:
Slovakia,117.3,118.6,116.9,252.7,196.4,195.3,228.6,132.7,192.3,187.2,150.33,203.21,199.4,197.89,200.7,176.21,249.2,221.25,203.83,129.67,137.21,197.32,172.58,173.54,:
Finland,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
Sweden,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
Iceland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,:,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
Norway,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,:
Switzerland,:,:,:,:,:,:,13.7,13,11.1,:,10.6,9.9,9.55,10.39,10.05,10.11,13.43,16.99,17.06,18.28,12.7,11.51,13.54,18.5,:
United Kingdom,4,1,2,0,2,2,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,:,:,:,:
Bosnia and Herzegovina,0.11,0.06,0.14,0.08,0.15,0.1,0.37,0.16,0.29,0.18,0.36,0.44,0.16,0.22,0.62,0.46,0.57,0.47,0.45,1.11,1.34,1.16,1.5,1.65,:
Montenegro,:,:,:,:,:,:,:,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
North Macedonia,7.4,5.5,8.8,6.8,7.8,6.71,6.02,3.58,5.44,7.77,7.59,8.5,4.77,3.83,9.27,8.48,6.27,6.18,3.38,6.54,6.07,5.53,9.83,5.95,:
Albania,2.9,2.7,2.6,1.3,2.2,2,2.2,2.4,2.2,2.3,2.6,3,2,:,1.89,1.89,1.89,1.04,0.8,0.95,1.19,0.85,0.76,0.76,:
Serbia,:,:,:,:,:,:,:,278.32,429.32,356.81,357.62,408.28,345.91,484.66,481.27,413.06,587.0,510.9,693.4,689.02,601.71,574.19,608.11,648.56,:
Türkiye,800,650,850,800,900,975,1118,854,992,1057,1320,1335,1370,1523,1638,1638.0,1700.38,1998.53,1989.69,2132.58,2101.07,2456.84,2593.05,:,:
Kosovo*,:,:,:,:,:,:,:,0,0,0,0,0,1.2,0.5,0.5,0.6,0.6,0.2,0.03,0.15,0.23,0.21,0.24,:,:
