,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Belgium,:,:,:,:,:,:,:,:,:,:,583.2,600.3,564.4,580,:,:,:,:,:,:,:,:,:,:,:
Bulgaria,10.9,15.5,24.9,:,9.3,0.6,0.8,2.3,1.8,1.3,8.09,2.75,7.68,6.59,0.8,6.53,5.6,7.97,21.9,7.16,6.66,13.11,11.42,4.8,:
Czechia,:,:,:,:,:,:,:,:,:,:,:,419.61,365.96,421.21,425.7,365.96,438.04,363.55,258.85,304.71,424.47,444.92,365.26,459.65,:
Denmark,2597.6,2583.5,2238.3,2134.8,2134.8,2825.3,2987.9,3113.9,3275.4,3797.7,14150.4,15660,15783.3,:,14220.3,17978.14,19680.14,20417.86,14208,20252.14,17836.43,16046.71,19864.86,12743.71,:
Germany,4638.09,4669.41,4344.23,3090.6,4604.81,5842.41,5636.71,6814.81,7695.17,7530.03,7236.18,7692.29,7953.43,7077.43,7994.57,5698,6021.71,5989.14,4209.43,5674.86,6152.86,7348,5664.57,6040.57,:
Estonia,:,:,:,1707.4,1151.9,1280.6,974.2,1354.7,1108.8,781.2,1354.7,714.4,:,:,:,:,:,:,:,:,:,:,:,:,:
Ireland,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Greece,0.45,0.55,2.7,0.41,0.41,0.41,0.41,0.41,0.12,0.12,1.84,2.57,2.01,0.75,1.81,20.71,14.02,15.59,10.52,4.11,3.7,6.95,15.05,70.09,:
Spain,2816.6,2844.8,2852.1,2655,2158.4,8633.5,1862.9,2991.3,3257.8,6281.8,5995.79,5728.66,:,:,:,3882.32,4076.97,2913.09,3188.4,3163.73,3314.32,2890.9,2924.31,2924.31,:
France,61488,56639.14,56231.71,37743.71,59095.14,47343.43,51605.43,:,67904.29,58533.14,56027.62,51437.28,71011.41,67415.11,77419.42,60130.42,53789.74,59193.02,48779.03,46822.65,32334.7,44049.69,29344.11,36711.71,:
Croatia,389.59,392.87,401.72,229.45,372.21,357.48,402.77,367.71,440.31,464.95,521.82,354.44,308.51,381.87,236.06,262.89,220.34,250.91,204.74,216.35,221.83,323.95,290.91,340.93,:
Italy,:,:,:,:,:,:,:,:,:,:,:,:,:,28,:,:,12329.6,16517.87,19704.77,19812.65,19667.74,19789.59,17818.45,20207.82,:
Cyprus,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Latvia,4749.6,3174.3,4459.4,4048.3,4322.9,4857.3,4960.6,5697.5,5585.1,4153.5,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Lithuania,:,488.7,389.8,887.1,1936.2,3949.2,2972.5,3997.8,3680.7,4856.7,6999.4,7003.8,7102.1,6484.6,6586.6,5140.28,4485.38,3920.78,3930.28,4042.8,3880,3292,3697,3071,:
Luxembourg,312.86,416.46,294.24,200.01,353.18,232.57,271.56,302.66,311.21,303.5,267.68,228.69,424.58,365.75,333.53,239.63,315.22,258.84,291.49,284.59,238.11,369.74,277.16,328.3,:
Hungary,:,:,601.5,11.7,44.7,40.7,29,24.1,33.1,25.1,:,35.35,:,:,88.25,93.71,173.31,174.86,307.47,341.9,337.66,342.31,302.71,396.47,:
Malta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Netherlands,:,:,:,:,:,:,2372.8,2297.3,2858.9,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Austria,116.91,140.57,171.57,139.95,188.23,217.03,199.92,144.41,152.67,148.18,1063.73,1043.15,1027.82,921.41,1134.52,939.89,1020.53,851.89,856,840.44,885.54,854.97,798.15,862.93,:
Poland,759.4,860.2,647,770.5,1466.1,1760.1,8499.2,7829.9,8152.3,8531.3,8505.41,:,:,:,6439.96,2239.66,2887.71,3019.43,3519.35,2501.49,3539.07,6557.18,10924.84,11045.77,:
Portugal,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Romania,:,:,:,:,55.23,46.75,20.83,20.33,19.12,23.71,37.24,51.94,49.29,51.44,49.41,54.73,38.55,41.98,59.22,65.35,45.89,74.1,49.68,51.55,:
Slovenia,80.22,122.05,146.65,93.73,168.28,147.47,162.02,176.91,196.63,210.21,205.23,188.32,146.35,:,:,382.05,365.8,306.57,404.48,411.62,469.26,443.19,320.9,499.94,:
Slovakia,73.6,90.8,95.8,79.3,59,64.9,94.4,97.9,128.7,115.6,146.86,394.97,1392.91,386.11,445.98,370.39,401.95,330.45,330.24,327.69,339.58,348.92,228.32,315.85,:
Finland,7738,7185.3,:,:,:,:,:,:,:,:,:,:,:,7370.5,7722.3,7861.19,8250.43,6794.72,7910.64,9700.95,9627.77,8568.08,7779.6,8342.22,:
Sweden,:,:,:,:,:,:,:,:,:,:,14110,12739.14,13162,12436,14441.43,14269.71,13457.14,13890,10752.29,15201.14,14642.29,14470.86,12993.14,:,:
Iceland,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,13,23.9,27,40.11,26.74,37.89,42.34,37.89,37.89,:
Norway,2870.6,2930.9,2484,2684.1,2788,2653.6,2599.8,2617.6,:,:,:,:,:,:,:,:,7084.39,6594.06,5126.47,8134.01,:,7921.6,:,:,:
Switzerland,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,1421.27,1486.86,1450.63,1338.7,4526.22,3942.8,3802.74,3264.95,4095,:
United Kingdom,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
