,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014.0,2015,2016.0,2017.0,2018.0,2019.0,2020.0,2021,2022,2023,2024
Belgium,216.3,233.2,234.4,250.3,245.9,229.6,238.15,222.56,226.16,232.07,227.68,218.44,231.83,249.8,249.25,253.05,259.54,255.96,258.68,270.14,311.5,282.67,298.8,293.5,:
Bulgaria,410,272.6,245.3,428.2,237.6,126.5,212.97,133.19,134.13,104.23,114.6,103.1,94.02,117.95,120.49,121.65,141.37,158.76,148.08,145.01,115.79,116.42,126.46,115.65,:
Czechia,30.57,25.01,13.14,12.61,15.71,15.01,12.48,9.24,9.68,14.76,7.24,15.52,13.32,8.29,8.5,5.55,14.35,4.82,10.08,10.62,8.73,12.87,13.46,20.3,:
Denmark,21.2,21.2,21.2,20.7,20.7,17.6,17.6,:,:,:,15,13.24,13.24,12.5,12.75,10.58,10.9,11.76,11.76,11.76,11.76,11.39,11.39,11.39,:
Germany,49.9,46.2,46.1,50.2,59.4,57.5,53.24,62.6,65.1,66.62,73.29,76.72,61.19,69.26,84.5,80.92,85.29,96.56,103.27,106.69,102.12,101.77,102.18,101.06,:
Estonia,0,0,0,0,0.9,1.2,1.2,1.3,1.3,1,0.8,1.4,1.3,1.4,0.8,0.9,0.36,0.1,0.29,0.46,0.51,0.83,0.1,0.08,:
Ireland,7.77,8.7,10,10,7.86,8.06,7.85,7.65,5.5,4.66,4.66,4.66,4.66,4.66,4.25,4.43,3.98,3.78,3.92,3.73,3.71,3.77,3.69,3.72,:
Greece,1863.72,1938.41,1882.5,1790,1880,1670,1550,1424.47,1340.74,1645.1,1406.23,1169.92,979.62,1117.56,1132.72,1148.36,1039.32,878.77,835.94,808.67,908.25,888.32,752.51,797.9,:
Spain,3766.3,3971.7,3986.7,3947.3,4383.2,4810.3,3800.55,4081.48,3847.8,4749.2,4312.71,3872.49,4063.5,3776.8,4888.88,4832.7,5233.54,5163.47,4768.6,5000.56,4312.9,4754.38,3651.94,3968.46,:
France,848.2,873.3,802.5,837.3,848.5,790.3,740.1,679.6,714.6,:,808.36,845,763.48,775.63,786.1,787.88,827.61,771.55,712.02,709.28,703.59,726.17,711.04,656.19,:
Croatia,15.53,16.72,15.44,12.32,15.19,18.73,16.51,30.78,17.33,22.08,22.28,23.59,18.44,26.03,19.37,36.27,24.57,32.46,22.64,22.02,33.37,18.79,25.84,21.91,:
Italy,7487.4,6387.9,5750,6651.5,7683.1,7187,6365.7,6528,5982.1,6382.7,6024.78,5961.53,5131.98,5321.25,5598.08,6410.25,6437.57,6015.87,5798.1,5777.61,6247.91,6644.79,6136.38,6016.05,:
Cyprus,35.6,37.5,37,35,33.43,34.11,30.3,29.39,23.44,20.32,18.32,17.17,15.79,13.28,16.56,16.06,13.36,15.21,15.54,16.14,12.68,15.26,15.5,15.47,:
