,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Belgium,55.41,32.57,50.28,46.96,55.09,47.84,45.62,36.65,39.99,44.73,43.34,29.23,41.12,43.5,39.4,40.63,31.31,33.55,32.43,40.07,33.02,32.04,30.21,33.48,:
Bulgaria,12.42,10.35,24.23,18.77,28.05,22.84,26.15,13.34,21.14,17.78,30.36,27.42,27.3,40.07,61.48,39.07,51.04,60.58,41.2,44.18,41.45,54.21,42.95,117.6,:
Czechia,138.5,191.8,199.9,161.9,305.4,255.2,131.4,205.5,255.57,222.7,171.2,196.92,190.37,214.21,243.89,202.65,193.2,177.25,172.15,195.41,213.26,193.45,207.62,209.13,:
Denmark,241.16,165.07,120.19,144.1,157.65,149.84,154.48,148.16,183.15,226.63,175.34,136.4,113.27,73.53,94.78,81.05,55.55,59.8,37.16,51.1,41.41,49.02,33.41,27.38,:
Germany,2799.8,3418.9,3068.3,2480.4,3289.8,2675.9,2237.1,2061.5,2381.5,2514.4,2156.96,2004.3,2294.8,2609,2972.2,2598.3,2397.3,2317,1935.5,2194.9,2036.3,1908.6,1929.7,1832.4,:
Estonia,:,9,12.9,9.9,16,15,5.4,15.4,21.8,22.6,9,13.6,24.8,8.8,25.2,35.1,18.9,26.45,11.52,35.21,30.76,27.69,23.97,24.67,:
Ireland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Greece,1.78,1.11,1.07,2.34,8.6,5.39,8.25,10.53,7.64,8.61,10.06,12.39,12.58,22.12,41.27,33.4,50.16,43.42,38.33,38.09,40.27,36.94,33.98,29.76,:
Spain,97.21,90.76,98.85,96.9,26.71,56.79,116.96,136.91,139.37,141.52,148.36,215.65,226.16,410.82,467.97,468.3,573.26,370.32,675.42,599.97,786.97,787.82,634.89,369.14,:
France,1246.93,1109.05,1473.56,1267.19,1812.28,1788.36,1674.6,1458.84,1799.83,1992.06,2036.7,1964.26,2273.75,2006.95,1999.75,1843.94,1403.69,1560.95,1333.78,1641.48,1206.56,1736.91,1613.73,1638.44,:
Croatia,:,:,:,:,:,:,7.37,9.66,12.68,12.73,33.95,35.56,54.99,48.41,62.03,55.23,81.39,69.45,62.73,66.89,50.25,42.99,36.12,33.38,:
Italy,0,0,0,0,0,0,0,0,0,:,:,:,:,:,:,:,88.72,79.11,61.76,61.1,60.41,63.73,64.91,76.29,:
Cyprus,:,:,:,:,0,0,0,0,0,0,0,0,0,0,0,0,0.26,0.62,1.64,1.19,1.41,1.54,1.32,1.03,:
Latvia,13.5,28.9,40.9,33,42.1,31.8,22.2,37.9,35.2,33.3,26.4,21.4,48.8,36.6,26.9,41.2,37.3,26,13.7,29.9,27.7,23.9,26.1,19.3,:
Lithuania,130.9,143.8,145.3,214.2,263.4,201.1,110.4,227.6,311,426,258.4,237,434.8,453.8,395.2,471.5,331.46,247.51,153.28,347.03,437.26,206.12,204.56,207.39,:
Luxembourg,19.77,16.58,22.97,19.97,23.07,18.48,20.02,17.59,21.23,25.49,25.34,21.96,23.38,25.76,29.86,27.66,22.92,23.77,27.36,28.96,25.77,26.73,30.24,29.19,:
Hungary,234.23,391.61,356.81,276.98,618.68,564.4,437.74,377.99,500.47,358.6,364.69,343.72,343.09,456.38,486.45,502.31,480.43,373.81,328.66,338.34,304.6,277.44,186.48,317.93,:
Malta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Netherlands,35.16,20.8,23.25,20.61,18.85,19.44,20.02,16.8,18.66,16.6,13.73,9.79,11.54,9.9,8.87,6.74,5.3,6.34,5.32,7.05,5.46,5.63,6.7,6.4,:
Austria,134.02,156.09,171.5,167.62,234.33,197.35,109.46,207.78,249.24,254.5,230.52,228.07,220.1,224.14,302.6,282.48,320.68,287.45,276.96,326.34,328.27,265.6,292.87,301.81,:
Poland,1901,2666.53,3012.26,2760.93,3680.01,3857.52,3159.83,4098.88,4407.74,5173.14,4495.99,4161.43,3290.78,4198.47,5152.09,5240.06,5007.47,5213.23,4009.66,4498.2,6087.39,5349.42,5440.27,5282.39,:
Portugal,41.7,16.75,26.29,11.67,17.24,8.54,41.64,26.08,43,36.52,26.77,24.31,17.61,48.55,48.81,39.82,41.57,26.74,29.23,25.79,25.28,20.66,18.29,10.06,:
Romania,7.43,17.06,23.01,19.47,101,94.14,71.29,81.77,100.82,97.25,123.12,144.8,133.93,245.03,275.22,265.09,287.33,331.57,337.45,314,236.45,259.21,192.41,307.77,:
Slovenia,2.89,4.28,6.57,5.5,8.89,7.85,10.95,12.03,13.26,13.53,14.07,14.77,15.92,12.64,20.06,20.93,24.72,22.92,23.57,26.89,28.26,26.39,25.15,21.97,:
