,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016.0,2017.0,2018.0,2019.0,2020,2021,2022,2023,2024
Belgium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0
Bulgaria,:,0.6,2.2,6,4.5,2.6,2.11,1.4,0.4,0.28,1.2,2.4,2.93,5.1,1.67,3.63,4.96,3.55,5.12,4.84,4.75,4.73,4.04,3.45,:
Czechia,6.47,5.45,0.11,0.17,0.12,0.13,0.14,0.11,0.11,0.17,0.07,0.04,0.05,0.05,0.07,0.18,0.09,0.07,0.15,0.11,0.1,0.18,0.12,0.12,:
Denmark,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,0.0,0.0,0.0,0.0,0,0,0,0,0
Germany,0.3,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0
Estonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0
Ireland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0
Greece,20.13,21.51,21.6,21.4,21,21.5,20.5,18.3,15.1,18.2,22.21,29.76,24.21,25.23,22.41,25.22,28.05,27.92,31.86,31.04,36.4,65.95,61.82,25.48,:
Spain,:,11.9,10.6,9.4,8.5,8.6,10.14,9.51,:,:,13.38,13.82,13.64,14.25,15.59,14.32,14.92,15.74,15.18,17.54,17.11,18.88,16.59,17.34,:
France,26.45,26.51,31.06,21.34,24.79,34,41.16,33.28,37.86,43.14,31.59,37.83,36.08,35.51,34.77,42.28,40.47,33.04,37.69,34.95,38.06,37.74,49.68,31.38,:
Croatia,4.48,2.97,2.54,3.18,3.53,7.2,6.89,7.51,1.97,1.96,4.28,2.64,0.86,0.9,2.85,0.64,0.24,0.29,0.4,0.2,0.38,0.17,0.92,0.26,:
Italy,0,0,0,:,:,:,:,:,:,:,0,:,:,:,:,:,12.16,12.15,12.45,10.8,15.49,14.66,21.87,14.96,:
Cyprus,0,0,0,0,0.25,0.27,0.23,0.25,0.21,0.16,0.16,0.16,0.16,0.19,0.11,0.1,0.12,0.13,0.12,0.14,0.15,0.16,0.13,0.15,:
Latvia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0
Lithuania,0,0,0,0,0,0,0,0,0,0.01,0.01,0.02,0,0,0,0.04,0.0,0.0,0.0,0.0,0,0.14,0.13,0.16,:
Luxembourg,0.1,0.2,0.2,0.1,0.1,0.1,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.02,0.03,0.03,:
Hungary,7.8,6.5,3.5,4,4.1,3.3,4.6,3.62,5.75,5.4,5.64,3.87,3.24,4.54,4.32,6.72,6.32,7.9,5.77,6.82,5.46,5.95,6.45,6.65,:
Malta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0
Netherlands,:,:,:,:,:,:,:,:,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0
Austria,0,0,0,0,0,0,0,18.99,19.13,18.94,2.91,4.25,2.74,3.42,3.44,4.94,1.37,2.63,5.94,3.09,2.99,2.75,4.94,2.48,:
Poland,:,:,8,8.5,8.2,5.8,6.4,6.37,11.58,12.42,9.2,10.5,12.3,8.1,6.9,7.1,7.22,3.72,8.48,5.24,7,6.8,10.7,9.9,:
Portugal,3.72,4.09,4.21,4.1,4.05,3.62,3.88,3.6,3.39,3.77,3.35,3.73,4.22,4.61,4.13,4.06,4.32,4.59,4.75,6.16,5.11,7.54,7.13,7.13,:
Romania,29.56,32,35.58,48.87,15.61,38.17,35.02,24.45,31.25,37.09,32.41,33.06,28.39,29.57,29.37,31.32,31.94,43.72,54.0,49.58,48.35,54.25,53.4,63.92,:
Slovenia,0.09,0.05,0.07,0.11,0.18,0.19,0.19,0.33,0.39,0.38,0.31,0.4,0.44,0.64,0.48,0.79,0.56,0.35,0.74,0.58,1,0.59,1.26,0.74,:
Slovakia,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0.01,0.01,0.01,0.01,0.01,0.03,0.02,0.01,0,0.14,0.18,0
Finland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0
Sweden,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0
Iceland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0
Norway,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,0.0,0.0,0.0,0.0,0,:,0,0,0
Switzerland,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,0,0.0,0.0,0.0,0.0,:,0,0,:,:
United Kingdom,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,:,:,:,:
Bosnia and Herzegovina,5.37,3.26,2.38,4.14,5.04,4.98,5.09,5.1,4.84,5.71,4.91,5.25,3.17,5.13,2.08,6.56,3.91,1.93,6.3,3.41,4.66,4.34,14.74,23.35,:
Montenegro,:,:,:,:,:,:,:,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0
North Macedonia,3.9,1.8,:,:,:,4.51,5.53,4.79,4.86,4.98,5.77,5.48,4.95,5.47,4.65,5.79,5.15,2.34,4.83,5.01,5.39,4.67,6.17,4.19,:
Albania,:,:,:,:,:,:,:,:,3.6,3.9,4,4.2,4.7,:,5.08,6.2,6.3,5.7,5.8,6.2,6.5,7,8.2,9.2,:
Serbia,:,:,:,:,:,:,:,21.13,20.49,27.55,17.59,20.09,12.58,0,16.12,17.72,15.61,12.28,9.3,8.8,8.5,7.65,11.84,9.9,:
Türkiye,:,116,120,130,126,150,129.6,172.6,171,171,:,183,203,212,181,190,195.0,210.0,215.0,225.0,287,325,335,:,:
Kosovo*,0,0,0,0,0,0,0,0.3,0.5,0.3,0.3,0.4,0.2,0.5,0.2,0.6,0.5,0.4,0.8,2.0,2.59,2.11,3.1,:,:
