,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Belgium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bulgaria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17,0,0,0,0,0,0,0
Czechia,0,0,0,0,0,0,0,0,0,0,0,0.16,1.12,0.81,1.25,0.76,3.09,0.48,0.64,0.62,1.26,1.73,0.44,0,0
Denmark,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Germany,54,51.5,50.6,53,58.3,48.5,47,46.3,53.4,54.8,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Estonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ireland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Greece,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spain,40.83,12.59,32.85,26.6,32.64,32.64,47.07,45.33,48.4,44.82,40.32,:,:,:,:,52.62,60.37,52.92,132.97,75.05,116.94,107.52,94.09,94.09,:
France,0,0,0,0,0,0,0,0,0,0,0,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Croatia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Italy,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,0,0,0,0,0.5,1.02,0.4,:
Cyprus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Latvia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lithuania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luxembourg,0,0,0,0,0,0,0.59,0.4,0.46,0.4,0.4,:,:,:,:,0.42,0.25,0.45,0.18,0.5,0.31,0.25,0.24,0.24,:
Hungary,:,:,1.19,1.19,0.1,0,0.7,0.2,0.8,0.3,:,0.3,:,:,0.05,0.1,0,0.26,0,0,0.14,0,0,0,0
Malta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Netherlands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Austria,5.57,6.06,6.76,8.05,10.24,10.14,7.56,10.54,11.83,11.8,12.47,15.11,14.15,14.24,17.68,14.86,14.05,12.95,11.82,12.67,13.26,11.88,12.14,11.78,:
Poland,:,186.2,206.2,171.3,219.72,196.98,167.92,262.91,204.59,252.33,193.72,:,:,:,:,312.48,191.85,245.53,213.07,209.23,420.79,365.84,231.06,174.26,:
Portugal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Romania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Slovenia,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,0,0,0,0,0,0,0,0,0
Slovakia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Finland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sweden,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iceland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,:,0,0,0,0,0,0,0,0,0,0
Norway,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,:,:,0,:
Switzerland,:,:,:,:,:,:,0.1,0.1,0.2,0.2,0.14,:,:,:,0,1.14,0.1,0.08,0.19,0.22,0.21,0.19,0.33,0.25,:
United Kingdom,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,:,:,:,:
Bosnia and Herzegovina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0.03,0.11,:,:,:,0,0,0,0
Montenegro,:,:,:,:,:,:,:,:,:,:,:,:,:,0,:,0,0,0,0,0,0,0,0,0,0
North Macedonia,:,:,:,:,:,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albania,:,:,:,:,:,:,:,:,0,:,:,:,:,:,:,0,:,0,0,0,0,0,0,:,0
Serbia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Türkiye,:,:,:,:,:,:,3,3,4,2,:,:,:,:,1,1,1,0.5,0,0,:,0,:,:,:
Kosovo*,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,1,0.9,0,:,:,:,:,:,:
