,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Belgium,13.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.66,39.49,46.39,43.3,33.43,29.91,28.1,36.9,49.77,:
Bulgaria,11.4,18.8,7.93,11.18,21.81,21.54,28.66,93.72,233.49,235.76,546.04,521.05,272.79,335.62,528.49,422.56,510.93,482.15,472.59,432.49,279.28,375.8,299.42,209.17,:
Czechia,844.43,973.3,709.5,387.8,934.7,769.4,880.2,1031.9,1048.9,1128.1,1042.42,1046.07,1109.14,1443.21,1537.32,1256.21,1359.13,1146.22,1410.77,1156.97,1245.33,1024.93,1166.39,1308.86,:
Denmark,255.5,199.6,207.9,345.9,464.5,334.8,430.4,593,627.6,634.8,576.7,504.3,481.2,683.6,706.6,825,505.38,740.09,487.77,727.42,557.9,647.72,884.14,820.58,:
Germany,3526.9,4112.4,3811.1,3556.1,5236.9,5005,5296.9,5301.1,5138,6288.8,5688.13,3830.4,4806.6,5770.8,6241.7,5007.6,4573.7,4268.4,3670.6,2824.8,3522.2,3496.6,4281.2,4210.3,:
Estonia,0,0.2,2.5,1.4,3,2.4,1.5,6.8,13.6,9.5,21.7,19.8,54.5,60,83.83,116.71,36.42,94.45,54.64,147.69,176.56,200.45,203.92,127.78,:
Ireland,:,:,:,:,:,:,:,:,15.65,13.52,13.34,42.52,49.72,32.03,28.16,35.36,27.7,33.71,36.77,35.92,40.06,47.84,73.35,88.47,:
Greece,5.28,4.81,5.57,7.08,15.91,16.01,24.89,25,35.84,37.63,40.16,4.81,1.17,6.4,2.11,6.13,6.6,11.41,8.21,9.68,12.08,12.27,24.82,9.17,:
Spain,:,:,:,:,:,:,:,:,:,0,35.82,63.16,43.24,95.64,89.74,124.36,197.14,134.24,149.37,109.59,164.89,201.48,209.96,157.95,:
France,3454.5,2853.3,3295,3339.8,3971.6,4518.6,4129.7,4675.6,4704.1,5572.3,4815.52,5355.6,5452.15,4346.45,5517.3,5329.79,4738.44,5371.09,4975.18,3516.6,3283.68,3302.4,4511.8,4259.62,:
Croatia,29.44,22.46,25.59,28.6,31.39,41.28,20,39.33,62.94,80.42,33.05,49.48,26.41,47.83,71.23,56.78,112.99,135.81,155.84,103.9,119.67,73.42,58.07,42.54,:
Italy,:,:,:,:,:,:,:,:,27.8,50.2,49.9,44.03,24.73,31.94,41.76,28.17,35.32,41.99,39.7,37.99,48.69,55.16,53.97,83.51,:
Cyprus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Latvia,5.1,6.9,17.1,4.3,43.1,65.1,57.6,118.7,152.6,155.9,170.7,89.9,205.3,210.6,102.3,250.2,239.3,283,149,362.1,419.3,406.1,321.9,334.5,:
Lithuania,11.97,22.52,44.14,13.98,65.96,73,46.05,142.58,179.68,271.08,178.58,42.23,266.25,292.3,287.07,436.27,350.71,496.02,334.91,661.12,947.97,882.08,877.68,809.99,:
Luxembourg,8.2,8.6,12.4,12.5,16.5,14.6,16.4,18.36,16.45,18.16,15.9,15.48,15.28,15.29,16.03,14.11,10.81,11.28,11.18,10.02,8.89,4.3,7.38,7.93,:
Hungary,:,:,:,:,:,:,331,490.3,651.5,576.1,527.39,523.36,412.45,527.73,697.32,588.69,924.99,932.14,998.18,907.64,875.54,733.65,504.94,618.24,:
Malta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Netherlands,2.9,2.4,1.5,3.4,7.5,7.7,11.6,11.8,9.5,11.2,11.49,6.62,6.91,9.95,10.04,8.97,5.28,7.87,5.88,0,0,3.07,6.57,6.66,:
Austria,124.6,146,128,76.9,120.2,103.8,136.8,144.1,174.1,170.8,170.29,179.11,148.46,196.51,198.09,111.45,141.89,116.84,120.69,107.17,100.28,86.87,92.03,86.68,:
Poland,875.5,1019.6,893,669.9,1545.6,1395.3,1592.3,2080.4,2070.1,2447.3,2185.1,1769.3,1615.33,2519.75,2895.25,2451.39,1938.47,2498.41,2046.23,2214.34,2955.97,3009.08,3434,3535.87,:
Portugal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
